term,estimate,std.error,statistic,p.value,model
pland_crops,0.002798254023674529,0.0015934187925458277,1.7561321836826833,0.07916732874009962,cp_twoways_var7
cropintensity,2.3810768773141973e-7,3.488953825220268e-7,0.6824615620024357,0.4949995512593828,cp_twoways_var7
msidi,-0.06887800037317472,0.12008198697935793,-0.5735914445271033,0.5662870698866311,cp_twoways_var7
mna_crops,-5.202350760647522e-4,3.514524710328387e-4,-1.4802430454846425,0.13891284440706106,cp_twoways_var7
largefarm_planted,0.2856137190553802,0.027561919253391496,10.362620847611526,9.494673688484956e-25,cp_twoways_var7
te_shared_c_nc,4.415014264113563e-4,2.0299884086965358e-4,2.17489629260911,0.029715344134666845,cp_twoways_var7
SDI,0.016987252516776873,0.016892902642772236,1.0055851783438179,0.3146958257506177,cp_twoways_var7
pland_crops,0.0059163895333303185,0.0022221638363489763,2.6624452421343374,0.007798712941186211,cp_individual_var7
cropintensity,2.1354272223478686e-7,3.125430157048566e-7,0.6832426626242111,0.49450599989171073,cp_individual_var7
msidi,0.008103783189230527,0.12517004973485316,0.06474219037538703,0.948383560868883,cp_individual_var7
mna_crops,-2.954874267428361e-5,3.931189536339056e-4,-0.0751648894085149,0.9400885044980682,cp_individual_var7
largefarm_planted,0.30584376059540547,0.026290411960189743,11.633281405347676,1.246208011192913e-30,cp_individual_var7
te_shared_c_nc,2.1387679582539e-4,2.0240455495313466e-4,1.0566797564161126,0.29074239752528913,cp_individual_var7
SDI,0.0230334582142459,0.01665153765543093,1.3832631370673143,0.16668657959749109,cp_individual_var7
pland_crops,7.549782577193312e-4,2.234895201053621e-4,3.3781371822866846,7.39046437745569e-4,cp_time_var7
cropintensity,-1.3985528680927268e-7,1.2847568655439822e-7,-1.0885739594787547,0.2764287816585058,cp_time_var7
msidi,0.2055717677431132,0.024220067065578017,8.487663026964752,3.2579207671317464e-17,cp_time_var7
mna_crops,-4.748832371648115e-4,8.005133799798275e-5,-5.93223360210142,3.327889145814196e-9,cp_time_var7
largefarm_planted,0.33548340535870746,0.017886905944233193,18.755809775299266,2.509331510011024e-74,cp_time_var7
te_shared_c_nc,-4.28413275603135e-4,6.409020776037254e-4,-0.6684535603394098,0.5038952706106015,cp_time_var7
SDI,0.07099828005781852,0.018751771427608872,3.7862172292312253,1.5593862493571344e-4,cp_time_var7
pland_crops,0.001220332689122663,0.001448862282739553,0.8422696233179737,0.3997036789377869,cp_twoways_var6
cropintensity,2.7371085097882476e-7,3.730616966882853e-7,0.7336878950816708,0.4631958729276261,cp_twoways_var6
msidi,-0.38554998245294997,0.09385072939178668,-4.10811919045875,4.094814579140627e-5,cp_twoways_var6
mna_crops,-5.93282387000332e-4,2.4755483656613964e-4,-2.3965695650701773,0.016609746077799005,cp_twoways_var6
largefarm_planted,0.27008842567682606,0.02108111703892508,12.811865005925597,1.2410901026568875e-36,cp_twoways_var6
te_shared_c_nc,4.371620110103904e-4,3.2583057860259063e-4,1.3416850342447098,0.17979891387963784,cp_twoways_var6
pland_crops,0.00783000796064399,0.0021206053274795,3.69234569921153,2.2612319672819176e-4,cp_individual_var6
cropintensity,1.2427607579620147e-7,2.9106446328022926e-7,0.4269709685464134,0.6694308794310456,cp_individual_var6
msidi,0.020749438770558723,0.0948360640792872,0.21879270267069775,0.8268263011916012,cp_individual_var6
mna_crops,2.6449123266461256e-4,3.0371962758139845e-4,0.8708401059583399,0.38391061152004746,cp_individual_var6
largefarm_planted,0.34015086270983663,0.02001147026759078,16.99779467282431,5.894300691278647e-62,cp_individual_var6
te_shared_c_nc,2.5102811951710903e-4,1.9630934392867057e-4,1.2787374991601044,0.20108766679211895,cp_individual_var6
pland_crops,2.820554331970598e-4,2.091599034231566e-4,1.3485157938059784,0.17759356154672895,cp_time_var6
cropintensity,-3.975458343661589e-7,1.1208594328237051e-7,-3.5467947427149595,3.9587239426834824e-4,cp_time_var6
msidi,0.21684780985720747,0.021797787030056505,9.948157102287523,5.767589292360686e-23,cp_time_var6
mna_crops,-3.8069418290544827e-4,7.784656450317981e-5,-4.8903144966647565,1.0593507862321082e-6,cp_time_var6
largefarm_planted,0.3453969360279523,0.01598105680309397,21.612897087073907,1.8924656113711865e-96,cp_time_var6
te_shared_c_nc,-2.3332989144676255e-4,6.125489118760632e-4,-0.3809163430429407,0.7032920912804251,cp_time_var6
pland_crops,0.0027807989597610785,0.001588118013885249,1.7510027185939394,0.0800470637369982,cp_twoways_var6_3yrs
cropintensity,2.411807286704166e-7,3.3888360597623483e-7,0.7116919332100418,0.4767105882156546,cp_twoways_var6_3yrs
msidi,-0.0666766626185979,0.11966095655389831,-0.5572131841396827,0.5774231175068174,cp_twoways_var6_3yrs
mna_crops,-5.094840475165226e-4,3.515479063881785e-4,-1.4492592282826775,0.14736913337671834,cp_twoways_var6_3yrs
largefarm_planted,0.28644145553880695,0.027538566140569654,10.401465859793735,6.407680934849358e-25,cp_twoways_var6_3yrs
te_shared_c_nc,4.6948757276355424e-4,2.030823650310434e-4,2.3118086727608667,0.02085526900601765,cp_twoways_var6_3yrs
pland_crops,0.005912889202347817,0.002218119336571718,2.6657218594409184,0.007723283423713627,cp_individual_var6_3yrs
cropintensity,2.176901222976786e-7,3.042587907079843e-7,0.7154768537373472,0.4743698036941777,cp_individual_var6_3yrs
msidi,0.011679327139574137,0.12470723555958771,0.09365396552306311,0.925390258386938,cp_individual_var6_3yrs
mna_crops,-1.1875684924081268e-5,3.9470376303351744e-4,-0.030087589823846725,0.9759991882174381,cp_individual_var6_3yrs
largefarm_planted,0.30711616442860634,0.026238855512922953,11.704632630693359,5.583439985988686e-31,cp_individual_var6_3yrs
te_shared_c_nc,2.5019528552336015e-4,2.0344055937089578e-4,1.229820082568811,0.21886037770713423,cp_individual_var6_3yrs
pland_crops,6.919730244652803e-4,2.1883610414576225e-4,3.1620606077156777,0.0015821171199296817,cp_time_var6_3yrs
cropintensity,-3.4940076011534365e-7,1.1680933331314784e-7,-2.9912058412203586,0.002801266531573383,cp_time_var6_3yrs
msidi,0.22543927550881865,0.023324727775483438,9.665247872507962,8.734805646247871e-22,cp_time_var6_3yrs
mna_crops,-4.5380076110406966e-4,7.805826986896316e-5,-5.813615416609508,6.75311294511804e-9,cp_time_var6_3yrs
largefarm_planted,0.35244269330265854,0.016553820154897966,21.290716584134046,7.941078375792305e-94,cp_time_var6_3yrs
te_shared_c_nc,-1.3467888970401866e-4,5.749135485687425e-4,-0.2342593769781633,0.8147995162801679,cp_time_var6_3yrs
pland_crops,0.0028495218409730566,0.0015010593877664282,1.8983405081747875,0.057746615876817294,cp_twoways_var7crops
cropintensity,2.3051069510100436e-7,3.4762883848533687e-7,0.6630942821239136,0.5073208469907697,cp_twoways_var7crops
msidi,-0.016896728516509838,0.10264361604251679,-0.16461548382620228,0.8692576745082288,cp_twoways_var7crops
mna_crops,-5.679664713501058e-4,3.645006250077893e-4,-1.5582043826069392,0.11928972605722228,cp_twoways_var7crops
largefarm_planted,0.23626802546896197,0.03549356213218745,6.656644508912268,3.315315831581211e-11,cp_twoways_var7crops
te_shared_c_nc,-1.1570061951975712e-4,1.6887514795089258e-4,-0.6851252000288511,0.49331757006150323,cp_twoways_var7crops
SDI,0.01385486246383361,0.016659218854345376,0.8316633922015929,0.4056648088615554,cp_twoways_var7crops
