term,estimate,std.error,statistic,df,p.value,model
pland_crops,0.0013027026859245062,0.0015298501674532786,0.85152305345895285,10.082252841792991,0.4142464211842537,cp_twoways_var7
cropintensity,2.3260485117331112e-7,4.1042083654447596e-7,0.5667471786562291,2.7667519773530254,0.6135783782795426,cp_twoways_var7
msidi,-0.09594610964308542,0.12404326943214614,-0.7734890420279484,32.8228505938634,0.44476835396495074,cp_twoways_var7
mna_crops,-5.171085760348839e-4,3.5070704293626816e-4,-1.4744744551048405,10.841700405519951,0.16879029436434542,cp_twoways_var7
largefarm_planted,0.2834582290455637,0.0277083459924681,10.230066750379672,327.04565119677204,1.7039281335940466e-21,cp_twoways_var7
natural_crops_ed,0.01196590738079526,0.0036573243387625033,3.271765441739318,58.40312007221205,0.0017967957206776583,cp_twoways_var7
SDI,0.017067917917617848,0.01689414414650206,1.010286035777182,475.2802835535532,0.312872318095058,cp_twoways_var7
pland_crops,0.0027004013907572576,0.0019014411596772055,1.4201866710488618,10.328762775626174,0.18502705160754673,cp_individual_var7
cropintensity,2.1465840867158554e-7,3.4952817103678136e-7,0.6141376474315621,2.767058289407728,0.5859006796957998,cp_individual_var7
msidi,-0.05276984822013186,0.12525485748505444,-0.4212998144716936,33.439541233282895,0.6762319854082599,cp_individual_var7
mna_crops,-1.1974111923411281e-4,3.672291762689431e-4,-0.3260664646820423,11.092676475382586,0.7504427875471601,cp_individual_var7
largefarm_planted,0.2988971091049188,0.026570800218550454,11.249081948847111,339.56629516196335,3.6325224515464245e-25,cp_individual_var7
natural_crops_ed,0.021315634542247042,0.00410324260681031,5.194826771117228,66.93571251197534,2.091319655573085e-6,cp_individual_var7
SDI,0.022377984747187354,0.016664577398368983,1.3428474189437027,470.72941442654695,0.17996851492047183,cp_individual_var7
pland_crops,8.171375981604973e-4,2.5247959062025605e-4,3.236450107325782,524.3574976443335,0.0012867112679503675,cp_time_var7
cropintensity,-1.3858541576434762e-7,1.376305321405903e-7,-1.0069380217376613,3.6245732668149437,0.3763752050634954,cp_time_var7
msidi,0.20760305218421307,0.024937710518858593,8.324864146097848,527.9400022139804,7.279273031731454e-16,cp_time_var7
mna_crops,-4.921928697843771e-4,8.334963596544635e-5,-5.905159201756105,73.00519631399914,1.0299462270958381e-7,cp_time_var7
largefarm_planted,0.3376180553854104,0.01908388006713312,17.691268976630557,941.5665899416296,1.0924867646689105e-60,cp_time_var7
natural_crops_ed,-2.3295928001248345e-4,6.227807248373648e-4,-0.3740630862866208,624.5539784401384,0.7084843360464623,cp_time_var7
SDI,0.0721304394177151,0.01856114448907162,3.8860986972103935,954.9558756066402,1.0890089325505519e-4,cp_time_var7
pland_crops,-5.555484976466001e-4,0.001461321128177825,-0.3801686617227892,20.22076084807228,0.7077841587829241,cp_twoways_var6
cropintensity,2.6884888434036743e-007,4.378094364303133e-7,0.6140774089577223,3.167567857345269,0.5804671133402891,cp_twoways_var6
msidi,-0.4161711774337359,0.09815965079494013,-4.239737754397027,53.15551972536733,8.966354022651378e-5,cp_twoways_var6
mna_crops,-5.299160941015501e-4,2.532482739482256e-4,-2.092476627145292,12.439496082896344,0.057519042809723725,cp_twoways_var6
largefarm_planted,0.2671181214110528,0.02124095898366308,12.57561495300187,404.10723599507526,7.753998545114036e-31,cp_twoways_var6
natural_crops_ed,0.012279815224156804,0.003050857745432344,4.025036972812576,111.08961505789945,1.0436585531355355e-4,cp_twoways_var6
pland_crops,0.004092982887317397,0.0019246875082404745,2.1265700898423514,20.66452893799161,0.0456770223617651,cp_individual_var6
cropintensity,1.2583889836133628e-7,3.021372507293289e-7,0.41649580797327657,3.169938446077995,0.7036537930651312,cp_individual_var6
msidi,-0.050838113997504236,0.08925181142834722,-0.5696031619293003,57.876845680353014,0.5711511878993996,cp_individual_var6
mna_crops,3.2372965481603346e-4,2.8568199346673924e-4,1.1331818673189282,12.699345688139337,0.2780787120201281,cp_individual_var6
largefarm_planted,0.331737935472998,0.020171104038406842,16.44619624396124,433.16259487952243,1.4315530303125548e-47,cp_individual_var6
natural_crops_ed,0.022838328486594558,0.0037627368669048444,6.069605527686269,119.25501242821028,1.563851752646158e-8,cp_individual_var6
pland_crops,1.5007390927090794e-4,2.3690767993510124e-4,0.6334700053287396,567.5997398638204,0.52668192483961,cp_time_var6
cropintensity,-3.883892570341862e-7,1.2503946768223346e-7,-3.106133321210319,3.7297552965508305,0.039575373533578505,cp_time_var6
msidi,0.21217817079472667,0.02267739919507284,9.356371467889801,555.7167863244986,2.0169418121846983e-19,cp_time_var6
mna_crops,-3.4229973681633956e-4,7.943012796018122e-5,-4.309444610084682,81.405344656798,4.54798630171703e-5,cp_time_var6
largefarm_planted,0.340007378639584,0.01734746106330374,19.599835238069776,1021.917785838841,7.298785496524902e-73,cp_time_var6
natural_crops_ed,5.094478231231985e-4,6.10268487764649e-4,0.8347929367764896,625.2487148854126,0.40415314885358833,cp_time_var6
pland_crops,0.0012846072731215509,0.001522279742301649,0.8438707009128669,10.086319910536648,0.4183059903184825,cp_twoways_var6_3yrs
cropintensity,2.3558410333728532e-7,3.93811224124711e-7,0.5982158173904186,2.7647493884895833,0.5951282040648126,cp_twoways_var6_3yrs
msidi,-0.09367415765758276,0.123603279621391,-0.7578614252349607,32.80976978834053,0.4539432262576434,cp_twoways_var6_3yrs
mna_crops,-5.062569825603948e-4,3.506199522931632e-4,-1.4438909686950703,10.845770163986515,0.1770283507991637,cp_twoways_var6_3yrs
largefarm_planted,0.28429303734833156,0.0276843651608218,10.26908277277948,325.1026468929481,1.3008120180611551e-21,cp_twoways_var6_3yrs
natural_crops_ed,0.011973188768317834,0.003656886710097506,3.274148125851726,58.414571688551696,0.0017839025302134953,cp_twoways_var6_3yrs
pland_crops,0.00268877407515042,0.001893369552486016,1.4200999860909502,10.330234779552338,0.1850475377415926,cp_individual_var6_3yrs
cropintensity,2.1855891478172048e-7,3.343610652582675e-7,0.6536613783452957,2.7649783623658797,0.563579514975708,cp_individual_var6_3yrs
msidi,-0.04936986368513431,0.12473374337471695,-0.39580198869539734,33.43704712410575,0.6947653988222842,cp_individual_var6_3yrs
mna_crops,-1.0281031822487726e-4,3.6866302826697104e-4,-0.278873416485979,11.099895363045464,0.7854691895367297,cp_individual_var6_3yrs
largefarm_planted,0.3001171902467762,0.02652348210939519,11.315150439484272,337.7795900008915,2.193950539411643e-25,cp_individual_var6_3yrs
natural_crops_ed,0.02137163610773966,0.004107056357987454,5.203638383528835,66.97616650231359,2.0196581982108033e-6,cp_individual_var6_3yrs
pland_crops,6.551359272627557e-4,2.45885190378884e-4,2.664397665647362,548.5287667112608,0.007939588543559499,cp_time_var6_3yrs
cropintensity,-3.467303205125137e-7,1.3155034967182096e-7,-2.635723290568994,3.6154877306833355,0.06417849220353278,cp_time_var6_3yrs
msidi,0.224142868718657,0.02421117272721451,9.257827831970722,553.1515101054379,4.5582031142782095e-19,cp_time_var6_3yrs
mna_crops,-4.43035059208404e-4,8.057593216511751e-5,-5.4983547481713195,75.30593534954788,5.027866545769823e-7,cp_time_var6_3yrs
largefarm_planted,0.3508624209719305,0.01807242184250297,19.414244755330326,1017.2082499768675,1.1425377150589726e-71,cp_time_var6_3yrs
natural_crops_ed,1.4579768795381514e-4,6.279451767252515e-4,0.23218219258272424,622.16563217594,0.8164728580979145,cp_time_var6_3yrs
pland_crops,0.0014725261531841622,0.0014397529586764961,1.022763068004245,10.152610440618894,0.3301720341350207,cp_twoways_var7crops
cropintensity,2.273078152741252e-7,4.1072541536928076e-7,0.5534301184399658,2.7668798346830887,0.6215200798955145,cp_twoways_var7crops
msidi,-0.04469955446943234,0.10595557963271246,-0.4218706992532172,29.994035804213198,0.6761278758549434,cp_twoways_var7crops
mna_crops,-5.739680383526971e-4,3.669517913950758e-4,-1.5641510732801924,10.251148864623136,0.14810241660217754,cp_twoways_var7crops
largefarm_planted,0.23488453167713227,0.035641593817667586,6.590180362829333,366.3761625741534,1.5318329970188855e-10,cp_twoways_var7crops
