variable,cp_twoways_var7,cp_individual_var7,cp_time_var7,cp_twoways_var6,cp_individual_var6,cp_time_var6,cp_twoways_var6_3yrs,cp_individual_var6_3yrs,cp_time_var6_3yrs,cp_twoways_var7crops,cp_individual_var7crops,cp_time_var7crops,cp_twoways_var6crops,cp_individual_var6crops,cp_time_var6crops,cp_twoways_var6crops_3yrs,cp_individual_var6crops_3yrs,cp_time_var6crops_3yrs
pland_crops,0.05887,5e-5,0,0.27873,0,0.01201,0.06042,5e-5,0,0.05099,1e-5,0,0.45706,0,0,0.05257,2e-5,0
cropintensity,0.66319,0.6984,0.67171,0.52425,0.78172,0.14703,0.65907,0.69283,0.28834,0.66733,0.69895,0.85662,0.54336,0.80733,0.35215,0.6639,0.69368,0.58573
msidi,0.43062,0.92641,0,0,0.76662,0,0.44534,0.89407,0,0.85067,0.38726,0,0,0.42983,0,0.8655,0.36603,0
mna_crops,0.1087,0.92704,0,0.0096,0.26335,0,0.11601,0.97062,0,0.08069,0.91313,0,0.00184,0.5767,0,0.08452,0.87349,0
largefarm_planted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
te_shared_c_nc,0.61722,0.81012,0.7107,0.60927,0.77848,0.83723,0.59491,0.77858,0.90729,0.89407,0.71099,0.20802,0.8183,0.99342,0.34379,0.9148,0.74041,0.32803
SDI,0.23586,0.11041,0,NA,NA,NA,NA,NA,NA,0.3275,0.12346,0,NA,NA,NA,NA,NA,NA
soysmallgrain_planted,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07193,0.00703,0,0.01993,0.03941,0,0.0696,0.00653,0
corn_planted,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80219,0.02956,0.03207,0,0,0.0077,0.76096,0.0353,0.03085
fruitveg_planted,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
