variable,cp_twoways_var7,cp_individual_var7,cp_time_var7,cp_twoways_var6,cp_individual_var6,cp_time_var6,cp_twoways_var6_3yrs,cp_individual_var6_3yrs,cp_time_var6_3yrs,cp_twoways_var7crops,cp_individual_var7crops,cp_time_var7crops,cp_twoways_var6crops,cp_individual_var6crops,cp_time_var6crops,cp_twoways_var6crops_3yrs,cp_individual_var6crops_3yrs,cp_time_var6crops_3yrs
pland_crops,0.00148093,0.00145813,1.3103e-4,0.00112656,0.00114432,1.1228e-4,0.00148068,0.00145809,1.3071e-4,0.00145984,0.00143687,1.504e-4,0.00111667,0.00113457,1.272e-4,0.00145947,0.00143682,1.5006e-4
cropintensity,5.5e-7,5.5e-7,3.3e-7,4.3e-7,4.5e-7,2.7e-7,5.5e-7,5.5e-7,3.3e-7,5.4e-7,5.4e-7,3e-7,4.2e-7,4.4e-7,2.5e-7,5.4e-7,5.4e-7,3e-7
msidi,0.08738806,0.08773683,0.01458792,0.06851658,0.06990981,0.01206813,0.08735807,0.08770642,0.01429307,0.08974343,0.09013567,0.01352993,0.07029794,0.07161612,0.01108114,0.08971247,0.09010478,0.0133024
mna_crops,3.2427e-4,3.2267e-4,5.7e-5,2.2904e-4,2.3645e-4,4.961e-5,3.2411e-4,3.2248e-4,5.701e-5,3.2511e-4,3.2288e-4,5.493e-5,2.3152e-4,2.3882e-4,4.748e-5,3.2498e-4,3.2271e-4,5.497e-5
largefarm_planted,0.01323346,0.01317912,0.00943454,0.01059287,0.01074215,0.00784696,0.01321433,0.01315563,0.009053,0.01634891,0.01627641,0.00974735,0.01321163,0.01351394,0.00812086,0.01633962,0.01626498,0.00956185
te_shared_c_nc,8.8332e-4,8.9012e-4,0.00115496,8.5528e-4,8.9236e-4,0.00113574,8.8289e-4,8.898e-4,0.00115649,8.6889e-4,8.7682e-4,0.00104857,8.4313e-4,8.7909e-4,0.00101888,8.6844e-4,8.7651e-4,0.00105095
SDI,0.01432883,0.01442652,0.01109721,NA,NA,NA,NA,NA,NA,0.01414847,0.01425812,0.01017498,NA,NA,NA,NA,NA,NA
soysmallgrain_planted,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02338443,0.02326289,0.01289122,0.01893904,0.01956031,0.01083248,0.02336345,0.02324332,0.01285735
corn_planted,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03525095,0.03428209,0.01381595,0.02749293,0.02714217,0.01179241,0.03518681,0.03424124,0.01385601
fruitveg_planted,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05350378,0.05380946,0.01804821,0.03684213,0.03836739,0.01526844,0.05349337,0.05380747,0.01807995
