variable,cp_twoways_var7,cp_individual_var7,cp_time_var7,cp_twoways_var6,cp_individual_var6,cp_time_var6,cp_twoways_var6_3yrs,cp_individual_var6_3yrs,cp_time_var6_3yrs,cp_twoways_var7crops,cp_individual_var7crops,cp_time_var7crops,cp_twoways_var6crops,cp_individual_var6crops,cp_time_var6crops,cp_twoways_var6crops_3yrs,cp_individual_var6crops_3yrs,cp_time_var6crops_3yrs
pland_crops,3.445083559084939,3.445083559084939,3.445083559084939,3.4444636220317073,3.4444636220317073,3.4444636220317073,3.413938659085227,3.413938659085227,3.413938659085227,5.501303181155612,5.501303181155612,5.501303181155612,5.471780305422083,5.471780305422083,5.471780305422083,5.444391583005587,5.444391583005587,5.444391583005587
cropintensity,1.018107676306579,1.018107676306579,1.018107676306579,1.0078974515603751,1.0078974515603751,1.0078974515603751,1.008065007473836,1.008065007473836,1.008065007473836,1.0199273540008125,1.0199273540008125,1.0199273540008125,1.0103037010823146,1.0103037010823146,1.0103037010823146,1.0104007597713058,1.0104007597713058,1.0104007597713058
msidi,1.5485787054267541,1.5485787054267541,1.5485787054267541,1.4579577835958009,1.4579577835958009,1.4579577835958009,1.4813700698214778,1.4813700698214778,1.4813700698214778,1.5960201222620638,1.5960201222620638,1.5960201222620638,1.508420035999153,1.508420035999153,1.508420035999153,1.5348101306479676,1.5348101306479676,1.5348101306479676
mna_crops,2.541324087144497,2.541324087144497,2.541324087144497,2.5816320106293213,2.5816320106293213,2.5816320106293213,2.5318838740646283,2.5318838740646283,2.5318838740646283,2.8341790971782883,2.8341790971782883,2.8341790971782883,2.891995568043746,2.891995568043746,2.891995568043746,2.821660173721731,2.821660173721731,2.821660173721731
largefarm_planted,2.428261875064496,2.428261875064496,2.428261875064496,2.234137705189423,2.234137705189423,2.234137705189423,2.225665825696811,2.225665825696811,2.225665825696811,3.1194747066712947,3.1194747066712947,3.1194747066712947,2.9524792609848,2.9524792609848,2.9524792609848,2.984074194569159,2.984074194569159,2.984074194569159
te_shared_c_nc,1.0034836845641906,1.0034836845641906,1.0034836845641906,1.002211398168321,1.002211398168321,1.002211398168321,1.001902733627305,1.001902733627305,1.001902733627305,1.0046286506167934,1.0046286506167934,1.0046286506167934,1.0035439837321993,1.0035439837321993,1.0035439837321993,1.003245109642482,1.003245109642482,1.003245109642482
SDI,1.198901699471309,1.198901699471309,1.198901699471309,NA,NA,NA,NA,NA,NA,1.217706168450612,1.217706168450612,1.217706168450612,NA,NA,NA,NA,NA,NA
soysmallgrain_planted,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5588182573108686,2.5588182573108686,2.5588182573108686,2.555960153740187,2.555960153740187,2.555960153740187,2.530159099373001,2.530159099373001,2.530159099373001
corn_planted,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2081502266163495,2.2081502266163495,2.2081502266163495,2.129995485670172,2.129995485670172,2.129995485670172,2.208043832166256,2.208043832166256,2.208043832166256
fruitveg_planted,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1318309611131534,1.1318309611131534,1.1318309611131534,1.123430135464165,1.123430135464165,1.123430135464165,1.1291237397196476,1.1291237397196476,1.1291237397196476
