variable,ERS,ERS_twoways_var7,ERS_individual_var7,ERS_time_var7,ERS_twoways_var6,ERS_individual_var6,ERS_time_var6,ERS_twoways_var6_3yrs,ERS_individual_var6_3yrs,ERS_time_var6_3yrs,ERS_twoways_var7crops,ERS_individual_var7crops,ERS_time_var7crops,ERS_twoways_var6crops,ERS_individual_var6crops,ERS_time_var6crops,ERS_twoways_var6crops_3yrs,ERS_individual_var6crops_3yrs,ERS_time_var6crops_3yrs
pland_crops,5,0,0,0,0,0,0,0,0,0,7e-5,4.4e-4,1e-5,0,1e-5,0,9e-5,4.3e-4,1e-5
cropintensity,5,0.1853,0.17657,0.42163,0.34812,0.31853,0.65257,0.19559000000000001,0.17665,0.65006,0.20681,0.20328,0.24855,0.33227,0.31176,0.75335,0.22186,0.21097,0.29977
msidi,5,0.96163,0.30628,0,0.13672,0.10141,0,0.94586,0.30677,0,0.75273,0.24416,0,0.19531,0.14219,0,0.77781,0.27356,0
mna_crops,5,0.09889,0.06314,0.16978,0.00184,3e-5,0.01596,0.1214,0.06272,0.24628,0.11401,0.09244,0.0449,5e-4,1e-5,0.01396,0.15269,0.10926,0.05838
largefarm_planted,5,0.06313,0.01212,0,0.03554,0.00298,0,0.07061,0.01197,0,0.78997,0.76622,0,0.73849,0.53398,0,0.82379,0.78555,0
te_shared_c_nc,5,0.74638,0.56323,0.58794,0.90694,0.90132,0.75923,0.71779,0.56262,0.59212,0.45766,0.31966,0.89936,0.7662,0.77396,0.47104,0.43446,0.31702,0.88574
SDI,5,0.21783,0.95013,0.00323,NA,NA,NA,NA,NA,NA,0.06895,0.33188,0.16781,NA,NA,NA,NA,NA,NA
soysmallgrain_planted,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e-5,0,0.00419,5e-5,1e-5,0.38506,7e-5,0,0.00161
corn_planted,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1949,0.04984,0.54354,0.00621,1.1e-4,0.0405,0.27578,0.068,0.36314
fruitveg_planted,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
