variable,ERS,ERS_twoways_var7,ERS_individual_var7,ERS_time_var7,ERS_twoways_var6,ERS_individual_var6,ERS_time_var6,ERS_twoways_var6_3yrs,ERS_individual_var6_3yrs,ERS_time_var6_3yrs,ERS_twoways_var7crops,ERS_individual_var7crops,ERS_time_var7crops,ERS_twoways_var6crops,ERS_individual_var6crops,ERS_time_var6crops,ERS_twoways_var6crops_3yrs,ERS_individual_var6crops_3yrs,ERS_time_var6crops_3yrs
pland_crops,8,0.004499,0.00447917,0.00180772,0.00383404,0.00387753,0.0015073,0.0045088,0.0044881,0.00181385,0.00408063,0.00407021,0.00163738,0.00357591,0.00361712,0.00134234,0.00410921,0.004095,0.00162509
cropintensity,8,5.852e-5,5.824e-5,1.199e-5,3.786e-5,3.821e-5,1.02e-5,5.858e-5,5.826e-5,1.196e-5,6.176e-5,6.166e-5,1.021e-5,3.842e-5,3.888e-5,8.59e-6,6.218e-5,6.202e-5,1.013e-5
msidi,8,0.20546339,0.20273643,0.07301929,0.16006802,0.15637689,0.05826989,0.20570905,0.20286169,0.07196416,0.21625419,0.21416265,0.06333096,0.17134403,0.16849789,0.05056574,0.2176857,0.21529884,0.06287357
mna_crops,8,0.0020091,0.00170171,4.3177e-4,0.00135848,0.00115972,3.6057e-4,0.00201314,0.00170018,4.3034e-4,0.00184677,0.00158469,3.7703e-4,0.00130476,0.00111962,3.1822e-4,0.00185955,0.00159011,3.7553e-4
largefarm_planted,8,0.04683409,0.04644847,0.03560899,0.03510282,0.03531934,0.02910452,0.04682324,0.0464552,0.03564221,0.05649545,0.05566225,0.03271311,0.04355432,0.04381189,0.026848,0.05673591,0.05589368,0.03268088
te_shared_c_nc,8,0.00192572,0.00192077,0.0024462,0.00167692,0.00169611,0.00232513,0.00192936,0.00192385,0.00245464,0.00172686,0.00172583,0.00206586,0.00155097,0.00156885,0.00194507,0.00173833,0.00173551,0.00206341
SDI,8,0.06083113,0.06066371,0.04173031,NA,NA,NA,NA,NA,NA,0.05550418,0.05541338,0.03896231,NA,NA,NA,NA,NA,NA
soysmallgrain_planted,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12211992,0.11969815,0.07222437,0.08942117,0.08947046,0.05186864,0.12296146,0.12044228,0.0672922
corn_planted,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26687433,0.26734427,0.16166119,0.21338062,0.21615961,0.1293952,0.26873184,0.2689905,0.15973684
fruitveg_planted,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21576219,0.215988,0.06835547,0.14144947,0.14307017,0.05419135,0.21714527,0.21717972,0.06659506
