term,estimate,std.error,statistic,df,p.value,model,ERS
pland_crops,0.09136497745872067,0.040494404366709195,2.2562370996085725,6.547686879926628,0.06122813769349532,ERS_twoways_var7,9
cropintensity,-1.1823493117325255e-4,6.728121002520081e-5,-1.757324684395042,1.0380977433943037,0.32244662358045517,ERS_twoways_var7,9
msidi,1.602990328232744,0.7884635277759173,2.0330557746335183,15.695545865026197,0.05931902290078075,ERS_twoways_var7,9
mna_crops,-0.008983128305537482,0.005121391231191995,-1.7540406307617071,25.95914319000397,0.09122394518328003,ERS_twoways_var7,9
largefarm_planted,0.4606536196411532,0.09007683767858139,5.1140074575540755,12.522998306747944,2.2361332127416537e-4,ERS_twoways_var7,9
natural_crops_ed,-0.002521008941451921,0.06060398740964098,-0.04159807050997564,16.81979577507819,0.9673089214602661,ERS_twoways_var7,9
SDI,-0.039255081563570764,0.06288705594074898,-0.6242156032961088,40.24402739171904,0.5360087831408076,ERS_twoways_var7,9
pland_crops,0.11226775662113957,0.04840839485056232,2.319179492889867,6.7100410776271975,0.05502058273236639,ERS_individual_var7,9
cropintensity,-2.9339145880649072e-6,1.4565289777160626e-4,-0.02014319407956776,1.0177212758405019,0.9871348432649503,ERS_individual_var7,9
msidi,1.0999162996647174,0.7386320196697833,1.4891262094980011,15.214532808197166,0.15688934786149777,ERS_individual_var7,9
mna_crops,-0.012289510926576633,0.00538114858408379,-2.283808137713611,25.657784815406814,0.03091144586326834,ERS_individual_var7,9
largefarm_planted,0.45281608162798065,0.08172005048538093,5.541064633935656,12.267724862441032,1.1772179949136046e-4,ERS_individual_var7,9
natural_crops_ed,0.07333478623986545,0.04366294702524447,1.6795656554621865,17.89406594982545,0.11041681491838003,ERS_individual_var7,9
SDI,-0.0980784387520669,0.06513001018613833,-1.5058870476415342,46.5516386469959,0.13885215947708876,ERS_individual_var7,9
pland_crops,0.0018722505937925097,0.0012870600283929506,1.4546723171336773,40.338727691635704,0.1534977564655556,ERS_time_var7,9
cropintensity,2.6401771147756975e-5,5.6062316852057585e-5,0.4709361408917224,1.2184585103686303,0.7080874583520281,ERS_time_var7,9
msidi,0.10429035985912923,0.0696334396040236,1.4977051320771329,25.34237659561382,0.14656301813056266,ERS_time_var7,9
mna_crops,-9.813358109980032e-4,6.374613419469262e-4,-1.5394436437522943,23.13954487562149,0.13726036743529096,ERS_time_var7,9
largefarm_planted,0.5237593661702927,0.03545495982326849,14.772527420170938,56.976419328300956,3.853660355599141e-21,ERS_time_var7,9
natural_crops_ed,-9.884535666833361e-4,0.002201536796306566,-0.448983441176921,26.02783414614733,0.6571597482612404,ERS_time_var7,9
SDI,0.19806577087041183,0.05638238741120245,3.512901456724387,72.9206493907537,7.651081178264919e-4,ERS_time_var7,9
pland_crops,0.06678967938399147,0.030061137177545917,2.2217948372851257,10.874735112055754,0.04848086530902057,ERS_twoways_var6,9
cropintensity,-6.787984250150676e-5,7.711657172169432e-5,-0.8802238090468809,1.0324876682012165,0.5367398966883068,ERS_twoways_var6,9
msidi,0.9453933836398845,0.635674774387108,1.4872280948247392,19.32001049808944,0.15309382713779845,ERS_twoways_var6,9
mna_crops,-0.007169286291451143,0.0020493264871157255,-3.498362187052674,22.926164467893607,0.0019425073653196712,ERS_twoways_var6,9
largefarm_planted,0.46315549440599807,0.07702821523760862,6.012803139437986,14.0904759341294,3.098321505305476e-5,ERS_twoways_var6,9
natural_crops_ed,-0.007924337785608826,0.02808219168789223,-0.2821837367140202,21.08272942306563,0.7805542080093023,ERS_twoways_var6,9
pland_crops,0.08553079539689606,0.03871498202033418,2.209242803005124,11.307169054223356,0.04865024809610906,ERS_individual_var6,9
cropintensity,5.6590477122097214e-5,2.902863643795119e-4,0.19494707318774532,1.015990039340055,0.8770442702660017,ERS_individual_var6,9
msidi,1.4512412460011657,0.6009524724668027,2.414901864109285,18.103913531971358,0.026532754072142634,ERS_individual_var6,9
mna_crops,-0.008948614293888338,0.002292397526075967,-3.9036049341783285,22.475296244715647,7.390197636542274e-4,ERS_individual_var6,9
largefarm_planted,0.4948139809758207,0.06377666170896827,7.758543136575616,14.697436987190274,1.4296539473720018e-6,ERS_individual_var6,9
natural_crops_ed,0.05341585646279121,0.02405486641172902,2.220584207308087,21.46731574645412,0.03726219474951052,ERS_individual_var6,9
pland_crops,0.001984465343619307,0.0013197289867122757,1.503691563646738,37.65604236492356,0.14100233490864714,ERS_time_var6,9
cropintensity,-5.358698446142454e-5,4.7061428066530975e-5,-1.1386603990356678,1.0696822111950914,0.4490416064918542,ERS_time_var6,9
msidi,0.06612195505139899,0.06243703339188657,1.0590182053715458,26.71903482819877,0.2990718928897598,ERS_time_var6,9
mna_crops,-0.0012743402714744266,6.704341369962913e-4,-1.9007687722820654,23.162104322654454,0.06984784924465295,ERS_time_var6,9
largefarm_planted,0.5218150226171135,0.03558262599178259,14.664882314689782,59.0657393760737,2.3890479130186363e-21,ERS_time_var6,9
natural_crops_ed,-6.888786933198258e-4,0.0023316814355857033,-0.29544288632498544,26.77821993936122,0.7699343495301387,ERS_time_var6,9
pland_crops,0.09227464473442291,0.04124192119055346,2.237399278954022,6.6200749302787045,0.06246237796585929,ERS_twoways_var6_3yrs,9
cropintensity,-1.2571113055853764e-4,7.987554032760089e-5,-1.5738376234194729,1.0281463495950018,0.3554359437480818,ERS_twoways_var6_3yrs,9
msidi,1.591201974646571,0.7860522848188445,2.0242953368086494,15.68888618519964,0.060311313886799944,ERS_twoways_var6_3yrs,9
mna_crops,-0.008992183314420676,0.005126337036557263,-1.754114731492495,25.974282244170276,0.0912041349538306,ERS_twoways_var6_3yrs,9
largefarm_planted,0.46241536487679197,0.08944486042422684,5.16983717883407,12.545506865867052,2.0215075596453916e-4,ERS_twoways_var6_3yrs,9
natural_crops_ed,-0.0026903857942207556,0.05891972369296358,-0.04566188749018271,16.766482455443956,0.9641191915674723,ERS_twoways_var6_3yrs,9
pland_crops,0.11522368819171398,0.050803306003508165,2.268035237387058,6.80878354290327,0.058682807085063224,ERS_individual_var6_3yrs,9
cropintensity,-1.771268854179482e-5,1.179421657907936e-4,-0.15018113685663256,1.0118971276396318,0.9048806750133319,ERS_individual_var6_3yrs,9
msidi,1.035777812120214,0.7309178570529897,1.4170919510660178,15.165866380081084,0.17667134423226666,ERS_individual_var6_3yrs,9
mna_crops,-0.012506298102260291,0.005438991152050396,-2.2993782767132567,25.77859700562635,0.029842037010993798,ERS_individual_var6_3yrs,9
largefarm_planted,0.4546367230882915,0.08117131838188787,5.600952801448358,12.299875371030744,1.05801852860103e-4,ERS_individual_var6_3yrs,9
natural_crops_ed,0.07555441452672793,0.04277727834133324,1.766227713784306,18.01519976794422,0.09429768191397803,ERS_individual_var6_3yrs,9
pland_crops,0.002327168748872382,0.0012898858263575084,1.804166462890784,37.324882109397535,0.07927997428799226,ERS_time_var6_3yrs,9
cropintensity,-4.0459232760373895e-005,5.636349072637765e-5,-0.7178269521450933,1.0716315982212294,0.5970231483653609,ERS_time_var6_3yrs,9
msidi,0.17776270025580113,0.06301465892870134,2.8209737746407986,25.48619824332754,0.009145807119509092,ERS_time_var6_3yrs,9
mna_crops,-9.77056488125472e-4,6.530440692638021e-4,-1.4961570499016086,23.158111325484178,0.14811776734730306,ERS_time_var6_3yrs,9
largefarm_planted,0.5169132866678218,0.03715564124332886,13.912107808410692,56.050400064135175,7.942332895662934e-20,ERS_time_var6_3yrs,9
natural_crops_ed,-8.041684239533972e-4,0.0022879975893552182,-0.3514725835790851,26.29676464860551,0.7280344841081946,ERS_time_var6_3yrs,9
