term,model,vif,ERS
pland_crops,ERS_twoways_var7,11.095950469885915,1
cropintensity,ERS_twoways_var7,1.3331719004504905,1
msidi,ERS_twoways_var7,7.628930647023503,1
mna_crops,ERS_twoways_var7,5.243239980356405,1
largefarm_planted,ERS_twoways_var7,3.0736054301400384,1
natural_crops_ed,ERS_twoways_var7,1.8509353709206258,1
SDI,ERS_twoways_var7,1.453942859626713,1
soysmallgrain_planted,ERS_twoways_var7,NA,1
corn_planted,ERS_twoways_var7,NA,1
fruitveg_planted,ERS_twoways_var7,NA,1
pland_crops,ERS_individual_var7,11.095950469885915,1
cropintensity,ERS_individual_var7,1.3331719004504905,1
msidi,ERS_individual_var7,7.628930647023503,1
mna_crops,ERS_individual_var7,5.243239980356405,1
largefarm_planted,ERS_individual_var7,3.0736054301400384,1
natural_crops_ed,ERS_individual_var7,1.8509353709206258,1
SDI,ERS_individual_var7,1.453942859626713,1
soysmallgrain_planted,ERS_individual_var7,NA,1
corn_planted,ERS_individual_var7,NA,1
fruitveg_planted,ERS_individual_var7,NA,1
pland_crops,ERS_time_var7,11.095950469885915,1
cropintensity,ERS_time_var7,1.3331719004504905,1
msidi,ERS_time_var7,7.628930647023503,1
mna_crops,ERS_time_var7,5.243239980356405,1
largefarm_planted,ERS_time_var7,3.0736054301400384,1
natural_crops_ed,ERS_time_var7,1.8509353709206258,1
SDI,ERS_time_var7,1.453942859626713,1
soysmallgrain_planted,ERS_time_var7,NA,1
corn_planted,ERS_time_var7,NA,1
fruitveg_planted,ERS_time_var7,NA,1
pland_crops,ERS_twoways_var6,10.378007401048524,1
cropintensity,ERS_twoways_var6,1.2060486784990356,1
msidi,ERS_twoways_var6,7.4434128330155955,1
mna_crops,ERS_twoways_var6,5.154987160441701,1
largefarm_planted,ERS_twoways_var6,3.03648569130124,1
natural_crops_ed,ERS_twoways_var6,1.8659251478497585,1
SDI,ERS_twoways_var6,NA,1
soysmallgrain_planted,ERS_twoways_var6,NA,1
corn_planted,ERS_twoways_var6,NA,1
fruitveg_planted,ERS_twoways_var6,NA,1
pland_crops,ERS_individual_var6,10.378007401048524,1
cropintensity,ERS_individual_var6,1.2060486784990356,1
msidi,ERS_individual_var6,7.4434128330155955,1
mna_crops,ERS_individual_var6,5.154987160441701,1
largefarm_planted,ERS_individual_var6,3.03648569130124,1
natural_crops_ed,ERS_individual_var6,1.8659251478497585,1
SDI,ERS_individual_var6,NA,1
soysmallgrain_planted,ERS_individual_var6,NA,1
corn_planted,ERS_individual_var6,NA,1
fruitveg_planted,ERS_individual_var6,NA,1
pland_crops,ERS_time_var6,10.378007401048524,1
cropintensity,ERS_time_var6,1.2060486784990356,1
msidi,ERS_time_var6,7.4434128330155955,1
mna_crops,ERS_time_var6,5.154987160441701,1
largefarm_planted,ERS_time_var6,3.03648569130124,1
natural_crops_ed,ERS_time_var6,1.8659251478497585,1
SDI,ERS_time_var6,NA,1
soysmallgrain_planted,ERS_time_var6,NA,1
corn_planted,ERS_time_var6,NA,1
fruitveg_planted,ERS_time_var6,NA,1
pland_crops,ERS_twoways_var6_3yrs,10.471352429666767,1
cropintensity,ERS_twoways_var6_3yrs,1.2118548072067223,1
msidi,ERS_twoways_var6_3yrs,7.618999592076836,1
mna_crops,ERS_twoways_var6_3yrs,5.2033905869507455,1
largefarm_planted,ERS_twoways_var6_3yrs,3.067501538831138,1
natural_crops_ed,ERS_twoways_var6_3yrs,1.8502036844428613,1
SDI,ERS_twoways_var6_3yrs,NA,1
soysmallgrain_planted,ERS_twoways_var6_3yrs,NA,1
corn_planted,ERS_twoways_var6_3yrs,NA,1
fruitveg_planted,ERS_twoways_var6_3yrs,NA,1
pland_crops,ERS_individual_var6_3yrs,10.471352429666767,1
cropintensity,ERS_individual_var6_3yrs,1.2118548072067223,1
msidi,ERS_individual_var6_3yrs,7.618999592076836,1
mna_crops,ERS_individual_var6_3yrs,5.2033905869507455,1
largefarm_planted,ERS_individual_var6_3yrs,3.067501538831138,1
natural_crops_ed,ERS_individual_var6_3yrs,1.8502036844428613,1
SDI,ERS_individual_var6_3yrs,NA,1
soysmallgrain_planted,ERS_individual_var6_3yrs,NA,1
corn_planted,ERS_individual_var6_3yrs,NA,1
fruitveg_planted,ERS_individual_var6_3yrs,NA,1
pland_crops,ERS_time_var6_3yrs,10.471352429666767,1
cropintensity,ERS_time_var6_3yrs,1.2118548072067223,1
msidi,ERS_time_var6_3yrs,7.618999592076836,1
mna_crops,ERS_time_var6_3yrs,5.2033905869507455,1
largefarm_planted,ERS_time_var6_3yrs,3.067501538831138,1
natural_crops_ed,ERS_time_var6_3yrs,1.8502036844428613,1
SDI,ERS_time_var6_3yrs,NA,1
soysmallgrain_planted,ERS_time_var6_3yrs,NA,1
corn_planted,ERS_time_var6_3yrs,NA,1
fruitveg_planted,ERS_time_var6_3yrs,NA,1
pland_crops,ERS_twoways_var7crops,13.33505854516211,1
cropintensity,ERS_twoways_var7crops,1.6018648489752956,1
msidi,ERS_twoways_var7crops,8.08544009222728,1
mna_crops,ERS_twoways_var7crops,5.258711750019217,1
largefarm_planted,ERS_twoways_var7crops,4.38019803392862,1
natural_crops_ed,ERS_twoways_var7crops,1.8986066296893316,1
SDI,ERS_twoways_var7crops,2.092467618496626,1
soysmallgrain_planted,ERS_twoways_var7crops,2.7523886788143646,1
corn_planted,ERS_twoways_var7crops,5.412481826845524,1
fruitveg_planted,ERS_twoways_var7crops,1.037535455669402,1
pland_crops,ERS_individual_var7crops,13.33505854516211,1
cropintensity,ERS_individual_var7crops,1.6018648489752956,1
msidi,ERS_individual_var7crops,8.08544009222728,1
mna_crops,ERS_individual_var7crops,5.258711750019217,1
largefarm_planted,ERS_individual_var7crops,4.38019803392862,1
natural_crops_ed,ERS_individual_var7crops,1.8986066296893316,1
SDI,ERS_individual_var7crops,2.092467618496626,1
soysmallgrain_planted,ERS_individual_var7crops,2.7523886788143646,1
corn_planted,ERS_individual_var7crops,5.412481826845524,1
fruitveg_planted,ERS_individual_var7crops,1.037535455669402,1
pland_crops,ERS_time_var7crops,13.33505854516211,1
cropintensity,ERS_time_var7crops,1.6018648489752956,1
msidi,ERS_time_var7crops,8.08544009222728,1
mna_crops,ERS_time_var7crops,5.258711750019217,1
largefarm_planted,ERS_time_var7crops,4.38019803392862,1
natural_crops_ed,ERS_time_var7crops,1.8986066296893316,1
SDI,ERS_time_var7crops,2.092467618496626,1
