term,estimate,std.error,statistic,df,p.value,model,ERS
pland_crops,0.7413172385960108,0.4075368864094222,1.819018752209988,4.789746874595067,0.13113163925037563,ERS_twoways_var7,5
cropintensity,0.002991113237928598,0.0026410716846554465,1.13253769494667,2.378408856807891,0.3585983474445679,ERS_twoways_var7,5
msidi,-7.418677891056606e-4,0.03198470457277542,-0.023194454943852128,2.6825131411285144,0.9831104702569811,ERS_twoways_var7,5
mna_crops,0.2703194045686935,0.16676742207251471,1.6209365187113811,50.7712302030621,0.11122623711030466,ERS_twoways_var7,5
largefarm_planted,0.01634838295738325,0.01449660358980474,1.1277388428335615,56.35335107734853,0.2642089508625083,ERS_twoways_var7,5
natural_crops_ed,0.23138949055439592,0.18752034032287668,1.2339434226494277,11.600193480062796,0.2416397695223454,ERS_twoways_var7,5
SDI,-0.004108688479245691,0.0032208214975011284,-1.2756647589546373,117.67867591152499,0.2045864085333025,ERS_twoways_var7,5
pland_crops,0.7255618314860167,0.39534021203660913,1.8352846722782366,4.788849066214209,0.12847732554027452,ERS_individual_var7,5
cropintensity,0.003138221363928224,0.0026260074886098436,1.1950542325336384,2.357466471347116,0.3383864901777409,ERS_individual_var7,5
msidi,0.04998667538766069,0.054011878039555095,0.9254756028119114,2.841437992356155,0.4264166978322904,ERS_individual_var7,5
mna_crops,0.2523382533357508,0.14521660881629037,1.737667993989428,59.799897394875295,0.08741709208796417,ERS_individual_var7,5
largefarm_planted,0.02328225487694443,0.014512849564207177,1.604251099960762,55.89902872243238,0.11429445397818239,ERS_individual_var7,5
natural_crops_ed,0.17279377032788268,0.17862157509113505,0.9673734555286563,10.855534428329939,0.3544155926386534,ERS_individual_var7,5
SDI,-2.452759371577074e-4,0.0030606212198145822,-0.08013926570520433,110.62032684060443,0.9362712966178087,ERS_individual_var7,5
pland_crops,0.1634240556348869,0.09456065380255545,1.7282458301961368,6.881834524599578,0.12831055465601723,ERS_time_var7,5
cropintensity,6.007554124412552e-4,6.940425780268179e-4,0.8655886993982694,3.411988874261593,0.44330990097257705,ERS_time_var7,5
msidi,0.03097102217854363,0.004781846624179529,6.47679120905674,137.1002004714291,1.551688465645369e-9,ERS_time_var7,5
mna_crops,-0.023196888361748835,0.019198026432386543,-1.2082954695080699,18.77666807779381,0.2419316894523865,ERS_time_var7,5
largefarm_planted,0.06028580816816716,0.01417662176739301,4.252480538546055,108.47973371642108,4.496406960361023e-5,ERS_time_var7,5
natural_crops_ed,-0.020800488342096152,0.037241386354896176,-0.5585315257567334,15.28580385966698,0.5845711071923276,ERS_time_var7,5
SDI,0.007581971048630814,0.00260478771981073,2.9107827063856617,205.53016222485562,0.004002743056106004,ERS_time_var7,5
pland_crops,0.6365005619089893,0.27096823195825875,2.3489859210028685,6.168503779993095,0.05598784130721391,ERS_twoways_var6,5
