term,model,vif,ERS
corn_planted,ERS_twoways_var7,NA,1
corn_planted,ERS_individual_var7,NA,1
corn_planted,ERS_time_var7,NA,1
corn_planted,ERS_twoways_var6,NA,1
corn_planted,ERS_individual_var6,NA,1
corn_planted,ERS_time_var6,NA,1
corn_planted,ERS_twoways_var6_3yrs,NA,1
corn_planted,ERS_individual_var6_3yrs,NA,1
corn_planted,ERS_time_var6_3yrs,NA,1
corn_planted,ERS_twoways_var7crops,5.412481826845524,1
corn_planted,ERS_individual_var7crops,5.412481826845524,1
corn_planted,ERS_time_var7crops,5.412481826845524,1
corn_planted,ERS_twoways_var6crops,4.012428459599516,1
corn_planted,ERS_individual_var6crops,4.012428459599516,1
corn_planted,ERS_time_var6crops,4.012428459599516,1
corn_planted,ERS_twoways_var6crops_3yrs,4.065346670430492,1
corn_planted,ERS_individual_var6crops_3yrs,4.065346670430492,1
corn_planted,ERS_time_var6crops_3yrs,4.065346670430492,1
corn_planted,ERS_twoways_var7,NA,2
corn_planted,ERS_individual_var7,NA,2
corn_planted,ERS_time_var7,NA,2
corn_planted,ERS_twoways_var6,NA,2
corn_planted,ERS_individual_var6,NA,2
corn_planted,ERS_time_var6,NA,2
corn_planted,ERS_twoways_var6_3yrs,NA,2
corn_planted,ERS_individual_var6_3yrs,NA,2
corn_planted,ERS_time_var6_3yrs,NA,2
corn_planted,ERS_twoways_var7crops,3.333414898171966,2
corn_planted,ERS_individual_var7crops,3.333414898171966,2
corn_planted,ERS_time_var7crops,3.333414898171966,2
corn_planted,ERS_twoways_var6crops,3.106830882034169,2
corn_planted,ERS_individual_var6crops,3.106830882034169,2
corn_planted,ERS_time_var6crops,3.106830882034169,2
corn_planted,ERS_twoways_var6crops_3yrs,3.289600361123917,2
corn_planted,ERS_individual_var6crops_3yrs,3.289600361123917,2
corn_planted,ERS_time_var6crops_3yrs,3.289600361123917,2
corn_planted,ERS_twoways_var7,NA,3
corn_planted,ERS_individual_var7,NA,3
corn_planted,ERS_time_var7,NA,3
corn_planted,ERS_twoways_var6,NA,3
corn_planted,ERS_individual_var6,NA,3
corn_planted,ERS_time_var6,NA,3
corn_planted,ERS_twoways_var6_3yrs,NA,3
corn_planted,ERS_individual_var6_3yrs,NA,3
corn_planted,ERS_time_var6_3yrs,NA,3
corn_planted,ERS_twoways_var7crops,1.896453565818531,3
corn_planted,ERS_individual_var7crops,1.896453565818531,3
corn_planted,ERS_time_var7crops,1.896453565818531,3
corn_planted,ERS_twoways_var6crops,1.7543493126414356,3
corn_planted,ERS_individual_var6crops,1.7543493126414356,3
corn_planted,ERS_time_var6crops,1.7543493126414356,3
corn_planted,ERS_twoways_var6crops_3yrs,1.8715481147503972,3
corn_planted,ERS_individual_var6crops_3yrs,1.8715481147503972,3
corn_planted,ERS_time_var6crops_3yrs,1.8715481147503972,3
corn_planted,ERS_twoways_var7,NA,4
corn_planted,ERS_individual_var7,NA,4
corn_planted,ERS_time_var7,NA,4
corn_planted,ERS_twoways_var6,NA,4
corn_planted,ERS_individual_var6,NA,4
corn_planted,ERS_time_var6,NA,4
corn_planted,ERS_twoways_var6_3yrs,NA,4
corn_planted,ERS_individual_var6_3yrs,NA,4
corn_planted,ERS_time_var6_3yrs,NA,4
corn_planted,ERS_twoways_var7crops,1.939667126207718,4
corn_planted,ERS_individual_var7crops,1.939667126207718,4
corn_planted,ERS_time_var7crops,1.939667126207718,4
corn_planted,ERS_twoways_var6crops,1.8467764562360849,4
corn_planted,ERS_individual_var6crops,1.8467764562360849,4
corn_planted,ERS_time_var6crops,1.8467764562360849,4
corn_planted,ERS_twoways_var6crops_3yrs,1.9051220229025343,4
corn_planted,ERS_individual_var6crops_3yrs,1.9051220229025343,4
corn_planted,ERS_time_var6crops_3yrs,1.9051220229025343,4
corn_planted,ERS_twoways_var7,NA,5
corn_planted,ERS_individual_var7,NA,5
corn_planted,ERS_time_var7,NA,5
corn_planted,ERS_twoways_var6,NA,5
corn_planted,ERS_individual_var6,NA,5
corn_planted,ERS_time_var6,NA,5
corn_planted,ERS_twoways_var6_3yrs,NA,5
corn_planted,ERS_individual_var6_3yrs,NA,5
corn_planted,ERS_time_var6_3yrs,NA,5
corn_planted,ERS_twoways_var7crops,2.2461383490371154,5
corn_planted,ERS_individual_var7crops,2.2461383490371154,5
corn_planted,ERS_time_var7crops,2.2461383490371154,5
corn_planted,ERS_twoways_var6crops,2.0321316175927655,5
corn_planted,ERS_individual_var6crops,2.0321316175927655,5
corn_planted,ERS_time_var6crops,2.0321316175927655,5
corn_planted,ERS_twoways_var6crops_3yrs,2.158366758908378,5
corn_planted,ERS_individual_var6crops_3yrs,2.158366758908378,5
corn_planted,ERS_time_var6crops_3yrs,2.158366758908378,5
corn_planted,ERS_twoways_var7,NA,6
corn_planted,ERS_individual_var7,NA,6
corn_planted,ERS_time_var7,NA,6
corn_planted,ERS_twoways_var6,NA,6
corn_planted,ERS_individual_var6,NA,6
corn_planted,ERS_time_var6,NA,6
corn_planted,ERS_twoways_var6_3yrs,NA,6
corn_planted,ERS_individual_var6_3yrs,NA,6
corn_planted,ERS_time_var6_3yrs,NA,6
corn_planted,ERS_twoways_var7crops,2.5291636494521854,6
corn_planted,ERS_individual_var7crops,2.5291636494521854,6
corn_planted,ERS_time_var7crops,2.5291636494521854,6
corn_planted,ERS_twoways_var6crops,2.5034349641907965,6
corn_planted,ERS_individual_var6crops,2.5034349641907965,6
corn_planted,ERS_time_var6crops,2.5034349641907965,6
corn_planted,ERS_twoways_var6crops_3yrs,2.5283953129605634,6
corn_planted,ERS_individual_var6crops_3yrs,2.5283953129605634,6
corn_planted,ERS_time_var6crops_3yrs,2.5283953129605634,6
corn_planted,ERS_twoways_var7,NA,7
corn_planted,ERS_individual_var7,NA,7
corn_planted,ERS_time_var7,NA,7
corn_planted,ERS_twoways_var6,NA,7
corn_planted,ERS_individual_var6,NA,7
corn_planted,ERS_time_var6,NA,7
corn_planted,ERS_twoways_var6_3yrs,NA,7
corn_planted,ERS_individual_var6_3yrs,NA,7
corn_planted,ERS_time_var6_3yrs,NA,7
corn_planted,ERS_twoways_var7crops,1.2806634458157384,7
corn_planted,ERS_individual_var7crops,1.2806634458157384,7
corn_planted,ERS_time_var7crops,1.2806634458157384,7
corn_planted,ERS_twoways_var6crops,1.2090766868152738,7
corn_planted,ERS_individual_var6crops,1.2090766868152738,7
corn_planted,ERS_time_var6crops,1.2090766868152738,7
corn_planted,ERS_twoways_var6crops_3yrs,1.2158398266845591,7
corn_planted,ERS_individual_var6crops_3yrs,1.2158398266845591,7
corn_planted,ERS_time_var6crops_3yrs,1.2158398266845591,7
corn_planted,ERS_twoways_var7,NA,8
corn_planted,ERS_individual_var7,NA,8
corn_planted,ERS_time_var7,NA,8
corn_planted,ERS_twoways_var6,NA,8
corn_planted,ERS_individual_var6,NA,8
corn_planted,ERS_time_var6,NA,8
corn_planted,ERS_twoways_var6_3yrs,NA,8
corn_planted,ERS_individual_var6_3yrs,NA,8
corn_planted,ERS_time_var6_3yrs,NA,8
corn_planted,ERS_twoways_var7crops,1.0428952652519512,8
corn_planted,ERS_individual_var7crops,1.0428952652519512,8
corn_planted,ERS_time_var7crops,1.0428952652519512,8
corn_planted,ERS_twoways_var6crops,1.023144177622115,8
corn_planted,ERS_individual_var6crops,1.023144177622115,8
corn_planted,ERS_time_var6crops,1.023144177622115,8
corn_planted,ERS_twoways_var6crops_3yrs,1.020029460725697,8
corn_planted,ERS_individual_var6crops_3yrs,1.020029460725697,8
corn_planted,ERS_time_var6crops_3yrs,1.020029460725697,8
corn_planted,ERS_twoways_var7,NA,9
corn_planted,ERS_individual_var7,NA,9
corn_planted,ERS_time_var7,NA,9
corn_planted,ERS_twoways_var6,NA,9
corn_planted,ERS_individual_var6,NA,9
corn_planted,ERS_time_var6,NA,9
corn_planted,ERS_twoways_var6_3yrs,NA,9
corn_planted,ERS_individual_var6_3yrs,NA,9
corn_planted,ERS_time_var6_3yrs,NA,9
corn_planted,ERS_twoways_var7crops,1.9020198216516628,9
corn_planted,ERS_individual_var7crops,1.9020198216516628,9
corn_planted,ERS_time_var7crops,1.9020198216516628,9
corn_planted,ERS_twoways_var6crops,1.6745368628554598,9
corn_planted,ERS_individual_var6crops,1.6745368628554598,9
corn_planted,ERS_time_var6crops,1.6745368628554598,9
corn_planted,ERS_twoways_var6crops_3yrs,1.7388383666384666,9
corn_planted,ERS_individual_var6crops_3yrs,1.7388383666384666,9
corn_planted,ERS_time_var6crops_3yrs,1.7388383666384666,9
cropintensity,ERS_twoways_var7,1.3331719004504905,1
cropintensity,ERS_individual_var7,1.3331719004504905,1
cropintensity,ERS_time_var7,1.3331719004504905,1
cropintensity,ERS_twoways_var6,1.2060486784990356,1
cropintensity,ERS_individual_var6,1.2060486784990356,1
cropintensity,ERS_time_var6,1.2060486784990356,1
