term,GVIF,Df,GVIF^(1/(2*Df)),model
PercentCrop,26.19094143261903,1,5.117708611538863,nocrops_4yrs
CropEdge,14.558010732479083,1,3.815496131891511,nocrops_4yrs
MeanCropArea,7.344523571796057,1,2.7100781486510783,nocrops_4yrs
LargeFarms,4.326454625454692,1,2.080013131077468,nocrops_4yrs
factor(Year),1.0223890028390894,3,1.0036971590873829,nocrops_4yrs
factor(ASDCode),50.33388131901291,302,1.0065089700749599,nocrops_4yrs
PercentCrop,25.8045565728064,1,5.079818557075282,nocrops_3yrs
CropEdge,14.613612936446867,1,3.82277555402444,nocrops_3yrs
MeanCropArea,7.2080261071131,1,2.6847767331964683,nocrops_3yrs
LargeFarms,4.347531503109217,1,2.08507350064913,nocrops_3yrs
factor(Year),1.0078213577860498,2,1.0019496304439384,nocrops_3yrs
factor(ASDCode),51.20071759420743,302,1.0065374245394696,nocrops_3yrs
PercentCrop,26.648165327921234,1,5.162186099698579,crops_4yrs
CropEdge,15.001916760513987,1,3.873230791021107,crops_4yrs
MeanCropArea,7.5290049835208634,1,2.743903238731436,crops_4yrs
LargeFarms,6.108554201514852,1,2.4715489478290436,crops_4yrs
SoyGrains,6.232258824737757,1,2.4964492433730268,crops_4yrs
Corn,7.8762058814711695,1,2.8064578887756664,crops_4yrs
FruitVeg,2.6846395777769048,1,1.6384869782140183,crops_4yrs
factor(Year),1.060131119814572,3,1.0097796106198211,crops_4yrs
factor(ASDCode),1109.1308421200936,302,1.011675801711331,crops_4yrs
PercentCrop,26.14559854830102,1,5.113276693892187,crops_3yrs
CropEdge,15.039743396429056,1,3.8781108024950828,crops_3yrs
MeanCropArea,7.318715343470245,1,2.7053124299182607,crops_3yrs
LargeFarms,6.185214386367848,1,2.4870091247053856,crops_3yrs
SoyGrains,6.298789401995529,1,2.509738911121141,crops_3yrs
Corn,8.345142583921255,1,2.8887960440157863,crops_3yrs
FruitVeg,2.7243047105748444,1,1.6505467913921266,crops_3yrs
factor(Year),1.0352916658443936,2,1.0087084976907497,crops_3yrs
factor(ASDCode),1197.8077869062479,302,1.011804641733429,crops_3yrs
