term,ERS,estimate,std.error,statistic,df,p.value,model
Corn,1,0.0655714136138918,0.017866767913747247,3.670021009420462,22.836148229060306,0.0012829369230854635,regional
Corn,2,-0.044318389398867675,0.029756580302442867,-1.489364333818606,50.752740379965,0.1425798418871376,regional
Corn,3,0.003191752054472893,0.02490745308496544,0.12814445714642292,12.354849277993988,0.900096959414222,regional
Corn,4,-0.03294276326538249,0.021275814759177843,-1.548366708314746,36.04407134010687,0.13027058960746654,regional
Corn,5,-0.03315690423478219,0.022819152167561568,-1.4530296301681265,29.2190261691155,0.15687170907534248,regional
Corn,6,-0.0470613482154778,0.02408017570526989,-1.9543606654489043,45.16617522887361,0.056866283289547355,regional
Corn,7,-0.02289124926590802,0.03391735084768067,-0.674912653665384,20.242603797315276,0.5073674948214167,regional
Corn,8,0.07308766448126183,0.04358674691303857,1.6768322863617595,7.050750491071877,0.13716898005086062,regional
Corn,9,-0.09358007554134219,0.031936620982537155,-2.9301808601639943,21.892427724294347,0.007774297637017877,regional
CropDiversity,1,-0.05039480650207423,0.01221892056510976,-4.1243255681662205,11.719900626680131,0.001480030854258118,regional
CropDiversity,2,0.07388609128021918,0.015703229453233648,4.705152624831855,18.492318852557318,1.6488938951478519e-4,regional
CropDiversity,3,0.0706970477313481,0.013584485809505211,5.204249076684273,23.238098969374295,2.729268351700167e-5,regional
CropDiversity,4,0.06767910222849129,0.018576165191279827,3.6433301239300864,16.562295610373834,0.002085125837508148,regional
CropDiversity,5,0.05583271643659302,0.01266928419084243,4.406935356059804,15.209475696220851,4.940208746847497e-4,regional
CropDiversity,6,0.0746908101511312,0.01520651192352891,4.91176481015102,14.642999047047683,2.0142063355430958e-4,regional
CropDiversity,7,0.06902427711059639,0.014460643153507353,4.773250842156001,15.813382607036477,2.1393150961023413e-4,regional
CropDiversity,8,0.06462638317299597,0.014144900178731382,4.568882237159212,18.040722798810798,2.3673220021220036e-4,regional
CropDiversity,9,0.03692221337545383,0.018541870500329464,1.9912884935097446,24.281018381042742,0.05781435032802988,regional
FruitVeg,1,0.14790108667435278,0.07532394856971765,1.9635333712950518,6.280687867550543,0.09507006539563723,regional
