term,GVIF,Df,GVIF^(1/(2*Df)),model
PercentCrop,15.501202835460159,1,3.9371566942985847,natural
NaturalCropEdge,6.532975950530919,1,2.555968691226659,natural
MeanCropArea,6.354027569431398,1,2.520719653081516,natural
LargeFarms,6.229122769489903,1,2.4958210611920686,natural
SoyGrains,6.346913237714066,1,2.5193080870973414,natural
Corn,8.484969687011974,1,2.912897129493586,natural
FruitVeg,2.73209468682372,1,1.6529049237096851,natural
LandDiversity,3.733813760772765,1,1.932307884570356,natural
CropDiversity,2.2764698204233365,1,1.5087974749525983,natural
factor(Year),1.0361879931611038,2,1.0089267549265892,natural
factor(ASDCode),6074.91158584639,302,1.0145282367883026,natural
PercentCrop,13.347910725750234,1,3.6534792630792685,forest
ForestCropEdge,5.630192028609757,1,2.3728025684008682,forest
MeanCropArea,6.022646772987102,1,2.4541081420726147,forest
LargeFarms,6.153318539053047,1,2.4805883453433073,forest
SoyGrains,6.301212599232434,1,2.5102216235289734,forest
Corn,8.523153001587122,1,2.9194439541781105,forest
FruitVeg,2.733819244596906,1,1.653426516237388,forest
LandDiversity,3.6831105524707364,1,1.919143181857658,forest
CropDiversity,2.270363186126892,1,1.506772440060838,forest
factor(Year),1.0360828139155858,2,1.008901150935044,forest
factor(ASDCode),7221.796836402486,302,1.014818756549466,forest
PercentCrop,12.413191371265324,1,3.523235923304785,shrubgrass
ShrubgrassCropEdge,5.384205417993138,1,2.320389066082052,shrubgrass
MeanCropArea,5.598919191510474,1,2.3662035397468397,shrubgrass
LargeFarms,6.088178804024139,1,2.4674235153341915,shrubgrass
SoyGrains,6.3334358807452364,1,2.516631852445891,shrubgrass
Corn,8.584956430045457,1,2.9300096296847657,shrubgrass
FruitVeg,2.7317221781087464,1,1.6527922368249273,shrubgrass
LandDiversity,3.6891413392597174,1,1.9207137577629096,shrubgrass
CropDiversity,2.266044618537401,1,1.5053387055866865,shrubgrass
factor(Year),1.0354807548150096,2,1.0087545529704962,shrubgrass
factor(ASDCode),10668.96433538028,302,1.0154746273521191,shrubgrass
