term,GVIF,Df,GVIF^(1/(2*Df)),model
PercentCrop,31.431011178256202,1,5.6063366986166825,diversity
CropEdge,17.416698526776045,1,4.173331825625186,diversity
MeanCropArea,7.364500884753011,1,2.7137613905339966,diversity
LargeFarms,6.2051331282787405,1,2.491010463301738,diversity
SoyGrains,6.336423408708481,1,2.5172253392790407,diversity
Corn,8.492546098359597,1,2.91419733346244,diversity
FruitVeg,2.7319139496103717,1,1.6528502502073112,diversity
LandDiversity,4.084142799246576,1,2.02092622310825,diversity
CropDiversity,2.290431658979039,1,1.5134172124629213,diversity
factor(Year),1.0368909347343858,2,1.0090978233557577,diversity
factor(ASDCode),5139.323809693235,302,1.0142473556323612,diversity
