term,model,vif
PercentCrop,Var7,2.5070654282085636
CropIntensity,Var7,1.008072195568613
LandDiversity,Var7,1.264900557306528
MeanCropArea,Var7,1.9691483037770354
LargeFarms,Var7,1.4062460116430975
NaturalCropEdge,Var7,1.6037072381341841
CropDiversity,Var7,1.0466082063704218
SoyGrains,Var7,NA
Corn,Var7,NA
FruitVeg,Var7,NA
PercentCrop,Var6_3yrs,2.5010119075422774
CropIntensity,Var6_3yrs,1.0023155397748056
LandDiversity,Var6_3yrs,1.2569342821144716
MeanCropArea,Var6_3yrs,1.966009139368304
LargeFarms,Var6_3yrs,1.3892954484891955
NaturalCropEdge,Var6_3yrs,1.5946701203117457
CropDiversity,Var6_3yrs,NA
SoyGrains,Var6_3yrs,NA
Corn,Var6_3yrs,NA
FruitVeg,Var6_3yrs,NA
PercentCrop,Var6,2.5502990762991717
CropIntensity,Var6,1.0021432716926442
LandDiversity,Var6,1.2507707347240578
MeanCropArea,Var6,1.995232855782759
LargeFarms,Var6,1.391916300926524
NaturalCropEdge,Var6,1.5994006540312797
CropDiversity,Var6,NA
SoyGrains,Var6,NA
Corn,Var6,NA
FruitVeg,Var6,NA
PercentCrop,Var7_crops,2.652953606773993
CropIntensity,Var7_crops,1.0082565866946465
LandDiversity,Var7_crops,1.2872267791422969
MeanCropArea,Var7_crops,1.9877691497455554
LargeFarms,Var7_crops,1.9400239220616127
NaturalCropEdge,Var7_crops,1.6304609428492283
CropDiversity,Var7_crops,1.0666535389628242
SoyGrains,Var7_crops,1.53974181187279
Corn,Var7_crops,1.3928596149837784
FruitVeg,Var7_crops,1.0171553492870469
PercentCrop,Var6_3yrs_crops,2.6372150331640496
CropIntensity,Var6_3yrs_crops,1.0026973648815942
LandDiversity,Var6_3yrs_crops,1.2808428763341617
MeanCropArea,Var6_3yrs_crops,1.9840980022084782
LargeFarms,Var6_3yrs_crops,1.9377594483414715
NaturalCropEdge,Var6_3yrs_crops,1.6221539570931964
CropDiversity,Var6_3yrs_crops,NA
SoyGrains,Var6_3yrs_crops,1.53450502747881
Corn,Var6_3yrs_crops,1.3725633772046788
FruitVeg,Var6_3yrs_crops,1.0162217688492419
PercentCrop,Var6_crops,2.6835380838468326
CropIntensity,Var6_crops,1.0025888728197763
LandDiversity,Var6_crops,1.2765285264901014
MeanCropArea,Var6_crops,2.024555995787406
LargeFarms,Var6_crops,1.9229113814995353
NaturalCropEdge,Var6_crops,1.6274195724958864
CropDiversity,Var6_crops,NA
SoyGrains,Var6_crops,1.5244946032369546
Corn,Var6_crops,1.348636920251312
FruitVeg,Var6_crops,1.0117613056390704
