term,estimate,std.error,statistic,df,p.value,model
PercentCrop,0.02481781677562072,0.006150403382009936,4.035152693921406,88.85482345235226,1.1528578591425845e-4,Var6
LandDiversity,-0.003946848218496384,0.0052697661273753,-0.7489607931542461,95.20486048829254,0.455727314385286,Var6
MeanCropArea,-0.001933480920289711,0.0047165697499403575,-0.40993370665496054,22.289424545533613,0.6857678533461535,Var6
LargeFarms,0.10080483347935312,0.006079321806752951,16.581591941288327,132.72798168835226,3.809606373314964e-34,Var6
ForestCropEdge,0.0076964816891881985,0.0052526800719723266,1.4652485176578154,79.74572095232973,0.1467848401392463,Var6
CropDiversity,0.02001732213726153,0.0037949448828344915,5.274733297920876,92.62530662291834,8.68071012319766e-7,Var6
PercentCrop,0.02291866299635102,0.006174154523820433,3.712032620487355,89.22866726610033,3.5739146626968826e-4,Var5_3yrs
LandDiversity,-0.0019213142747972049,0.005236872022812407,-0.3668820369158808,95.15462359142876,0.7145216195433113,Var5_3yrs
MeanCropArea,-7.383138196693164e-4,0.004709718090568185,-0.15676390931930398,22.42740157298804,0.8768335818637112,Var5_3yrs
LargeFarms,0.10383477387908047,0.006336562639968261,16.38660892013222,134.1616035433319,8.012046656943235e-34,Var5_3yrs
ForestCropEdge,0.010000400042835804,0.00554283911889286,1.804201750822836,79.53208791867213,0.07498559461865545,Var5_3yrs
PercentCrop,0.020914449516444535,0.006054423532064177,3.4544080713352447,90.12221524245217,8.42566244879007e-4,Var5
LandDiversity,-0.002913648653392121,0.004898688897101312,-0.5947813210012595,92.6631418789072,0.5534392707801334,Var5
MeanCropArea,-0.0020689675834539532,0.004592347651971819,-0.45052503430693003,23.69551635150249,0.6564272280136382,Var5
LargeFarms,0.10021001639659473,0.0059156543944711235,16.939802380993182,136.96262827722455,2.0587184566059553e-35,Var5
ForestCropEdge,0.009718809566178398,0.005432827113327925,1.788904628004085,79.21140418229182,0.077453121463757,Var5
PercentCrop,0.019969378568157822,0.006261592780288696,3.1891851273083134,86.24920281121125,0.0019891945342575975,Var6_crops
LandDiversity,-0.005160748960779734,0.004767143344986449,-1.0825663478752399,95.90877337380846,0.28171521444166964,Var6_crops
MeanCropArea,-7.413058853176106e-4,0.004019858847764818,-0.18441092421187938,22.49691807025879,0.8553433441938862,Var6_crops
LargeFarms,0.09362049646003556,0.008081610513393197,11.58438609543031,108.20259862241794,1.141879906428974e-20,Var6_crops
ForestCropEdge,0.005490840426415115,0.004912457048584499,1.117738103786022,78.14342787610856,0.26710348971872383,Var6_crops
CropDiversity,0.01789059509744692,0.003529381183975486,5.069045865228703,93.97330816782426,1.9983283973793225e-6,Var6_crops
SoyGrains,-0.008258107881312201,0.006627497265871801,-1.2460371615447063,114.26307133097535,0.2152994861160962,Var6_crops
Corn,0.030658344737921225,0.007019417252560219,4.367648144401031,125.99313238338064,2.5948866050665376e-5,Var6_crops
FruitVeg,0.04563502721918488,0.01005938335188516,4.53656308968807,16.574941746024884,3.0998250556786745e-4,Var6_crops
PercentCrop,0.017099144026709662,0.0063196638177699755,2.7057046893268843,87.22033708757048,0.008197248506324627,Var5_3yrs_crops
LandDiversity,-0.0035254869161090692,0.004734585950808559,-0.7446241239969457,95.67502200513611,0.45832410186393,Var5_3yrs_crops
MeanCropArea,3.248158015637064e-4,0.004046203039199013,0.08027669358579866,22.635368703746288,0.936722741642574,Var5_3yrs_crops
LargeFarms,0.09463188952620387,0.00834949546333905,11.333845253490274,108.50441792223002,4.064644719584407e-20,Var5_3yrs_crops
ForestCropEdge,0.007135968009496258,0.005166337245329294,1.381243165251676,77.72920993882212,0.17116216387691996,Var5_3yrs_crops
SoyGrains,-0.006257207221389943,0.006906549597412866,-0.9059816530867799,116.33138004180675,0.3668182263980486,Var5_3yrs_crops
Corn,0.03444330000035881,0.0068916858031359725,4.9978047438967454,128.24654734632966,1.8604446031827066e-6,Var5_3yrs_crops
FruitVeg,0.0463057581013295,0.010658876385817683,4.34433766048195,16.90415505265629,4.462004110676883e-4,Var5_3yrs_crops
PercentCrop,0.01789103036341376,0.006216273538865432,2.8780957355810237,88.19438287595642,0.005018459514767793,Var5_crops
LandDiversity,-0.0036524673704742545,0.0043833041365474125,-0.8332680682639525,92.88292827208022,0.4068311967152526,Var5_crops
MeanCropArea,-7.911571287044057e-4,0.003804857196096125,-0.20793346186977843,25.144393490659315,0.836955945950193,Var5_crops
LargeFarms,0.09589799966715225,0.007709952854661375,12.438208310077162,113.39657293113136,6.336853563245837e-23,Var5_crops
ForestCropEdge,0.00741597663043873,0.005010127209947117,1.4801972723796384,77.46219976851835,0.14287647596615036,Var5_crops
SoyGrains,-0.02002540883539806,0.0063759321105038,-3.1407813772684188,114.46237906706004,0.0021446464812373304,Var5_crops
Corn,0.03670503841819358,0.006474309041863501,5.669336786498033,128.04096815460065,9.052519676949389e-8,Var5_crops
FruitVeg,0.04857327901382411,0.008860125987856292,5.482233444580671,18.2337355603795,3.163150730883162e-5,Var5_crops
