term,estimate,std.error,statistic,df,p.value,model
PercentCrop,0.02951882795509289,0.006963089869121547,4.239328876968371,80.91434590450876,5.909527688157116e-5,Var6
LandDiversity,-0.002427440878957584,0.0049608372169171605,-0.48932080872955586,89.96878052596999,0.6258054657929693,Var6
MeanCropArea,-0.006247949677079844,0.005909660425239217,-1.0572434332090974,18.4565964419542,0.3040429108070185,Var6
LargeFarms,0.08430316491902419,0.005299328167275681,15.90827407889393,108.6332760814633,3.8387718110569144e-30,Var6
NaturalCropEdge,-0.004123039011545406,0.005736499916513322,-0.7187377445394287,100.62792687137997,0.4739681748893039,Var6
CropDiversity,0.00899724689605782,0.004572795210292657,1.9675595521545346,60.17531208392036,0.053732904746854326,Var6
PercentCrop,0.028615896863615077,0.006957645373069584,4.1128708534609135,80.81441507987044,9.338662265196673e-5,Var5_3yrs
LandDiversity,-0.0016795608973756467,0.004963963144014168,-0.3383507992804011,90.81782432131327,0.7358798038397814,Var5_3yrs
MeanCropArea,-0.006345868013245024,0.005889087132682701,-1.0775639535077217,18.448596359043002,0.29511745981871346,Var5_3yrs
LargeFarms,0.08520553040998607,0.005471647566203865,15.572189067195389,108.51275793521276,1.9954645622722372e-29,Var5_3yrs
NaturalCropEdge,-0.003641588699550961,0.005732097657847187,-0.6352977421041773,99.77342140482534,0.5266885991145591,Var5_3yrs
PercentCrop,0.02678488706839514,0.006633914114324543,4.037569164568894,81.5016376388405,1.2136442454367064e-4,Var5
LandDiversity,-0.001754931933512023,0.004689491422321552,-0.3742264939773014,90.57054625813244,0.7091105167466474,Var5
MeanCropArea,-0.006911677072664849,0.0057863903868170564,-1.1944712697593816,19.377927734266308,0.24671005446121597,Var5
LargeFarms,0.08036797478806892,0.005396213482619953,14.893401650419678,112.38086873432788,2.3303707717250203e-28,Var5
NaturalCropEdge,-0.0021983705262720687,0.005362035351067237,-0.40998807026412354,99.06036943444025,0.6827000011753919,Var5
PercentCrop,0.0213992396928173,0.006322929758981021,3.384386749263196,78.52929519103053,0.001115736582550251,Var6_crops
LandDiversity,-0.0031413482120398943,0.0038289889807293503,-0.8204119227947024,91.4678105435984,0.41411425867918183,Var6_crops
MeanCropArea,-0.0031970945715894717,0.004283505152852418,-0.7463734622708467,18.55961761481614,0.464791908761781,Var6_crops
LargeFarms,0.07974535268259693,0.0060333780176991016,13.217363879515167,96.91366730797698,2.058231484417114e-23,Var6_crops
NaturalCropEdge,-0.0015842881886699277,0.004996884574603304,-0.3170551900922591,100.53230159291283,0.751859216140039,Var6_crops
CropDiversity,0.0090525059443816,0.0041037718430697,2.2058989365281456,63.992743924838265,0.030988775014479452,Var6_crops
SoyGrains,-0.012083392106460629,0.006216668861479118,-1.9437084997938356,95.79493677734831,0.05486517525965392,Var6_crops
Corn,0.038089854034274666,0.0074802693377969045,5.09204312227251,101.90817820768045,1.6283974951994266e-6,Var6_crops
FruitVeg,0.05062859660813108,0.012649707435865992,4.002353166254479,14.005318239178514,0.0013090664842092033,Var6_crops
PercentCrop,0.020384518454958787,0.006358717082600745,3.2057596194579276,78.47728755070759,0.0019491522814756364,Var5_3yrs_crops
LandDiversity,-0.0023412812439805404,0.0037861361275396362,-0.6183827430161596,92.35070738424339,0.5378452631733386,Var5_3yrs_crops
MeanCropArea,-0.003226971065773242,0.004283483270962731,-0.7533520879253875,18.557980976128448,0.4606898057912876,Var5_3yrs_crops
LargeFarms,0.08075237787129873,0.006182949341610085,13.060494823700145,97.42234715845319,3.933958016841315e-23,Var5_3yrs_crops
NaturalCropEdge,-0.001001316466805716,0.004983264494938938,-0.20093584593446018,99.49457119156529,0.8411589348760726,Var5_3yrs_crops
SoyGrains,-0.012751626171104433,0.006327912392973313,-2.0151394929651976,94.03565184158452,0.04674494528682598,Var5_3yrs_crops
Corn,0.03874941518416442,0.007433136885822543,5.2130635799365415,102.2673106267252,9.711972187047134e-7,Var5_3yrs_crops
FruitVeg,0.05018866347159144,0.012955269410557345,3.873996123206232,13.72632294187652,0.0017444515258892256,Var5_3yrs_crops
PercentCrop,0.020880614932402387,0.006243722975339405,3.3442571066771793,79.14489786024055,0.0012628576331847813,Var5_crops
LandDiversity,-0.0019700466154218355,0.0035207856180469194,-0.5595474502405735,93.83062965582965,0.5771214215978309,Var5_crops
MeanCropArea,-0.0034665439775481786,0.004043411985153426,-0.8573313801009178,20.57173844542422,0.40113961106517215,Var5_crops
LargeFarms,0.08147870636242184,0.006126521794896835,13.29934163137893,105.58305252424535,2.676777544259346e-24,Var5_crops
NaturalCropEdge,0.0020364695793070185,0.004559848748165752,0.4466090196799204,99.11276674624763,0.6561316937668995,Var5_crops
SoyGrains,-0.026880460492562243,0.005857594792647119,-4.588992827961498,92.42729048708779,1.3987093348927446e-5,Var5_crops
Corn,0.03782632742864371,0.007084824954209502,5.33906309233073,101.92294438450101,5.68982343969908e-7,Var5_crops
FruitVeg,0.04925483118544292,0.010329684325220953,4.768280388315676,14.344265003754353,2.808177701016737e-4,Var5_crops
