term,estimate,std.error,statistic,df,p.value,model
PercentCrop,0.02960987164707857,0.006247569207942792,4.739422751721473,96.87742289537991,7.3523243172665925e-6,Var6
LandDiversity,-0.0015123432038449762,0.004548232712623069,-0.33251227441543413,95.78863328116196,0.7402290526981891,Var6
MeanCropArea,-0.005924739054219189,0.005948390187111995,-0.9960239439329234,20.010876403917646,0.33113098637753924,Var6
LargeFarms,0.08384959197996983,0.005311188061721921,15.787351343154146,104.61065096691503,1.9195849083299033e-29,Var6
ShrubGrassCropEdge,-0.010033739475161004,0.005314770708132829,-1.887896962291724,40.728747398243016,0.06617834077698452,Var6
CropDiversity,0.009031634264363207,0.004588150691323493,1.9684694056458618,60.135223985489844,0.05362872370628519,Var6
PercentCrop,0.0289876206770271,0.006264399684198523,4.627358109053321,96.71055905059237,1.1500656494869675e-5,Var5_3yrs
LandDiversity,-7.025068884825259e-4,0.004542164032654963,-0.15466347834027916,96.78960845841385,0.8774086809687625,Var5_3yrs
MeanCropArea,-0.00616428693233609,0.005925647528501717,-1.0402722913717941,19.990145025911975,0.31063265953121305,Var5_3yrs
LargeFarms,0.08481784759323083,0.005488591455204625,15.453481696620223,104.34733390996597,9.86729153699169e-29,Var5_3yrs
ShrubGrassCropEdge,-0.00976147204889377,0.005232628173792779,-1.8655008008754301,40.5911110052203,0.06935023588893766,Var5_3yrs
PercentCrop,0.02793995912860961,0.005966271910190537,4.682984541969581,98.20836584081275,9.080941101741944e-6,Var5
LandDiversity,-6.358507771252896e-4,0.0043086021559645485,-0.14757704566550872,96.63043102684435,0.882984064310572,Var5
MeanCropArea,-0.007136836487863261,0.005841382966763117,-1.2217717154432683,21.04245115720251,0.2353052238413543,Var5
LargeFarms,0.08018330312260698,0.005391974767067607,14.870860229602703,108.89936020420755,5.592058731211122e-28,Var5
ShrubGrassCropEdge,-0.008720295857204246,0.00494919932134153,-1.7619609336809903,40.63021406054488,0.0855987613940838,Var5
PercentCrop,0.021827601270001724,0.005638401823602667,3.871239041288288,91.22482814552716,2.0325554180691515e-4,Var6_crops
LandDiversity,-0.002627378809447425,0.0036204356872294127,-0.7257079082263886,97.45638635677048,0.46975700466665504,Var6_crops
MeanCropArea,-0.003192943553725516,0.004305017253090835,-0.741679618457535,20.239173801824236,0.46680155047125094,Var6_crops
LargeFarms,0.07959181646595917,0.005977199095227448,13.315905192033844,91.42272419244486,4.0069263051824174e-23,Var6_crops
ShrubGrassCropEdge,-0.004826600297831893,0.004238777590541145,-1.138677412233772,41.89528642039404,0.26130715876569627,Var6_crops
CropDiversity,0.009100573011261139,0.004117698631658146,2.2101114786043605,63.79219407032867,0.03069219495396623,Var6_crops
SoyGrains,-0.011848620211589984,0.006225648723211231,-1.903194468299263,97.97048149117657,0.05995078974107303,Var6_crops
Corn,0.03752898144998914,0.007441586297544901,5.043142678110251,97.09583718681597,2.1282984167351265e-6,Var6_crops
FruitVeg,0.05056642561230712,0.012608027506483904,4.010653179992067,13.987336257612474,0.0012910265737949313,Var6_crops
PercentCrop,0.021123138813983686,0.005692035871633802,3.710998892197889,91.2219683965725,3.5472594178928877e-4,Var5_3yrs_crops
LandDiversity,-0.0017647258612117237,0.003567551718450981,-0.49466020410713535,98.4771939195287,0.6219417738586965,Var5_3yrs_crops
MeanCropArea,-0.003386273287707266,0.004305940486514825,-0.7864189712589533,20.22734038913972,0.4407387298219112,Var5_3yrs_crops
LargeFarms,0.08067546931499187,0.0061389838754548265,13.141502071304066,91.74061346503774,8.317724948567835e-23,Var5_3yrs_crops
ShrubGrassCropEdge,-0.004422345671863557,0.00408841072205415,-1.081678425312814,41.64603093987894,0.28561925855376447,Var5_3yrs_crops
SoyGrains,-0.012506301062633566,0.006344292660379374,-1.971267993473321,96.2520677645436,0.05156477468785398,Var5_3yrs_crops
Corn,0.038207124333072086,0.0074049936141305965,5.1596431170667385,97.47249802928464,1.3029056261787444e-6,Var5_3yrs_crops
FruitVeg,0.05013601186265393,0.012916761879889863,3.8814690809397674,13.717027615240509,0.0017212534982967464,Var5_3yrs_crops
PercentCrop,0.023112701524319105,0.0054688376105648815,4.22625485892454,92.01962504414787,5.590193364394344e-5,Var5_crops
LandDiversity,-0.0011850772821621327,0.0033626761756170853,-0.3524208755975912,100.33213763574375,0.7252618652279432,Var5_crops
MeanCropArea,-0.0044497465222169035,0.00409205326935947,-1.0874116804724352,22.49008015141263,0.28837194911696235,Var5_crops
LargeFarms,0.08177151932265267,0.00605750364418417,13.499210916886824,99.4394479468889,3.2516714507619995e-24,Var5_crops
ShrubGrassCropEdge,-0.001793865004057724,0.003636864202635042,-0.4932449781209875,41.7150910831931,0.6244262661618638,Var5_crops
SoyGrains,-0.02662405650841809,0.0059118109110306615,-4.503536548968625,94.88697513019223,1.9012274285597612e-5,Var5_crops
Corn,0.03739830557547161,0.007054116802358934,5.3016283431776206,96.70016788209504,7.243735514788335e-7,Var5_crops
FruitVeg,0.04926248052948627,0.01031210581964685,4.777150408564496,14.342147162394951,2.762081654490537e-4,Var5_crops
