term,estimate,std.error,statistic,p.value,model
PercentCrop,0.03084679879664757,0.004152831993470692,7.427894710199348,1.2042575357638504e-13,Var6
LandDiversity,-0.0021864794933631935,0.0023818898584715424,-0.9179599491498974,0.3586644960359754,Var6
MeanCropArea,-0.004749172015435947,0.0028619059543112248,-1.6594437732245226,0.09706133224324018,Var6
LargeFarms,0.10223974215699579,0.002493361095315547,41.00478761342703,0,Var6
ShrubGrassCropEdge,-0.005128846315881191,0.002829540737560895,-1.81260734217325,0.06992579462123692,Var6
CropDiversity,0.02048407792928367,0.0018524606371963573,11.057766906337992,3.0578161150657967e-28,Var6
PercentCrop,0.029915490694348578,0.0041799261190647655,7.156942453576667,8.897502751419616e-13,Var5_3yrs
LandDiversity,8.239934977857701e-5,0.0023890094071839243,0.03449101101519157,0.9724863770138856,Var5_3yrs
MeanCropArea,-0.004111737513529385,0.0028805857994966405,-1.427396300519109,0.15350047546138737,Var5_3yrs
LargeFarms,0.105676080916625,0.0024905719267364636,42.43044731299863,0,Var5_3yrs
ShrubGrassCropEdge,-0.004168187941398085,0.002847244263774426,-1.463937602554886,0.14324600876671828,Var5_3yrs
PercentCrop,0.02772430751411459,0.00360324322362519,7.694264803534805,1.534439191261337e-14,Var5
LandDiversity,-0.0010179982930156896,0.0020281170066900433,-0.5019425849976465,0.6157171310350337,Var5
MeanCropArea,-0.005417340543122097,0.002509724210646502,-2.158540177498864,0.030905651422244832,Var5
LargeFarms,0.10192921761826139,0.0021568462082351336,47.25845413969791,0,Var5
ShrubGrassCropEdge,-0.003752637224862479,0.0024305715795957645,-1.5439319937603282,0.12263121499510385,Var5
PercentCrop,0.023350744075595363,0.004202528981218315,5.5563552755859815,2.833812111563373e-8,Var6_crops
LandDiversity,-0.004259450627204827,0.002342452328970191,-1.8183723845844082,0.06904072468379281,Var6_crops
MeanCropArea,-0.002520622075859884,0.002805464588898961,-0.8984686835235134,0.36895996038396395,Var6_crops
LargeFarms,0.0943140983101316,0.002908471845319871,32.42737194169367,3.563290522740472e-218,Var6_crops
ShrubGrassCropEdge,-0.0013850134539773859,0.002780119110308772,-0.49818493345904175,0.6183659709179852,Var6_crops
CropDiversity,0.018134683830421595,0.0018194657421638344,9.967037801357323,2.8106712511106283e-23,Var6_crops
SoyGrains,-0.0077886549761326754,0.0030996044469630423,-2.512789973496106,0.011995537460609985,Var6_crops
Corn,0.030972374073769234,0.0033901197448242,9.13607081904871,7.898132199429359e-20,Var6_crops
FruitVeg,0.045744886942843184,0.0019832535123211884,23.065577173391027,2.1613385235804306e-114,Var6_crops
PercentCrop,0.02096144301150394,0.0042187256520332915,4.968667019482813,6.866599114205569e-7,Var5_3yrs_crops
LandDiversity,-0.0025242968420445175,0.0023488015530997793,-1.074716950315846,0.282530509525468,Var5_3yrs_crops
MeanCropArea,-0.0018114310791488588,0.002819962497363058,-0.6423599891284812,0.5206559622615637,Var5_3yrs_crops
LargeFarms,0.09548771185612924,0.0029220451888568957,32.67838301073093,2.373169444514568e-221,Var5_3yrs_crops
ShrubGrassCropEdge,-3.377202169867805e-4,0.0027933879551743966,-0.12089986153237206,0.9037730718945844,Var5_3yrs_crops
SoyGrains,-0.005761027958664719,0.003109905180932487,-1.8524770446336594,0.0639903255069173,Var5_3yrs_crops
Corn,0.03511453954306722,0.0033830258342808514,10.379625005296987,4.262845081845338e-25,Var5_3yrs_crops
FruitVeg,0.046461326168259376,0.0019928337205402896,23.314201124448534,9.295373549250137e-117,Var5_3yrs_crops
PercentCrop,0.021272257232085878,0.0035932566939219793,5.920049427047074,3.3071027929671015e-9,Var5_crops
LandDiversity,-0.002915405320351294,0.0019776940833523405,-1.4741437236892887,0.140469317392899,Var5_crops
MeanCropArea,-0.0028501036928665594,0.0024476819752083287,-1.1644093153171908,0.24428148796390597,Var5_crops
LargeFarms,0.09668508103159232,0.002490645372953253,38.819288398712956,1.62061564024847e-310,Var5_crops
ShrubGrassCropEdge,0.0018143513503496302,0.0023635300927605813,0.7676447005717979,0.44271350971557455,Var5_crops
SoyGrains,-0.01979787959035491,0.002613077464505979,-7.576461034651279,3.813521958185567e-14,Var5_crops
Corn,0.037699436346576055,0.002863583275379934,13.165126598797507,2.6193875832037198e-39,Var5_crops
FruitVeg,0.04872619241061267,0.0016867028103022027,28.88842783269123,2.003721663561048e-177,Var5_crops
