term,model,vif
PercentCrop,Var6,2.160105564374441
LandDiversity,Var6,1.2428712186406534
MeanCropArea,Var6,1.870832173802699
LargeFarms,Var6,1.3848482283347772
ForestCropEdge,Var6,1.321764493829392
CropDiversity,Var6,1.037861838523541
SoyGrains,Var6,NA
Corn,Var6,NA
FruitVeg,Var6,NA
PercentCrop,Var5_3yrs,2.1565882675060606
LandDiversity,Var5_3yrs,1.2351359891233356
MeanCropArea,Var5_3yrs,1.868225642652659
LargeFarms,Var5_3yrs,1.367760453778578
ForestCropEdge,Var5_3yrs,1.3145763091646023
CropDiversity,Var5_3yrs,NA
SoyGrains,Var5_3yrs,NA
Corn,Var5_3yrs,NA
FruitVeg,Var5_3yrs,NA
PercentCrop,Var5,2.195460590289295
LandDiversity,Var5,1.2278614934434644
MeanCropArea,Var5,1.8944795868282
LargeFarms,Var5,1.371466348314876
ForestCropEdge,Var5,1.315100459262787
CropDiversity,Var5,NA
SoyGrains,Var5,NA
Corn,Var5,NA
FruitVeg,Var5,NA
PercentCrop,Var6_crops,2.2806558071147487
LandDiversity,Var6_crops,1.265023658261992
MeanCropArea,Var6_crops,1.8815345820761795
LargeFarms,Var6_crops,1.9103229239186252
ForestCropEdge,Var6_crops,1.339759724209921
CropDiversity,Var6_crops,1.0569147647113266
SoyGrains,Var6_crops,1.527406647833267
Corn,Var6_crops,1.3971775998223868
FruitVeg,Var6_crops,1.0182207895783078
PercentCrop,Var5_3yrs_crops,2.2704028541798476
LandDiversity,Var5_3yrs_crops,1.2586233241981923
MeanCropArea,Var5_3yrs_crops,1.878916313843261
LargeFarms,Var5_3yrs_crops,1.907954153956905
ForestCropEdge,Var5_3yrs_crops,1.3350517925250052
CropDiversity,Var5_3yrs_crops,NA
SoyGrains,Var5_3yrs_crops,1.5207757457318525
Corn,Var5_3yrs_crops,1.3790025502202294
FruitVeg,Var5_3yrs_crops,1.017014736679918
PercentCrop,Var5_crops,2.303767994336372
LandDiversity,Var5_crops,1.2531016882204316
MeanCropArea,Var5_crops,1.9150550448956118
LargeFarms,Var5_crops,1.8923924815540611
ForestCropEdge,Var5_crops,1.3369244740065591
CropDiversity,Var5_crops,NA
SoyGrains,Var5_crops,1.5124739692706202
Corn,Var5_crops,1.3546165615814028
FruitVeg,Var5_crops,1.0124606424645999
