term,model,vif
PercentCrop,Var6,2.557053874133048
LandDiversity,Var6,1.399736118546883
MeanCropArea,Var6,1.9596564573989301
LargeFarms,Var6,1.3323528130209008
NaturalCropEdge,Var6,1.5442397411055804
CropDiversity,Var6,1.0207022800157206
SoyGrains,Var6,NA
Corn,Var6,NA
FruitVeg,Var6,NA
PercentCrop,Var5_3yrs,2.552071465191943
LandDiversity,Var5_3yrs,1.3945690448659842
MeanCropArea,Var5_3yrs,1.9595605748558833
LargeFarms,Var5_3yrs,1.3230882047940073
NaturalCropEdge,Var5_3yrs,1.5422409208283347
CropDiversity,Var5_3yrs,NA
SoyGrains,Var5_3yrs,NA
Corn,Var5_3yrs,NA
FruitVeg,Var5_3yrs,NA
PercentCrop,Var5,2.6044766918174878
LandDiversity,Var5,1.3891451004720181
MeanCropArea,Var5,1.9930915614073306
LargeFarms,Var5,1.3331204332461601
NaturalCropEdge,Var5,1.5490798086140019
CropDiversity,Var5,NA
SoyGrains,Var5,NA
Corn,Var5,NA
FruitVeg,Var5,NA
PercentCrop,Var6_crops,2.709304382250367
LandDiversity,Var6_crops,1.4283023164700712
MeanCropArea,Var6_crops,1.9775159380121585
LargeFarms,Var6_crops,1.8772750119991513
NaturalCropEdge,Var6_crops,1.566211583560471
CropDiversity,Var6_crops,1.0271052226806228
SoyGrains,Var6_crops,1.4784309283612433
Corn,Var6_crops,1.3467004638927713
FruitVeg,Var6_crops,1.013719068734281
PercentCrop,Var5_3yrs_crops,2.703012932875714
LandDiversity,Var5_3yrs_crops,1.422393956895528
MeanCropArea,Var5_3yrs_crops,1.9775070855716386
LargeFarms,Var5_3yrs_crops,1.866142867261567
NaturalCropEdge,Var5_3yrs_crops,1.56326664610729
CropDiversity,Var5_3yrs_crops,NA
SoyGrains,Var5_3yrs_crops,1.4748963518340825
Corn,Var5_3yrs_crops,1.3446247013441082
FruitVeg,Var5_3yrs_crops,1.0121239291033477
PercentCrop,Var5_crops,2.7467785185592732
LandDiversity,Var5_crops,1.4222116951047787
MeanCropArea,Var5_crops,2.0225147864275224
LargeFarms,Var5_crops,1.8644730880017903
NaturalCropEdge,Var5_crops,1.5707875347518772
CropDiversity,Var5_crops,NA
SoyGrains,Var5_crops,1.4732666959238965
Corn,Var5_crops,1.3181353590629017
FruitVeg,Var5_crops,1.0102887372456613
