term,model,vif
PercentCrop,Var6,2.022195062636249
LandDiversity,Var6,1.3733553076418323
MeanCropArea,Var6,1.7563666178136461
LargeFarms,Var6,1.2966796904644045
ShrubGrassCropEdge,Var6,1.1056004968995627
CropDiversity,Var6,1.0197920436012962
SoyGrains,Var6,NA
Corn,Var6,NA
FruitVeg,Var6,NA
PercentCrop,Var5_3yrs,2.0198488874071834
LandDiversity,Var5_3yrs,1.367348074895785
MeanCropArea,Var5_3yrs,1.7557976400736832
LargeFarms,Var5_3yrs,1.286103207480211
ShrubGrassCropEdge,Var5_3yrs,1.1051549880613438
CropDiversity,Var5_3yrs,NA
SoyGrains,Var5_3yrs,NA
Corn,Var5_3yrs,NA
FruitVeg,Var5_3yrs,NA
PercentCrop,Var5,2.0522280051871653
LandDiversity,Var5,1.362027030943105
MeanCropArea,Var5,1.7798151912726023
LargeFarms,Var5,1.299366182530011
ShrubGrassCropEdge,Var5,1.107456931669013
CropDiversity,Var5,NA
SoyGrains,Var5,NA
Corn,Var5,NA
FruitVeg,Var5,NA
PercentCrop,Var6_crops,2.177493006871629
LandDiversity,Var6_crops,1.4015821858829198
MeanCropArea,Var6_crops,1.7718894709440005
LargeFarms,Var6_crops,1.8457524728630323
ShrubGrassCropEdge,Var6_crops,1.1263267064211295
CropDiversity,Var6_crops,1.026064689138121
SoyGrains,Var6_crops,1.478161140468082
Corn,Var6_crops,1.3596031303855627
FruitVeg,Var6_crops,1.0134471311974584
PercentCrop,Var5_3yrs_crops,2.1744956884935873
LandDiversity,Var5_3yrs_crops,1.394792550933532
MeanCropArea,Var5_3yrs_crops,1.7715230662567674
LargeFarms,Var5_3yrs_crops,1.8330104465784374
ShrubGrassCropEdge,Var5_3yrs_crops,1.1253489433376231
CropDiversity,Var5_3yrs_crops,NA
SoyGrains,Var5_3yrs_crops,1.4747768274311797
Corn,Var5_3yrs_crops,1.3574340785983179
FruitVeg,Var5_3yrs_crops,1.0119378936768326
PercentCrop,Var5_crops,2.1929757568530017
LandDiversity,Var5_crops,1.3938049019267338
MeanCropArea,Var5_crops,1.8043686774165026
LargeFarms,Var5_crops,1.8311421585867393
ShrubGrassCropEdge,Var5_crops,1.1294091237743669
CropDiversity,Var5_crops,NA
SoyGrains,Var5_crops,1.4748415974738833
Corn,Var5_crops,1.333231741252454
FruitVeg,Var5_crops,1.0102130841207821
