term,model,vif,ERS
pland_crops,ERS_twoways_var7,17.51278222357112,9
cropintensity,ERS_twoways_var7,1.1079749471510645,9
msidi,ERS_twoways_var7,2.6491887713263247,9
mna_crops,ERS_twoways_var7,7.8132506364958125,9
largefarm_planted,ERS_twoways_var7,2.7682783739671226,9
natural_crops_ed,ERS_twoways_var7,4.6121291848392625,9
SDI,ERS_twoways_var7,1.2529351091669252,9
soysmallgrain_planted,ERS_twoways_var7,NA,9
corn_planted,ERS_twoways_var7,NA,9
fruitveg_planted,ERS_twoways_var7,NA,9
pland_crops,ERS_individual_var7,17.51278222357112,9
cropintensity,ERS_individual_var7,1.1079749471510645,9
msidi,ERS_individual_var7,2.6491887713263247,9
mna_crops,ERS_individual_var7,7.8132506364958125,9
largefarm_planted,ERS_individual_var7,2.7682783739671226,9
natural_crops_ed,ERS_individual_var7,4.6121291848392625,9
SDI,ERS_individual_var7,1.2529351091669252,9
soysmallgrain_planted,ERS_individual_var7,NA,9
corn_planted,ERS_individual_var7,NA,9
fruitveg_planted,ERS_individual_var7,NA,9
pland_crops,ERS_time_var7,17.51278222357112,9
cropintensity,ERS_time_var7,1.1079749471510645,9
msidi,ERS_time_var7,2.6491887713263247,9
mna_crops,ERS_time_var7,7.8132506364958125,9
largefarm_planted,ERS_time_var7,2.7682783739671226,9
natural_crops_ed,ERS_time_var7,4.6121291848392625,9
SDI,ERS_time_var7,1.2529351091669252,9
soysmallgrain_planted,ERS_time_var7,NA,9
corn_planted,ERS_time_var7,NA,9
fruitveg_planted,ERS_time_var7,NA,9
pland_crops,ERS_twoways_var6,16.815946273460607,9
cropintensity,ERS_twoways_var6,1.0348864785388663,9
msidi,ERS_twoways_var6,2.3159897715234083,9
mna_crops,ERS_twoways_var6,7.6793875603702135,9
largefarm_planted,ERS_twoways_var6,2.804498445796432,9
natural_crops_ed,ERS_twoways_var6,4.528768719782551,9
SDI,ERS_twoways_var6,NA,9
soysmallgrain_planted,ERS_twoways_var6,NA,9
corn_planted,ERS_twoways_var6,NA,9
fruitveg_planted,ERS_twoways_var6,NA,9
pland_crops,ERS_individual_var6,16.815946273460607,9
cropintensity,ERS_individual_var6,1.0348864785388663,9
msidi,ERS_individual_var6,2.3159897715234083,9
mna_crops,ERS_individual_var6,7.6793875603702135,9
largefarm_planted,ERS_individual_var6,2.804498445796432,9
natural_crops_ed,ERS_individual_var6,4.528768719782551,9
SDI,ERS_individual_var6,NA,9
soysmallgrain_planted,ERS_individual_var6,NA,9
corn_planted,ERS_individual_var6,NA,9
fruitveg_planted,ERS_individual_var6,NA,9
pland_crops,ERS_time_var6,16.815946273460607,9
cropintensity,ERS_time_var6,1.0348864785388663,9
msidi,ERS_time_var6,2.3159897715234083,9
mna_crops,ERS_time_var6,7.6793875603702135,9
largefarm_planted,ERS_time_var6,2.804498445796432,9
natural_crops_ed,ERS_time_var6,4.528768719782551,9
SDI,ERS_time_var6,NA,9
soysmallgrain_planted,ERS_time_var6,NA,9
corn_planted,ERS_time_var6,NA,9
fruitveg_planted,ERS_time_var6,NA,9
pland_crops,ERS_twoways_var6_3yrs,17.158624781376307,9
cropintensity,ERS_twoways_var6_3yrs,1.036490896618142,9
msidi,ERS_twoways_var6_3yrs,2.365014215679824,9
mna_crops,ERS_twoways_var6_3yrs,7.8132263978051455,9
largefarm_planted,ERS_twoways_var6_3yrs,2.7573624763798543,9
natural_crops_ed,ERS_twoways_var6_3yrs,4.606957942631711,9
SDI,ERS_twoways_var6_3yrs,NA,9
soysmallgrain_planted,ERS_twoways_var6_3yrs,NA,9
corn_planted,ERS_twoways_var6_3yrs,NA,9
fruitveg_planted,ERS_twoways_var6_3yrs,NA,9
pland_crops,ERS_individual_var6_3yrs,17.158624781376307,9
cropintensity,ERS_individual_var6_3yrs,1.036490896618142,9
msidi,ERS_individual_var6_3yrs,2.365014215679824,9
mna_crops,ERS_individual_var6_3yrs,7.8132263978051455,9
largefarm_planted,ERS_individual_var6_3yrs,2.7573624763798543,9
natural_crops_ed,ERS_individual_var6_3yrs,4.606957942631711,9
SDI,ERS_individual_var6_3yrs,NA,9
soysmallgrain_planted,ERS_individual_var6_3yrs,NA,9
corn_planted,ERS_individual_var6_3yrs,NA,9
fruitveg_planted,ERS_individual_var6_3yrs,NA,9
pland_crops,ERS_time_var6_3yrs,17.158624781376307,9
cropintensity,ERS_time_var6_3yrs,1.036490896618142,9
msidi,ERS_time_var6_3yrs,2.365014215679824,9
mna_crops,ERS_time_var6_3yrs,7.8132263978051455,9
largefarm_planted,ERS_time_var6_3yrs,2.7573624763798543,9
natural_crops_ed,ERS_time_var6_3yrs,4.606957942631711,9
SDI,ERS_time_var6_3yrs,NA,9
soysmallgrain_planted,ERS_time_var6_3yrs,NA,9
corn_planted,ERS_time_var6_3yrs,NA,9
fruitveg_planted,ERS_time_var6_3yrs,NA,9
pland_crops,ERS_twoways_var7crops,18.056247892208006,9
cropintensity,ERS_twoways_var7crops,1.1155367716523918,9
msidi,ERS_twoways_var7crops,2.82591228920355,9
mna_crops,ERS_twoways_var7crops,7.856142506078753,9
largefarm_planted,ERS_twoways_var7crops,3.5036702023229576,9
natural_crops_ed,ERS_twoways_var7crops,5.716090895808642,9
SDI,ERS_twoways_var7crops,1.4018858678626034,9
soysmallgrain_planted,ERS_twoways_var7crops,2.700388973812378,9
corn_planted,ERS_twoways_var7crops,1.9020198216516613,9
fruitveg_planted,ERS_twoways_var7crops,1.055954006501908,9
pland_crops,ERS_individual_var7crops,18.056247892208006,9
cropintensity,ERS_individual_var7crops,1.1155367716523918,9
msidi,ERS_individual_var7crops,2.82591228920355,9
mna_crops,ERS_individual_var7crops,7.856142506078753,9
largefarm_planted,ERS_individual_var7crops,3.5036702023229576,9
natural_crops_ed,ERS_individual_var7crops,5.716090895808642,9
SDI,ERS_individual_var7crops,1.4018858678626034,9
soysmallgrain_planted,ERS_individual_var7crops,2.700388973812378,9
corn_planted,ERS_individual_var7crops,1.9020198216516613,9
fruitveg_planted,ERS_individual_var7crops,1.055954006501908,9
pland_crops,ERS_time_var7crops,18.056247892208006,9
cropintensity,ERS_time_var7crops,1.1155367716523918,9
msidi,ERS_time_var7crops,2.82591228920355,9
mna_crops,ERS_time_var7crops,7.856142506078753,9
largefarm_planted,ERS_time_var7crops,3.5036702023229576,9
natural_crops_ed,ERS_time_var7crops,5.716090895808642,9
SDI,ERS_time_var7crops,1.4018858678626034,9
soysmallgrain_planted,ERS_time_var7crops,2.700388973812378,9
corn_planted,ERS_time_var7crops,1.9020198216516613,9
fruitveg_planted,ERS_time_var7crops,1.055954006501908,9
pland_crops,ERS_twoways_var6crops,17.11489771756912,9
cropintensity,ERS_twoways_var6crops,1.0391667465368952,9
msidi,ERS_twoways_var6crops,2.5354550385035832,9
mna_crops,ERS_twoways_var6crops,7.758589515368758,9
largefarm_planted,ERS_twoways_var6crops,3.418696794740934,9
natural_crops_ed,ERS_twoways_var6crops,5.545493234027907,9
SDI,ERS_twoways_var6crops,NA,9
soysmallgrain_planted,ERS_twoways_var6crops,2.6018068733844717,9
corn_planted,ERS_twoways_var6crops,1.674536862855457,9
