term,estimate,std.error,statistic,p.value,model,ERS
pland_crops,-0.328927720937607,0.12058832662753224,-2.7276912296294156,0.006708043563253217,ERS_twoways_var7,3
cropintensity,-10.009758419158498,6.8282314159913735,-1.4659371965215104,0.14358688855338964,ERS_twoways_var7,3
msidi,-0.13030371360088341,0.05864948257580118,-2.2217367976345423,0.026957086558629335,ERS_twoways_var7,3
mna_crops,-0.054649901486241825,0.026470317933221275,-2.0645729161286,0.0397191634301544,ERS_twoways_var7,3
largefarm_planted,0.03722098729980074,0.009360062971471832,3.976574453958816,8.539714629837857e-5,ERS_twoways_var7,3
natural_crops_ed,-0.029604509607718293,0.049279606949085,-0.6007456520159599,0.5484084836290188,ERS_twoways_var7,3
SDI,0.01075508696690321,0.014859744702095477,0.7237733340995125,0.46970111766899114,ERS_twoways_var7,3
pland_crops,0.19806230777179432,0.11508122215216451,1.721065383802661,0.0861407004325962,ERS_individual_var7,3
cropintensity,-11.085791936596827,7.54465887417254,-1.4693562852187483,0.14265275573736536,ERS_individual_var7,3
msidi,-0.04185260688087694,0.06384297958522513,-0.6555553508433477,0.5125497093857736,ERS_individual_var7,3
mna_crops,-0.012179010847995504,0.028259243532136106,-0.43097441140438403,0.6667576890968288,ERS_individual_var7,3
largefarm_planted,0.044551046423048295,0.010254711045963611,4.344446783859811,1.8414961052261888e-5,ERS_individual_var7,3
natural_crops_ed,-0.0526983673535032,0.04968700008891613,-1.0606067433976323,0.28961490232425974,ERS_individual_var7,3
SDI,0.01096177065913255,0.01635809928516989,0.6701127354735154,0.503236820885042,ERS_individual_var7,3
pland_crops,0.07141484893503985,0.007665166614086036,9.316803212575058,3.4860746965346393e-19,ERS_time_var7,3
cropintensity,-12.501954017832697,5.558220327641308,-2.24927283930431,0.02491681769257333,ERS_time_var7,3
msidi,-0.023374749623894873,0.004156976880838146,-5.623016507895989,3.0806166374438264e-8,ERS_time_var7,3
mna_crops,-0.028393845934286878,0.0054947385386034326,-5.167460787224934,3.3995858845587434e-7,ERS_time_var7,3
largefarm_planted,0.020569740352429238,0.006969097729838356,2.951564341587493,0.003305812982315941,ERS_time_var7,3
natural_crops_ed,-0.012523771201689066,0.0067458839397323885,-1.8565055837865316,0.06395238552209587,ERS_time_var7,3
SDI,0.019707563723095532,0.008468791289826066,2.3270810495437644,0.02034775937058511,ERS_time_var7,3
pland_crops,-0.08154647654618633,0.08578494806862662,-0.950591897321549,0.3422566070345374,ERS_twoways_var6,3
cropintensity,-8.179433724494903,6.419354615332278,-1.2741831873501384,0.20317206209267002,ERS_twoways_var6,3
msidi,-0.2008489034322138,0.0440112942599204,-4.563576391233741,6.292130730052e-6,ERS_twoways_var6,3
mna_crops,-0.05670161991854443,0.020305640509583188,-2.7924073555711906,0.005425894074426116,ERS_twoways_var6,3
largefarm_planted,0.03873510811479022,0.007174416234046972,5.399060613596484,1.0235622893380451e-7,ERS_twoways_var6,3
natural_crops_ed,-0.02937071969333437,0.04160958594111206,-0.7058642625019451,0.4805911064016416,ERS_twoways_var6,3
pland_crops,0.37663085386293815,0.08435629843840126,4.4647626891542895,9.841010962640253e-6,ERS_individual_var6,3
cropintensity,-14.65141027611078,7.149513510570908,-2.04928772488477,0.040936162440179884,ERS_individual_var6,3
msidi,-0.1344091212793103,0.04868205742367678,-2.7609581104914374,0.005967227442001554,ERS_individual_var6,3
mna_crops,0.010162193261986299,0.021273893797481378,0.47768374509744915,0.6330764281729899,ERS_individual_var6,3
