term,model,vif,ERS
pland_crops,ERS_twoways_var7,3.7449956120441903,3
cropintensity,ERS_twoways_var7,1.2223159120147362,3
msidi,ERS_twoways_var7,1.252421807646594,3
mna_crops,ERS_twoways_var7,2.140507165753263,3
largefarm_planted,ERS_twoways_var7,1.5617819336948102,3
natural_crops_ed,ERS_twoways_var7,2.4679262517593012,3
SDI,ERS_twoways_var7,1.2916871923854625,3
soysmallgrain_planted,ERS_twoways_var7,NA,3
corn_planted,ERS_twoways_var7,NA,3
fruitveg_planted,ERS_twoways_var7,NA,3
pland_crops,ERS_individual_var7,3.7449956120441903,3
cropintensity,ERS_individual_var7,1.2223159120147362,3
msidi,ERS_individual_var7,1.252421807646594,3
mna_crops,ERS_individual_var7,2.140507165753263,3
largefarm_planted,ERS_individual_var7,1.5617819336948102,3
natural_crops_ed,ERS_individual_var7,2.4679262517593012,3
SDI,ERS_individual_var7,1.2916871923854625,3
soysmallgrain_planted,ERS_individual_var7,NA,3
corn_planted,ERS_individual_var7,NA,3
fruitveg_planted,ERS_individual_var7,NA,3
pland_crops,ERS_time_var7,3.7449956120441903,3
cropintensity,ERS_time_var7,1.2223159120147362,3
msidi,ERS_time_var7,1.252421807646594,3
mna_crops,ERS_time_var7,2.140507165753263,3
largefarm_planted,ERS_time_var7,1.5617819336948102,3
natural_crops_ed,ERS_time_var7,2.4679262517593012,3
SDI,ERS_time_var7,1.2916871923854625,3
soysmallgrain_planted,ERS_time_var7,NA,3
corn_planted,ERS_time_var7,NA,3
fruitveg_planted,ERS_time_var7,NA,3
pland_crops,ERS_twoways_var6,3.556682521512223,3
cropintensity,ERS_twoways_var6,1.1276627480397001,3
msidi,ERS_twoways_var6,1.257082152026266,3
mna_crops,ERS_twoways_var6,2.1766010989696403,3
largefarm_planted,ERS_twoways_var6,1.4448032442040546,3
natural_crops_ed,ERS_twoways_var6,2.3268906847823976,3
SDI,ERS_twoways_var6,NA,3
soysmallgrain_planted,ERS_twoways_var6,NA,3
corn_planted,ERS_twoways_var6,NA,3
fruitveg_planted,ERS_twoways_var6,NA,3
pland_crops,ERS_individual_var6,3.556682521512223,3
cropintensity,ERS_individual_var6,1.1276627480397001,3
msidi,ERS_individual_var6,1.257082152026266,3
mna_crops,ERS_individual_var6,2.1766010989696403,3
largefarm_planted,ERS_individual_var6,1.4448032442040546,3
natural_crops_ed,ERS_individual_var6,2.3268906847823976,3
SDI,ERS_individual_var6,NA,3
soysmallgrain_planted,ERS_individual_var6,NA,3
corn_planted,ERS_individual_var6,NA,3
fruitveg_planted,ERS_individual_var6,NA,3
pland_crops,ERS_time_var6,3.556682521512223,3
cropintensity,ERS_time_var6,1.1276627480397001,3
msidi,ERS_time_var6,1.257082152026266,3
mna_crops,ERS_time_var6,2.1766010989696403,3
largefarm_planted,ERS_time_var6,1.4448032442040546,3
natural_crops_ed,ERS_time_var6,2.3268906847823976,3
SDI,ERS_time_var6,NA,3
soysmallgrain_planted,ERS_time_var6,NA,3
corn_planted,ERS_time_var6,NA,3
fruitveg_planted,ERS_time_var6,NA,3
pland_crops,ERS_twoways_var6_3yrs,3.4886973768561864,3
cropintensity,ERS_twoways_var6_3yrs,1.1138241406712333,3
msidi,ERS_twoways_var6_3yrs,1.2521301645121194,3
mna_crops,ERS_twoways_var6_3yrs,2.0898602141519236,3
largefarm_planted,ERS_twoways_var6_3yrs,1.4682490198129354,3
natural_crops_ed,ERS_twoways_var6_3yrs,2.348972570504458,3
SDI,ERS_twoways_var6_3yrs,NA,3
soysmallgrain_planted,ERS_twoways_var6_3yrs,NA,3
corn_planted,ERS_twoways_var6_3yrs,NA,3
fruitveg_planted,ERS_twoways_var6_3yrs,NA,3
pland_crops,ERS_individual_var6_3yrs,3.4886973768561864,3
cropintensity,ERS_individual_var6_3yrs,1.1138241406712333,3
msidi,ERS_individual_var6_3yrs,1.2521301645121194,3
mna_crops,ERS_individual_var6_3yrs,2.0898602141519236,3
largefarm_planted,ERS_individual_var6_3yrs,1.4682490198129354,3
natural_crops_ed,ERS_individual_var6_3yrs,2.348972570504458,3
SDI,ERS_individual_var6_3yrs,NA,3
soysmallgrain_planted,ERS_individual_var6_3yrs,NA,3
corn_planted,ERS_individual_var6_3yrs,NA,3
fruitveg_planted,ERS_individual_var6_3yrs,NA,3
pland_crops,ERS_time_var6_3yrs,3.4886973768561864,3
cropintensity,ERS_time_var6_3yrs,1.1138241406712333,3
msidi,ERS_time_var6_3yrs,1.2521301645121194,3
mna_crops,ERS_time_var6_3yrs,2.0898602141519236,3
largefarm_planted,ERS_time_var6_3yrs,1.4682490198129354,3
natural_crops_ed,ERS_time_var6_3yrs,2.348972570504458,3
SDI,ERS_time_var6_3yrs,NA,3
soysmallgrain_planted,ERS_time_var6_3yrs,NA,3
corn_planted,ERS_time_var6_3yrs,NA,3
fruitveg_planted,ERS_time_var6_3yrs,NA,3
pland_crops,ERS_twoways_var7crops,6.13550118262171,3
cropintensity,ERS_twoways_var7crops,1.3587643123402535,3
msidi,ERS_twoways_var7crops,1.4701390048893916,3
mna_crops,ERS_twoways_var7crops,2.3555120859079954,3
largefarm_planted,ERS_twoways_var7crops,2.693440612802989,3
natural_crops_ed,ERS_twoways_var7crops,2.6445421981027954,3
SDI,ERS_twoways_var7crops,1.3856231429408619,3
soysmallgrain_planted,ERS_twoways_var7crops,5.581983591164467,3
corn_planted,ERS_twoways_var7crops,1.896453565818531,3
fruitveg_planted,ERS_twoways_var7crops,1.2139419087882395,3
pland_crops,ERS_individual_var7crops,6.13550118262171,3
cropintensity,ERS_individual_var7crops,1.3587643123402535,3
msidi,ERS_individual_var7crops,1.4701390048893916,3
mna_crops,ERS_individual_var7crops,2.3555120859079954,3
largefarm_planted,ERS_individual_var7crops,2.693440612802989,3
natural_crops_ed,ERS_individual_var7crops,2.6445421981027954,3
SDI,ERS_individual_var7crops,1.3856231429408619,3
soysmallgrain_planted,ERS_individual_var7crops,5.581983591164467,3
corn_planted,ERS_individual_var7crops,1.896453565818531,3
fruitveg_planted,ERS_individual_var7crops,1.2139419087882395,3
pland_crops,ERS_time_var7crops,6.13550118262171,3
cropintensity,ERS_time_var7crops,1.3587643123402535,3
msidi,ERS_time_var7crops,1.4701390048893916,3
mna_crops,ERS_time_var7crops,2.3555120859079954,3
largefarm_planted,ERS_time_var7crops,2.693440612802989,3
natural_crops_ed,ERS_time_var7crops,2.6445421981027954,3
SDI,ERS_time_var7crops,1.3856231429408619,3
soysmallgrain_planted,ERS_time_var7crops,5.581983591164467,3
corn_planted,ERS_time_var7crops,1.896453565818531,3
fruitveg_planted,ERS_time_var7crops,1.2139419087882395,3
pland_crops,ERS_twoways_var6crops,5.298285578583803,3
cropintensity,ERS_twoways_var6crops,1.2366820157309328,3
msidi,ERS_twoways_var6crops,1.4820737592436535,3
mna_crops,ERS_twoways_var6crops,2.345793613896267,3
largefarm_planted,ERS_twoways_var6crops,2.604158821572279,3
natural_crops_ed,ERS_twoways_var6crops,2.427019347371364,3
SDI,ERS_twoways_var6crops,NA,3
soysmallgrain_planted,ERS_twoways_var6crops,5.4110770630559735,3
corn_planted,ERS_twoways_var6crops,1.7543493126414356,3
fruitveg_planted,ERS_twoways_var6crops,1.1088339436268744,3
pland_crops,ERS_individual_var6crops,5.298285578583803,3
cropintensity,ERS_individual_var6crops,1.2366820157309328,3
msidi,ERS_individual_var6crops,1.4820737592436535,3
mna_crops,ERS_individual_var6crops,2.345793613896267,3
largefarm_planted,ERS_individual_var6crops,2.604158821572279,3
natural_crops_ed,ERS_individual_var6crops,2.427019347371364,3
SDI,ERS_individual_var6crops,NA,3
soysmallgrain_planted,ERS_individual_var6crops,5.4110770630559735,3
corn_planted,ERS_individual_var6crops,1.7543493126414356,3
fruitveg_planted,ERS_individual_var6crops,1.1088339436268744,3
pland_crops,ERS_time_var6crops,5.298285578583803,3
cropintensity,ERS_time_var6crops,1.2366820157309328,3
msidi,ERS_time_var6crops,1.4820737592436535,3
mna_crops,ERS_time_var6crops,2.345793613896267,3
largefarm_planted,ERS_time_var6crops,2.604158821572279,3
natural_crops_ed,ERS_time_var6crops,2.427019347371364,3
SDI,ERS_time_var6crops,NA,3
soysmallgrain_planted,ERS_time_var6crops,5.4110770630559735,3
corn_planted,ERS_time_var6crops,1.7543493126414356,3
fruitveg_planted,ERS_time_var6crops,1.1088339436268744,3
pland_crops,ERS_twoways_var6crops_3yrs,5.784901396787303,3
cropintensity,ERS_twoways_var6crops_3yrs,1.2347100008851803,3
msidi,ERS_twoways_var6crops_3yrs,1.4701358731998602,3
mna_crops,ERS_twoways_var6crops_3yrs,2.2946385444110358,3
largefarm_planted,ERS_twoways_var6crops_3yrs,2.5751379792207354,3
natural_crops_ed,ERS_twoways_var6crops_3yrs,2.4833685911433636,3
SDI,ERS_twoways_var6crops_3yrs,NA,3
soysmallgrain_planted,ERS_twoways_var6crops_3yrs,5.58150863214502,3
corn_planted,ERS_twoways_var6crops_3yrs,1.8715481147503972,3
fruitveg_planted,ERS_twoways_var6crops_3yrs,1.166799735539591,3
pland_crops,ERS_individual_var6crops_3yrs,5.784901396787303,3
cropintensity,ERS_individual_var6crops_3yrs,1.2347100008851803,3
msidi,ERS_individual_var6crops_3yrs,1.4701358731998602,3
mna_crops,ERS_individual_var6crops_3yrs,2.2946385444110358,3
largefarm_planted,ERS_individual_var6crops_3yrs,2.5751379792207354,3
natural_crops_ed,ERS_individual_var6crops_3yrs,2.4833685911433636,3
SDI,ERS_individual_var6crops_3yrs,NA,3
soysmallgrain_planted,ERS_individual_var6crops_3yrs,5.58150863214502,3
corn_planted,ERS_individual_var6crops_3yrs,1.8715481147503972,3
fruitveg_planted,ERS_individual_var6crops_3yrs,1.166799735539591,3
pland_crops,ERS_time_var6crops_3yrs,5.784901396787303,3
cropintensity,ERS_time_var6crops_3yrs,1.2347100008851803,3
msidi,ERS_time_var6crops_3yrs,1.4701358731998602,3
mna_crops,ERS_time_var6crops_3yrs,2.2946385444110358,3
largefarm_planted,ERS_time_var6crops_3yrs,2.5751379792207354,3
natural_crops_ed,ERS_time_var6crops_3yrs,2.4833685911433636,3
SDI,ERS_time_var6crops_3yrs,NA,3
soysmallgrain_planted,ERS_time_var6crops_3yrs,5.58150863214502,3
corn_planted,ERS_time_var6crops_3yrs,1.8715481147503972,3
fruitveg_planted,ERS_time_var6crops_3yrs,1.166799735539591,3
