term,model,vif
pland_crops,cp_twoways_var7,5.096031558764209
cropintensity,cp_twoways_var7,1.018048826356006
msidi,cp_twoways_var7,1.5975776875602365
mna_crops,cp_twoways_var7,3.0696551966292676
largefarm_planted,cp_twoways_var7,2.729924577012778
natural_crops_ed,cp_twoways_var7,2.629049606383425
SDI,cp_twoways_var7,1.2347288613473373
soysmallgrain_planted,cp_twoways_var7,NA
corn_planted,cp_twoways_var7,NA
fruitveg_planted,cp_twoways_var7,NA
pland_crops,cp_individual_var7,5.096031558764209
cropintensity,cp_individual_var7,1.018048826356006
msidi,cp_individual_var7,1.5975776875602365
mna_crops,cp_individual_var7,3.0696551966292676
largefarm_planted,cp_individual_var7,2.729924577012778
natural_crops_ed,cp_individual_var7,2.629049606383425
SDI,cp_individual_var7,1.2347288613473373
soysmallgrain_planted,cp_individual_var7,NA
corn_planted,cp_individual_var7,NA
fruitveg_planted,cp_individual_var7,NA
pland_crops,cp_time_var7,5.096031558764209
cropintensity,cp_time_var7,1.018048826356006
msidi,cp_time_var7,1.5975776875602365
mna_crops,cp_time_var7,3.0696551966292676
largefarm_planted,cp_time_var7,2.729924577012778
natural_crops_ed,cp_time_var7,2.629049606383425
SDI,cp_time_var7,1.2347288613473373
soysmallgrain_planted,cp_time_var7,NA
corn_planted,cp_time_var7,NA
fruitveg_planted,cp_time_var7,NA
pland_crops,cp_twoways_var6,5.030643642318188
cropintensity,cp_twoways_var6,1.0080589304418661
msidi,cp_twoways_var6,1.5292869149102246
mna_crops,cp_twoways_var6,3.0816343065799923
largefarm_planted,cp_twoways_var6,2.5836614132441116
natural_crops_ed,cp_twoways_var6,2.5329420310790542
SDI,cp_twoways_var6,NA
soysmallgrain_planted,cp_twoways_var6,NA
corn_planted,cp_twoways_var6,NA
fruitveg_planted,cp_twoways_var6,NA
pland_crops,cp_individual_var6,5.030643642318188
cropintensity,cp_individual_var6,1.0080589304418661
msidi,cp_individual_var6,1.5292869149102246
mna_crops,cp_individual_var6,3.0816343065799923
largefarm_planted,cp_individual_var6,2.5836614132441116
natural_crops_ed,cp_individual_var6,2.5329420310790542
SDI,cp_individual_var6,NA
soysmallgrain_planted,cp_individual_var6,NA
corn_planted,cp_individual_var6,NA
fruitveg_planted,cp_individual_var6,NA
pland_crops,cp_time_var6,5.030643642318188
cropintensity,cp_time_var6,1.0080589304418661
msidi,cp_time_var6,1.5292869149102246
mna_crops,cp_time_var6,3.0816343065799923
largefarm_planted,cp_time_var6,2.5836614132441116
natural_crops_ed,cp_time_var6,2.5329420310790542
SDI,cp_time_var6,NA
soysmallgrain_planted,cp_time_var6,NA
corn_planted,cp_time_var6,NA
fruitveg_planted,cp_time_var6,NA
pland_crops,cp_twoways_var6_3yrs,4.9546554808308025
cropintensity,cp_twoways_var6_3yrs,1.0082037547259783
msidi,cp_twoways_var6_3yrs,1.552593782262056
mna_crops,cp_twoways_var6_3yrs,3.0218050351444687
largefarm_planted,cp_twoways_var6_3yrs,2.60479075422985
natural_crops_ed,cp_twoways_var6_3yrs,2.5514749457313846
SDI,cp_twoways_var6_3yrs,NA
soysmallgrain_planted,cp_twoways_var6_3yrs,NA
corn_planted,cp_twoways_var6_3yrs,NA
fruitveg_planted,cp_twoways_var6_3yrs,NA
pland_crops,cp_individual_var6_3yrs,4.9546554808308025
cropintensity,cp_individual_var6_3yrs,1.0082037547259783
msidi,cp_individual_var6_3yrs,1.552593782262056
mna_crops,cp_individual_var6_3yrs,3.0218050351444687
largefarm_planted,cp_individual_var6_3yrs,2.60479075422985
natural_crops_ed,cp_individual_var6_3yrs,2.5514749457313846
SDI,cp_individual_var6_3yrs,NA
soysmallgrain_planted,cp_individual_var6_3yrs,NA
corn_planted,cp_individual_var6_3yrs,NA
fruitveg_planted,cp_individual_var6_3yrs,NA
pland_crops,cp_time_var6_3yrs,4.9546554808308025
cropintensity,cp_time_var6_3yrs,1.0082037547259783
msidi,cp_time_var6_3yrs,1.552593782262056
mna_crops,cp_time_var6_3yrs,3.0218050351444687
largefarm_planted,cp_time_var6_3yrs,2.60479075422985
natural_crops_ed,cp_time_var6_3yrs,2.5514749457313846
SDI,cp_time_var6_3yrs,NA
soysmallgrain_planted,cp_time_var6_3yrs,NA
corn_planted,cp_time_var6_3yrs,NA
fruitveg_planted,cp_time_var6_3yrs,NA
