term,model,vif
PercentCrop,Var6,2.1856158895843603
LandDiversity,Var6,1.3694830645047336
MeanCropArea,Var6,1.8528295765186156
LargeFarms,Var6,1.3293873279514445
ForestCropEdge,Var6,1.2831049438905513
CropDiversity,Var6,1.0208441969792237
SoyGrains,Var6,NA
Corn,Var6,NA
FruitVeg,Var6,NA
PercentCrop,Var5_3yrs,2.1818201152067687
LandDiversity,Var5_3yrs,1.3640737395665423
MeanCropArea,Var5_3yrs,1.85263894453635
LargeFarms,Var5_3yrs,1.3201343358592517
ForestCropEdge,Var5_3yrs,1.2812659837518994
CropDiversity,Var5_3yrs,NA
SoyGrains,Var5_3yrs,NA
Corn,Var5_3yrs,NA
FruitVeg,Var5_3yrs,NA
PercentCrop,Var5,2.222220504570681
LandDiversity,Var5,1.3572833014522996
MeanCropArea,Var5,1.8817759021000169
LargeFarms,Var5,1.3297686865406115
ForestCropEdge,Var5,1.2815001054856776
CropDiversity,Var5,NA
SoyGrains,Var5,NA
Corn,Var5,NA
FruitVeg,Var5,NA
PercentCrop,Var6_crops,2.305076273279062
LandDiversity,Var6_crops,1.3987044377020141
MeanCropArea,Var6_crops,1.8654484493492174
LargeFarms,Var6_crops,1.8692824673137007
ForestCropEdge,Var6_crops,1.2962797293538784
CropDiversity,Var6_crops,1.0266912071926217
SoyGrains,Var6_crops,1.471642828435514
Corn,Var6_crops,1.34605760155805
FruitVeg,Var6_crops,1.015692537169067
PercentCrop,Var5_3yrs_crops,2.3010301045986123
LandDiversity,Var5_3yrs_crops,1.3922238725202558
MeanCropArea,Var5_3yrs_crops,1.865336825900364
LargeFarms,Var5_3yrs_crops,1.857762054672957
ForestCropEdge,Var5_3yrs_crops,1.294364087781643
CropDiversity,Var5_3yrs_crops,NA
SoyGrains,Var5_3yrs_crops,1.4683948149053305
Corn,Var5_3yrs_crops,1.3444325848420493
FruitVeg,Var5_3yrs_crops,1.0140133138046195
PercentCrop,Var5_crops,2.3315391168758968
LandDiversity,Var5_crops,1.391231063764806
MeanCropArea,Var5_crops,1.904933564914093
LargeFarms,Var5_crops,1.8549691769270304
ForestCropEdge,Var5_crops,1.2964392726256415
CropDiversity,Var5_crops,NA
SoyGrains,Var5_crops,1.4680238496039177
Corn,Var5_crops,1.3170475881980834
FruitVeg,Var5_crops,1.0118141598279575
