term,model,vif
PercentCrop,Var6,1.954937081918338
LandDiversity,Var6,1.2433482977942907
MeanCropArea,Var6,1.7372874253679376
LargeFarms,Var6,1.3450641309457458
ShrubGrassCropEdge,Var6,1.1005275286234897
CropDiversity,Var6,1.0331915932192988
SoyGrains,Var6,NA
Corn,Var6,NA
FruitVeg,Var6,NA
PercentCrop,Var5_3yrs,1.9541330080246266
LandDiversity,Var5_3yrs,1.2341217931963095
MeanCropArea,Var5_3yrs,1.7365825745129573
LargeFarms,Var5_3yrs,1.324169740139241
ShrubGrassCropEdge,Var5_3yrs,1.0994900668757783
CropDiversity,Var5_3yrs,NA
SoyGrains,Var5_3yrs,NA
Corn,Var5_3yrs,NA
FruitVeg,Var5_3yrs,NA
PercentCrop,Var5,1.984059243412682
LandDiversity,Var5,1.2275521814950137
MeanCropArea,Var5,1.7575170457568414
LargeFarms,Var5,1.3316681263879575
ShrubGrassCropEdge,Var5,1.1014149133095528
CropDiversity,Var5,NA
SoyGrains,Var5,NA
Corn,Var5,NA
FruitVeg,Var5,NA
PercentCrop,Var6_crops,2.1207499152491174
LandDiversity,Var6_crops,1.267136162858339
MeanCropArea,Var6_crops,1.7492987957154613
LargeFarms,Var6_crops,1.890020457836372
ShrubGrassCropEdge,Var6_crops,1.1233581066783025
CropDiversity,Var6_crops,1.0547073938668194
SoyGrains,Var6_crops,1.535281247353609
Corn,Var6_crops,1.4068183167240647
FruitVeg,Var6_crops,1.0173726277033115
PercentCrop,Var5_3yrs_crops,2.113849462817283
LandDiversity,Var5_3yrs_crops,1.2601373320337899
MeanCropArea,Var5_3yrs_crops,1.7481735467280775
LargeFarms,Var5_3yrs_crops,1.886922647723367
ShrubGrassCropEdge,Var5_3yrs_crops,1.121753399464589
CropDiversity,Var5_3yrs_crops,NA
SoyGrains,Var5_3yrs_crops,1.5286679306237783
Corn,Var5_3yrs_crops,1.3856770690444389
FruitVeg,Var5_3yrs_crops,1.0160361857969515
PercentCrop,Var5_crops,2.1332951752556095
LandDiversity,Var5_crops,1.2548882777885817
MeanCropArea,Var5_crops,1.7763884477834542
LargeFarms,Var5_crops,1.8720063975167565
ShrubGrassCropEdge,Var5_crops,1.12540196180629
CropDiversity,Var5_crops,NA
SoyGrains,Var5_crops,1.5213089443656442
Corn,Var5_crops,1.3643891674785211
FruitVeg,Var5_crops,1.01157484075118
