term,ERS,estimate,std.error,statistic,df,p.value,model
ForestCropEdge,1,-0.011295808436074676,0.0059729340116544604,-1.891165784526358,24.860519772182165,0.07031013500478442,Var5
ForestCropEdge,2,0.038617338742871044,0.012722416204562473,3.0353777240067195,36.192969412691824,0.004432032204244062,Var5
ForestCropEdge,3,0.045139750806293275,0.078392882469816,0.575814402840381,2.826306685756296,0.6073718136822919,Var5
ForestCropEdge,4,0.001852413829364385,0.013677651108886798,0.13543362194410805,4.052827470403161,0.8987298968732321,Var5
ForestCropEdge,5,0.01940792224944407,0.027690601383130668,0.7008848230095692,6.718047576082303,0.5069162359558651,Var5
ForestCropEdge,6,0.05041881314759045,0.013345736663810653,3.777896598567695,16.028428831803406,0.0016432827045930252,Var5
ForestCropEdge,7,0.0462389654176623,0.044318416147116305,1.0433352415882977,3.5612646177455054,0.36237244234542704,Var5
ForestCropEdge,8,0.8376140738131178,0.5279559625656078,1.5865226140125834,3.011238547910489,0.2104763129340324,Var5
ForestCropEdge,9,0.003661050910686558,0.018838971767275694,0.1943339029280781,2.4608745045896314,0.8608131889017404,Var5
LandDiversity,1,0.010644925733345552,0.009454583179635871,1.1259011138929473,28.369724577750844,0.26964210117585147,Var5
LandDiversity,2,-0.01990084718119427,0.013732762120636777,-1.4491510889341381,43.596080810815046,0.15445090377699694,Var5
LandDiversity,3,-0.014355212906651399,0.015208894690336114,-0.9438695709934034,28.070376480375227,0.3532900722314458,Var5
LandDiversity,4,-0.030092965850240423,0.014248196507670926,-2.1120543806396137,36.42651517532463,0.04160329811581322,Var5
LandDiversity,5,-0.006430262776967178,0.011590592767154628,-0.554782909394352,36.17706991313106,0.5824572186242094,Var5
LandDiversity,6,-0.0318969842223044,0.015238990233996469,-2.0931166522533644,27.664309352940535,0.045633969438026306,Var5
LandDiversity,7,0.03423386241673032,0.019907681321309288,1.7196308231077726,34.86035435804706,0.09436793876610089,Var5
LandDiversity,8,-0.01964917350446533,0.022045104222693523,-0.8913168795200437,43.18954279616583,0.37769801884533216,Var5
LandDiversity,9,-0.00997294473676509,0.016073106830297796,-0.620473990626759,13.451611370815566,0.5453151883919499,Var5
LargeFarms,1,0.0658838776821652,0.010726410621789084,6.1422110345404874,26.631557710738964,1.54267330914326e-6,Var5
LargeFarms,2,-0.02451992113904094,0.016738928677141537,-1.4648441135020203,52.254622888019945,0.14895450889411688,Var5
LargeFarms,3,-0.028706959628994427,0.013588705921289433,-2.1125602242976806,29.44548524796314,0.043232581421734105,Var5
LargeFarms,4,0.056630312240189516,0.01577893710757311,3.5889814284771924,38.67851074459673,9.216353743611298e-4,Var5
LargeFarms,5,-0.0024018824434790943,0.017741649121985132,-0.1353810137357933,45.37652067192451,0.892909416816489,Var5
LargeFarms,6,0.053318588350441724,0.014988967088991167,3.5571889666501586,44.62803632467021,9.02100066115644e-4,Var5
LargeFarms,7,0.050971336162883185,0.019636307644011534,2.59576989151664,41.63147068482864,0.01298139322975059,Var5
LargeFarms,8,-0.022021441693204948,0.019747104657090977,-1.1151731899743227,44.81456743080472,0.2707207980490777,Var5
LargeFarms,9,0.09635683767316928,0.015979331286595587,6.030091994775722,33.55613340362311,8.279155801243441e-7,Var5
MeanCropArea,1,-0.012149427654159493,0.006149877230928619,-1.9755561286749386,10.021185675142746,0.07637468092752811,Var5
MeanCropArea,2,0.03795270817540327,0.023847835848858998,1.5914529274663354,4.168767370096408,0.18384913433949804,Var5
MeanCropArea,3,0.012093865654597415,0.013632812656513707,0.8871144905537164,11.902495112450563,0.39258993448642576,Var5
MeanCropArea,4,0.012628970865559199,0.007750017750821233,1.629540895467106,14.692184216237624,0.12444516865955008,Var5
MeanCropArea,5,0.0214383877652757,0.021148923340927453,1.0136869579449501,7.256776110220918,0.3433317528516677,Var5
MeanCropArea,6,0.07327797682905597,0.031237959955403554,2.3457990513359475,4.159128459376642,0.07638229290875406,Var5
MeanCropArea,7,0.04023855198068137,0.02171428897252972,1.8530909315790303,11.482737437367124,0.08972644648051192,Var5
MeanCropArea,8,-0.008111982996795499,0.026980350719615093,-0.30066262225783347,13.107852641992604,0.7683876207509472,Var5
MeanCropArea,9,-0.0031560892684831454,0.03308794104933493,-0.09538487945736301,7.466488261418535,0.9265190516623771,Var5
PercentCrop,1,0.05714957461372189,0.013717152013213269,4.166285724520049,23.64311193339965,3.5478926586557087e-4,Var5
PercentCrop,2,-0.07292625480650636,0.021272617356579114,-3.4281749906036834,31.879525523172113,0.0016955337016738145,Var5
PercentCrop,3,-0.03714309405029381,0.01955965256526309,-1.8989649190527027,25.691313102177887,0.06885416289033894,Var5
PercentCrop,4,-0.04704157580113549,0.018220170282909866,-2.581840623369996,37.08500287340867,0.01391268418585287,Var5
PercentCrop,5,0.044718746432454985,0.10105271514709856,0.4425288956101736,4.876122176012255,0.6770446937331618,Var5
PercentCrop,6,-0.06944637497213176,0.03268461650836561,-2.1247419242124805,18.655889803400626,0.04720445994257909,Var5
PercentCrop,7,-0.023280156070280954,0.026328846754391618,-0.8842072076855343,17.52803474815763,0.38855226894465156,Var5
PercentCrop,8,-0.12390344432425605,0.09737977415556985,-1.2723735025952423,7.369519013812159,0.24191425833812932,Var5
PercentCrop,9,-0.04404573130934417,0.025975876233453973,-1.6956398665242438,17.491282670336783,0.10768004681021583,Var5
ForestCropEdge,1,-0.013202913762430546,0.006470979667079949,-2.0403268811982533,25.00329695011984,0.052012264098574915,Var5_3yrs
ForestCropEdge,2,0.04176153111310953,0.01342102558679706,3.111649764992063,35.97359178077831,0.003633818271344081,Var5_3yrs
ForestCropEdge,3,0.04630003587291026,0.0972408610638336,0.476137658247562,2.791001196900634,0.6687434976237367,Var5_3yrs
ForestCropEdge,4,0.005953453610874084,0.015956513937920636,0.3731049046199063,4.03373548586818,0.7278505086665374,Var5_3yrs
ForestCropEdge,5,0.025744935975334327,0.027705704157332568,0.9292287187193072,6.76546708681124,0.384726268008805,Var5_3yrs
ForestCropEdge,6,0.051331141422864913,0.013809936705782197,3.716971519599554,15.84036122123605,0.0019023221439156985,Var5_3yrs
ForestCropEdge,7,0.06458597310825918,0.04651239342172307,1.3885755678634903,3.5985994518435525,0.2447114015101466,Var5_3yrs
ForestCropEdge,8,0.8348970823916361,0.5597558860127783,1.4915378350707986,2.9340884744085534,0.23459410790679988,Var5_3yrs
ForestCropEdge,9,0.008847913324904918,0.01982916864436683,0.4462069733527875,2.463060835992426,0.6916830894213531,Var5_3yrs
LandDiversity,1,0.017694740153252765,0.010046916479565134,1.7612110331804667,27.02967323228831,0.08951299795354602,Var5_3yrs
LandDiversity,2,-0.027219857682265258,0.01469152152747308,-1.852759609095916,42.47743859105581,0.07087286461498969,Var5_3yrs
LandDiversity,3,-0.023555700926932262,0.01669371203702087,-1.4110523096776726,28.069101819600878,0.16921744047657827,Var5_3yrs
LandDiversity,4,-0.03958334594749716,0.015629125410197297,-2.5326654504717725,35.82535871863778,0.015844912688222103,Var5_3yrs
LandDiversity,5,-0.011392589597881695,0.012180472121530478,-0.9353159289896404,35.73725683770737,0.3559030301968663,Var5_3yrs
LandDiversity,6,-0.03929451949118267,0.01670351751979505,-2.3524697384616995,26.702868503515298,0.026279883227947283,Var5_3yrs
LandDiversity,7,0.034721634890603,0.01976459195571381,1.7567595105632934,34.04044026889071,0.08795190728168284,Var5_3yrs
LandDiversity,8,-0.023385259572678,0.025560072027807603,-0.9149136804949706,42.58847877656109,0.36538824555651717,Var5_3yrs
LandDiversity,9,-0.011964452392231751,0.016625617212476577,-0.7196395922825116,13.939069002158721,0.48363917018669644,Var5_3yrs
LargeFarms,1,0.07312736043416544,0.011275627043616178,6.4854362556774445,25.310816750284715,8.099450136376181e-7,Var5_3yrs
LargeFarms,2,-0.029434716190842574,0.018139915731891523,-1.6226490037709396,49.61944977034261,0.11100183509288365,Var5_3yrs
LargeFarms,3,-0.03873491408221973,0.01451386223877952,-2.6688219472501333,25.052675347089945,0.013160555930516654,Var5_3yrs
LargeFarms,4,0.05857026102334115,0.01697968297438666,3.4494319541591336,36.8141744989304,0.0014241169952139416,Var5_3yrs
