term,ERS,estimate,std.error,statistic,df,p.value,model
LandDiversity,1,0.004609860606644759,0.007808525665554955,0.5903624837886903,26.802408717474332,0.5598929141931881,Var5
LandDiversity,2,-0.00972532580655606,0.012110329334640969,-0.8030603906647914,42.77535183510764,0.4263796935518006,Var5
LandDiversity,3,-0.008208993211152782,0.013542658367477426,-0.6061581846343113,27.66476934845134,0.5493515824630502,Var5
LandDiversity,4,-0.022824032206276955,0.013336507250241294,-1.7113950285494732,34.0335075908385,0.09610898643766733,Var5
LandDiversity,5,-2.871162951527669e-4,0.010327450742558352,-0.0278012747104753,33.51819975129159,0.9779855217984943,Var5
LandDiversity,6,-0.023703789068556365,0.014520179750880997,-1.6324721508435982,25.267836070314083,0.11498165936679967,Var5
LandDiversity,7,0.04179533977663206,0.0194824621880379,2.1452801690688825,31.01959739537306,0.039869648177528624,Var5
LandDiversity,8,-0.00435224000553693,0.018909444752831406,-0.2301622317538037,40.69827268348143,0.8191186965354416,Var5
LandDiversity,9,-0.010247984275231334,0.018237837580730692,-0.5619078594086675,13.846188475340995,0.5831609550145292,Var5
LargeFarms,1,0.06480590051048499,0.010751495611740254,6.027617259102001,26.583017633293995,2.095214657400465e-6,Var5
LargeFarms,2,-0.024289218598131813,0.017344622665817776,-1.4003889889170216,51.935660883289614,0.16734304854525314,Var5
LargeFarms,3,-0.02797544375318576,0.01356006080487196,-2.0630765713922563,29.450877582808925,0.04801894461882268,Var5
LargeFarms,4,0.058972476299097513,0.01606092198168891,3.6717989394589026,38.71442985573266,7.252848312984071e-4,Var5
LargeFarms,5,-0.0014115307709576055,0.017743439281385224,-0.07955226428049116,45.22513302425536,0.9369443390840855,Var5
LargeFarms,6,0.058464273666594235,0.01442053246742186,4.054238205050596,43.54367971478016,2.0440319701296915e-4,Var5
LargeFarms,7,0.05542296646884132,0.0184568995159056,3.002831890647694,41.49001872370063,0.004517127046847437,Var5
LargeFarms,8,-0.018257201054153814,0.020128757773062292,-0.9070207540868157,44.57442716400181,0.3692732757098125,Var5
LargeFarms,9,0.09374958926201009,0.01594240302340696,5.880518082773659,33.39803023270405,1.3129947908331593e-6,Var5
MeanCropArea,1,-0.010765071385100328,0.006040372619912463,-1.782186640210341,10.2996363534888,0.10417522568300296,Var5
