term,estimate,std.error,statistic,df,p.value,model,ERS
pland_crops,2.5120399975126184e-4,0.0021559431611285268,0.11651698629186927,4.290676044675579,0.9124952490822322,ERS_twoways_var7,1
cropintensity,-9.80155585373262e-4,7.92416856856217e-4,-1.2369191504353747,2.3706873093785874,0.32455221155527025,ERS_twoways_var7,1
msidi,0.07792755903152618,0.2290592207541006,0.34020703805319796,2.0092057930609757,0.7659784081790184,ERS_twoways_var7,1
mna_crops,6.863174395143497e-4,8.083769316765641e-4,0.849006710385631,41.58142892091525,0.4007390935999079,ERS_twoways_var7,1
largefarm_planted,0.21320105059981292,0.08171968912878518,2.6089312486715563,49.15514133098862,0.011999814557498193,ERS_twoways_var7,1
natural_crops_ed,0.028986988984121442,0.006977059341444573,4.154614081026262,54.04505719269279,1.1675258020048764e-4,ERS_twoways_var7,1
SDI,-0.4754298850266725,0.08271881146286894,-5.7475425071851385,77.07165579014743,1.7246104591508522e-7,ERS_twoways_var7,1
pland_crops,0.001216455047399623,0.002466665697610652,0.4931576453906779,4.373659377338433,0.6456469825735791,ERS_individual_var7,1
cropintensity,-0.0018597860136672403,0.0011743524281065923,-1.5836694072032296,2.3404385265616967,0.2360247637291456,ERS_individual_var7,1
msidi,0.04669933205173443,0.1825459551488223,0.25582233259379733,2.0155888449543253,0.8218313960766594,ERS_individual_var7,1
mna_crops,6.312958204497748e-4,8.330071531278527e-4,0.7578516199762829,41.66236940347249,0.45280536913256886,ERS_individual_var7,1
largefarm_planted,0.320594565801167,0.08071289720902977,3.972036401702855,53.50623679694437,2.1439641093955924e-4,ERS_individual_var7,1
natural_crops_ed,0.040310359068758135,0.007362731210307672,5.474919281628054,52.787212655411544,1.2342850073478058e-6,ERS_individual_var7,1
SDI,-0.6572374774119035,0.0945675231802704,-6.949928001804988,101.70840427440048,3.5689780767549964e-010,ERS_individual_var7,1
pland_crops,9.334283155325346e-4,4.868888012951923e-4,1.9171283320739454,103.65184465898352,0.057974917259651995,ERS_time_var7,1
cropintensity,-9.907514824424267e-4,3.1363205071344266e-4,-3.158961210082608,3.8734049206587797,0.035780121957345895,ERS_time_var7,1
msidi,0.06249021972373166,0.05819774389953739,1.073756739292232,88.55513691399395,0.28584890838296567,ERS_time_var7,1
mna_crops,-6.198692248866678e-6,1.3107442358561305e-4,-0.04729139430331286,25.735413949556754,0.9626460737098035,ERS_time_var7,1
largefarm_planted,0.2906642397952724,0.03469402247073976,8.377934269236517,150.37359147448473,3.524857451236433e-14,ERS_time_var7,1
natural_crops_ed,-2.338592436782183e-4,8.991140109833256e-4,-0.26009965457267836,154.5520300126923,0.7951330923813051,ERS_time_var7,1
SDI,-0.3591832479307503,0.07957913232001809,-4.513535614918962,151.6267777723012,1.2716380048188873e-5,ERS_time_var7,1
pland_crops,-0.00505656587261286,0.0036327234031697225,-1.3919490452261705,7.046698541903469,0.2062904109487335,ERS_twoways_var6,1
cropintensity,0.0010776719174135072,5.834281300491081e-4,1.8471373968937663,2.588764918123037,0.17631311584470286,ERS_twoways_var6,1
msidi,-0.21316660146374586,0.4429389945278308,-0.48125499018432466,3.061540605410287,0.6626428595764203,ERS_twoways_var6,1
mna_crops,8.53902104017104e-4,6.40179373103711e-4,1.3338481992589433,39.348648827023084,0.18992311274382767,ERS_twoways_var6,1
largefarm_planted,0.22055981067058758,0.0608206952552157,3.626394103932467,61.047282464917814,5.878446577117155e-4,ERS_twoways_var6,1
natural_crops_ed,0.015329761696540257,0.008405847348216706,1.8237021279945624,56.25170635226198,0.07351124935702079,ERS_twoways_var6,1
pland_crops,-0.0027235162766674078,0.003642469824620559,-0.7477114177469185,7.127089601182675,0.47857413417002215,ERS_individual_var6,1
cropintensity,-8.485295288105421e-4,6.682938226249298e-4,-1.2696953047952486,2.552085342817891,0.3076211851210923,ERS_individual_var6,1
msidi,-0.42122023682222204,0.4009556439299238,-1.0505407348645277,3.045464860947778,0.36958552923713045,ERS_individual_var6,1
mna_crops,0.0010617352695127297,0.0010043098773054565,1.057178957914209,39.665080402707154,0.2968262394088093,ERS_individual_var6,1
largefarm_planted,0.8523458499654079,0.08836699091839995,9.645523074928319,89.10319457383693,1.7118358128102917e-15,ERS_individual_var6,1
natural_crops_ed,0.03296923104974833,0.009542514147418519,3.4549837223628646,55.05060710421855,0.0010668495679404166,ERS_individual_var6,1
pland_crops,0.0015864449810217313,4.4382753213441454e-4,3.574462749961333,114.34893471787413,5.152414884979255e-4,ERS_time_var6,1
cropintensity,-1.1948444614490425e-4,1.1625274876240676e-4,-1.0277988900641164,3.2816851769202606,0.3737478153407387,ERS_time_var6,1
msidi,0.05548618603016323,0.05400181988736491,1.0274873355359941,93.747284230167,0.3068348736745519,ERS_time_var6,1
