term,model,vif,ERS
pland_crops,ERS_twoways_var7,3.275033809463623,7
cropintensity,ERS_twoways_var7,1.0189504013917374,7
msidi,ERS_twoways_var7,1.1398917928782752,7
mna_crops,ERS_twoways_var7,3.1331624757485317,7
largefarm_planted,ERS_twoways_var7,1.748800324664866,7
natural_crops_ed,ERS_twoways_var7,1.5612586042441068,7
SDI,ERS_twoways_var7,1.126325968714926,7
soysmallgrain_planted,ERS_twoways_var7,NA,7
corn_planted,ERS_twoways_var7,NA,7
fruitveg_planted,ERS_twoways_var7,NA,7
pland_crops,ERS_individual_var7,3.275033809463623,7
cropintensity,ERS_individual_var7,1.0189504013917374,7
msidi,ERS_individual_var7,1.1398917928782752,7
mna_crops,ERS_individual_var7,3.1331624757485317,7
largefarm_planted,ERS_individual_var7,1.748800324664866,7
natural_crops_ed,ERS_individual_var7,1.5612586042441068,7
SDI,ERS_individual_var7,1.126325968714926,7
soysmallgrain_planted,ERS_individual_var7,NA,7
corn_planted,ERS_individual_var7,NA,7
fruitveg_planted,ERS_individual_var7,NA,7
pland_crops,ERS_time_var7,3.275033809463623,7
cropintensity,ERS_time_var7,1.0189504013917374,7
msidi,ERS_time_var7,1.1398917928782752,7
mna_crops,ERS_time_var7,3.1331624757485317,7
largefarm_planted,ERS_time_var7,1.748800324664866,7
natural_crops_ed,ERS_time_var7,1.5612586042441068,7
SDI,ERS_time_var7,1.126325968714926,7
soysmallgrain_planted,ERS_time_var7,NA,7
corn_planted,ERS_time_var7,NA,7
fruitveg_planted,ERS_time_var7,NA,7
pland_crops,ERS_twoways_var6,3.3767564834695745,7
cropintensity,ERS_twoways_var6,1.0151491194645352,7
msidi,ERS_twoways_var6,1.1283409135095532,7
mna_crops,ERS_twoways_var6,3.2096146996848316,7
largefarm_planted,ERS_twoways_var6,1.7742838700462473,7
natural_crops_ed,ERS_twoways_var6,1.5347288265327523,7
SDI,ERS_twoways_var6,NA,7
soysmallgrain_planted,ERS_twoways_var6,NA,7
corn_planted,ERS_twoways_var6,NA,7
fruitveg_planted,ERS_twoways_var6,NA,7
pland_crops,ERS_individual_var6,3.3767564834695745,7
cropintensity,ERS_individual_var6,1.0151491194645352,7
msidi,ERS_individual_var6,1.1283409135095532,7
mna_crops,ERS_individual_var6,3.2096146996848316,7
largefarm_planted,ERS_individual_var6,1.7742838700462473,7
natural_crops_ed,ERS_individual_var6,1.5347288265327523,7
SDI,ERS_individual_var6,NA,7
soysmallgrain_planted,ERS_individual_var6,NA,7
corn_planted,ERS_individual_var6,NA,7
fruitveg_planted,ERS_individual_var6,NA,7
pland_crops,ERS_time_var6,3.3767564834695745,7
cropintensity,ERS_time_var6,1.0151491194645352,7
msidi,ERS_time_var6,1.1283409135095532,7
mna_crops,ERS_time_var6,3.2096146996848316,7
largefarm_planted,ERS_time_var6,1.7742838700462473,7
natural_crops_ed,ERS_time_var6,1.5347288265327523,7
SDI,ERS_time_var6,NA,7
soysmallgrain_planted,ERS_time_var6,NA,7
corn_planted,ERS_time_var6,NA,7
fruitveg_planted,ERS_time_var6,NA,7
pland_crops,ERS_twoways_var6_3yrs,3.261970095823672,7
cropintensity,ERS_twoways_var6_3yrs,1.0187233215616371,7
msidi,ERS_twoways_var6_3yrs,1.1307759925744607,7
mna_crops,ERS_twoways_var6_3yrs,3.07624703570058,7
largefarm_planted,ERS_twoways_var6_3yrs,1.722486429268633,7
