term,model,vif,ERS
pland_crops,ERS_twoways_var7,3.2669306480163325,7
cropintensity,ERS_twoways_var7,1.017975281801968,7
msidi,ERS_twoways_var7,1.13934501041367,7
mna_crops,ERS_twoways_var7,3.1257144177823997,7
largefarm_planted,ERS_twoways_var7,1.7392224250702546,7
natural_crops_ed,ERS_twoways_var7,1.558738715967476,7
SDI,ERS_twoways_var7,1.1286559515897412,7
soysmallgrain_planted,ERS_twoways_var7,NA,7
corn_planted,ERS_twoways_var7,NA,7
fruitveg_planted,ERS_twoways_var7,NA,7
pland_crops,ERS_individual_var7,3.2669306480163325,7
cropintensity,ERS_individual_var7,1.017975281801968,7
msidi,ERS_individual_var7,1.13934501041367,7
mna_crops,ERS_individual_var7,3.1257144177823997,7
largefarm_planted,ERS_individual_var7,1.7392224250702546,7
natural_crops_ed,ERS_individual_var7,1.558738715967476,7
SDI,ERS_individual_var7,1.1286559515897412,7
soysmallgrain_planted,ERS_individual_var7,NA,7
corn_planted,ERS_individual_var7,NA,7
fruitveg_planted,ERS_individual_var7,NA,7
pland_crops,ERS_time_var7,3.2669306480163325,7
cropintensity,ERS_time_var7,1.017975281801968,7
msidi,ERS_time_var7,1.13934501041367,7
mna_crops,ERS_time_var7,3.1257144177823997,7
largefarm_planted,ERS_time_var7,1.7392224250702546,7
natural_crops_ed,ERS_time_var7,1.558738715967476,7
SDI,ERS_time_var7,1.1286559515897412,7
soysmallgrain_planted,ERS_time_var7,NA,7
corn_planted,ERS_time_var7,NA,7
fruitveg_planted,ERS_time_var7,NA,7
pland_crops,ERS_twoways_var6,3.3692480582987683,7
cropintensity,ERS_twoways_var6,1.0144725384008055,7
msidi,ERS_twoways_var6,1.1276501095938045,7
mna_crops,ERS_twoways_var6,3.2016432566824475,7
largefarm_planted,ERS_twoways_var6,1.7669434417331171,7
natural_crops_ed,ERS_twoways_var6,1.531828658592106,7
SDI,ERS_twoways_var6,NA,7
soysmallgrain_planted,ERS_twoways_var6,NA,7
corn_planted,ERS_twoways_var6,NA,7
fruitveg_planted,ERS_twoways_var6,NA,7
pland_crops,ERS_individual_var6,3.3692480582987683,7
cropintensity,ERS_individual_var6,1.0144725384008055,7
msidi,ERS_individual_var6,1.1276501095938045,7
mna_crops,ERS_individual_var6,3.2016432566824475,7
largefarm_planted,ERS_individual_var6,1.7669434417331171,7
natural_crops_ed,ERS_individual_var6,1.531828658592106,7
SDI,ERS_individual_var6,NA,7
soysmallgrain_planted,ERS_individual_var6,NA,7
corn_planted,ERS_individual_var6,NA,7
fruitveg_planted,ERS_individual_var6,NA,7
pland_crops,ERS_time_var6,3.3692480582987683,7
cropintensity,ERS_time_var6,1.0144725384008055,7
msidi,ERS_time_var6,1.1276501095938045,7
mna_crops,ERS_time_var6,3.2016432566824475,7
largefarm_planted,ERS_time_var6,1.7669434417331171,7
natural_crops_ed,ERS_time_var6,1.531828658592106,7
SDI,ERS_time_var6,NA,7
soysmallgrain_planted,ERS_time_var6,NA,7
corn_planted,ERS_time_var6,NA,7
fruitveg_planted,ERS_time_var6,NA,7
pland_crops,ERS_twoways_var6_3yrs,3.2541896335566958,7
cropintensity,ERS_twoways_var6_3yrs,1.017834843050782,7
msidi,ERS_twoways_var6_3yrs,1.1299460157309087,7
mna_crops,ERS_twoways_var6_3yrs,3.067992136471905,7
largefarm_planted,ERS_twoways_var6_3yrs,1.7145295015480373,7
natural_crops_ed,ERS_twoways_var6_3yrs,1.5265097317503111,7
SDI,ERS_twoways_var6_3yrs,NA,7
soysmallgrain_planted,ERS_twoways_var6_3yrs,NA,7
corn_planted,ERS_twoways_var6_3yrs,NA,7
fruitveg_planted,ERS_twoways_var6_3yrs,NA,7
pland_crops,ERS_individual_var6_3yrs,3.2541896335566958,7
cropintensity,ERS_individual_var6_3yrs,1.017834843050782,7
msidi,ERS_individual_var6_3yrs,1.1299460157309087,7
mna_crops,ERS_individual_var6_3yrs,3.067992136471905,7
largefarm_planted,ERS_individual_var6_3yrs,1.7145295015480373,7
natural_crops_ed,ERS_individual_var6_3yrs,1.5265097317503111,7
SDI,ERS_individual_var6_3yrs,NA,7
soysmallgrain_planted,ERS_individual_var6_3yrs,NA,7
corn_planted,ERS_individual_var6_3yrs,NA,7
fruitveg_planted,ERS_individual_var6_3yrs,NA,7
pland_crops,ERS_time_var6_3yrs,3.2541896335566958,7
cropintensity,ERS_time_var6_3yrs,1.017834843050782,7
msidi,ERS_time_var6_3yrs,1.1299460157309087,7
mna_crops,ERS_time_var6_3yrs,3.067992136471905,7
largefarm_planted,ERS_time_var6_3yrs,1.7145295015480373,7
natural_crops_ed,ERS_time_var6_3yrs,1.5265097317503111,7
SDI,ERS_time_var6_3yrs,NA,7
soysmallgrain_planted,ERS_time_var6_3yrs,NA,7
corn_planted,ERS_time_var6_3yrs,NA,7
fruitveg_planted,ERS_time_var6_3yrs,NA,7
pland_crops,ERS_twoways_var7crops,3.6440217327604714,7
cropintensity,ERS_twoways_var7crops,1.0192051218735254,7
msidi,ERS_twoways_var7crops,1.1628184820615306,7
mna_crops,ERS_twoways_var7crops,3.9444624320366084,7
largefarm_planted,ERS_twoways_var7crops,2.0361282154913356,7
natural_crops_ed,ERS_twoways_var7crops,1.8636691454591576,7
SDI,ERS_twoways_var7crops,1.2843996902954131,7
soysmallgrain_planted,ERS_twoways_var7crops,1.7724180235313853,7
corn_planted,ERS_twoways_var7crops,1.2806634458157384,7
fruitveg_planted,ERS_twoways_var7crops,1.3433939487488824,7
pland_crops,ERS_individual_var7crops,3.6440217327604714,7
cropintensity,ERS_individual_var7crops,1.0192051218735254,7
msidi,ERS_individual_var7crops,1.1628184820615306,7
mna_crops,ERS_individual_var7crops,3.9444624320366084,7
largefarm_planted,ERS_individual_var7crops,2.0361282154913356,7
natural_crops_ed,ERS_individual_var7crops,1.8636691454591576,7
SDI,ERS_individual_var7crops,1.2843996902954131,7
soysmallgrain_planted,ERS_individual_var7crops,1.7724180235313853,7
corn_planted,ERS_individual_var7crops,1.2806634458157384,7
fruitveg_planted,ERS_individual_var7crops,1.3433939487488824,7
pland_crops,ERS_time_var7crops,3.6440217327604714,7
cropintensity,ERS_time_var7crops,1.0192051218735254,7
msidi,ERS_time_var7crops,1.1628184820615306,7
mna_crops,ERS_time_var7crops,3.9444624320366084,7
largefarm_planted,ERS_time_var7crops,2.0361282154913356,7
natural_crops_ed,ERS_time_var7crops,1.8636691454591576,7
SDI,ERS_time_var7crops,1.2843996902954131,7
soysmallgrain_planted,ERS_time_var7crops,1.7724180235313853,7
corn_planted,ERS_time_var7crops,1.2806634458157384,7
fruitveg_planted,ERS_time_var7crops,1.3433939487488824,7
pland_crops,ERS_twoways_var6crops,3.729826926518376,7
cropintensity,ERS_twoways_var6crops,1.015451463936771,7
msidi,ERS_twoways_var6crops,1.150672485467121,7
mna_crops,ERS_twoways_var6crops,4.142656355062917,7
largefarm_planted,ERS_twoways_var6crops,2.038381273149743,7
natural_crops_ed,ERS_twoways_var6crops,1.8803761021516197,7
SDI,ERS_twoways_var6crops,NA,7
soysmallgrain_planted,ERS_twoways_var6crops,1.7837067533782323,7
corn_planted,ERS_twoways_var6crops,1.2090766868152738,7
fruitveg_planted,ERS_twoways_var6crops,1.3208080185622375,7
pland_crops,ERS_individual_var6crops,3.729826926518376,7
cropintensity,ERS_individual_var6crops,1.015451463936771,7
msidi,ERS_individual_var6crops,1.150672485467121,7
mna_crops,ERS_individual_var6crops,4.142656355062917,7
largefarm_planted,ERS_individual_var6crops,2.038381273149743,7
natural_crops_ed,ERS_individual_var6crops,1.8803761021516197,7
SDI,ERS_individual_var6crops,NA,7
soysmallgrain_planted,ERS_individual_var6crops,1.7837067533782323,7
corn_planted,ERS_individual_var6crops,1.2090766868152738,7
fruitveg_planted,ERS_individual_var6crops,1.3208080185622375,7
pland_crops,ERS_time_var6crops,3.729826926518376,7
cropintensity,ERS_time_var6crops,1.015451463936771,7
msidi,ERS_time_var6crops,1.150672485467121,7
mna_crops,ERS_time_var6crops,4.142656355062917,7
largefarm_planted,ERS_time_var6crops,2.038381273149743,7
natural_crops_ed,ERS_time_var6crops,1.8803761021516197,7
SDI,ERS_time_var6crops,NA,7
soysmallgrain_planted,ERS_time_var6crops,1.7837067533782323,7
corn_planted,ERS_time_var6crops,1.2090766868152738,7
fruitveg_planted,ERS_time_var6crops,1.3208080185622375,7
pland_crops,ERS_twoways_var6crops_3yrs,3.6049461430491316,7
cropintensity,ERS_twoways_var6crops_3yrs,1.0190848087492073,7
msidi,ERS_twoways_var6crops_3yrs,1.1472099508023232,7
mna_crops,ERS_twoways_var6crops_3yrs,3.9399109165233006,7
largefarm_planted,ERS_twoways_var6crops_3yrs,2.0064346230583014,7
natural_crops_ed,ERS_twoways_var6crops_3yrs,1.8626948578067626,7
SDI,ERS_twoways_var6crops_3yrs,NA,7
soysmallgrain_planted,ERS_twoways_var6crops_3yrs,1.7126256334797574,7
corn_planted,ERS_twoways_var6crops_3yrs,1.2158398266845591,7
fruitveg_planted,ERS_twoways_var6crops_3yrs,1.3191082257508413,7
pland_crops,ERS_individual_var6crops_3yrs,3.6049461430491316,7
cropintensity,ERS_individual_var6crops_3yrs,1.0190848087492073,7
msidi,ERS_individual_var6crops_3yrs,1.1472099508023232,7
mna_crops,ERS_individual_var6crops_3yrs,3.9399109165233006,7
largefarm_planted,ERS_individual_var6crops_3yrs,2.0064346230583014,7
natural_crops_ed,ERS_individual_var6crops_3yrs,1.8626948578067626,7
SDI,ERS_individual_var6crops_3yrs,NA,7
