term,estimate,std.error,statistic,df,p.value,model,ERS
corn_planted,0.016059709445296687,0.017912793221788865,0.8965497031340643,12.412569715615215,0.3870171643574625,ERS_twoways_var7crops,1
corn_planted,-0.022630810118682263,0.014705867760176447,-1.5388966151298187,18.116365353615652,0.14111332975478838,ERS_individual_var7crops,1
corn_planted,0.07555225860758406,0.017095772849484304,4.4193532092854815,69.54908270408798,3.560055540353672e-5,ERS_time_var7crops,1
corn_planted,0.050370423683020193,0.015696556938573004,3.2090109875777277,16.376647402126142,0.005344306446630859,ERS_twoways_var6crops,1
corn_planted,0.043764307347254505,0.016218086279221475,2.6984877619824417,24.177482635794167,0.012504290472434215,ERS_individual_var6crops,1
corn_planted,0.07323982199445908,0.016738913041080054,4.375422813579142,53.44710722258165,5.655619451442272e-5,ERS_time_var6crops,1
corn_planted,0.023300193089928197,0.018152863464149436,1.283554692952126,12.499546662438252,0.22258331332039671,ERS_twoways_var6crops_3yrs,1
corn_planted,-0.02069824469398924,0.014317913397986515,-1.445618793650475,18.126199679298924,0.16535271115763545,ERS_individual_var6crops_3yrs,1
corn_planted,0.07599942844329788,0.0156551772585189,4.854587539207972,55.63036887177915,1.017217135905436e-5,ERS_time_var6crops_3yrs,1
corn_planted,0.0011930884182022874,0.013192819743492977,0.09043467896927401,144.09089143792522,0.9280673905352417,ERS_twoways_var7crops,2
corn_planted,0.04109089765183794,0.012121913626399142,3.3898028742219424,150.23337775263997,8.936165226497652e-4,ERS_individual_var7crops,2
corn_planted,0.02350307044458356,0.01578843289463502,1.488625920091791,154.06767104788824,0.1386299475635319,ERS_time_var7crops,2
corn_planted,0.04464712917313563,0.010777926360527938,4.142460031703972,174.83610549666048,5.341685404987999e-5,ERS_twoways_var6crops,2
corn_planted,0.10509907646170612,0.009774311963803232,10.752580524431261,177.08077971079342,4.481330040113857e-21,ERS_individual_var6crops,2
corn_planted,0.032491104858933355,0.0142331816925109,2.2827717344484726,154.9824827259085,0.023803508044989707,ERS_time_var6crops,2
corn_planted,0.0015221385464830222,0.013113757121887669,0.11607188789111239,143.56451482822786,0.9077577723603821,ERS_twoways_var6crops_3yrs,2
corn_planted,0.04256389602139776,0.012051143242950901,3.5319384363217776,151.6544668682528,5.468147743575418e-4,ERS_individual_var6crops_3yrs,2
corn_planted,0.027311773636197568,0.01570403232271186,1.7391567385338402,148.79592511019848,0.08407530326653259,ERS_time_var6crops_3yrs,2
corn_planted,0.0932901074606792,0.024096109219693154,3.871583856552057,33.168418319145836,4.808197393662135e-4,ERS_twoways_var7crops,3
corn_planted,0.10444251460512569,0.022869055400148348,4.566979823943589,32.172202304908275,6.891568357562694e-5,ERS_individual_var7crops,3
corn_planted,0.04211243585686142,0.009085127898857655,4.635315685776592,76.17143247267728,1.4472017149304686e-5,ERS_time_var7crops,3
corn_planted,0.10827116053192741,0.016892134491886993,6.409560649894673,58.47445394374391,2.7684217325667725e-8,ERS_twoways_var6crops,3
corn_planted,0.128934003340372,0.016280222033091405,7.919671063349072,56.697845927913775,9.672520377619241e-11,ERS_individual_var6crops,3
corn_planted,0.04024653027876036,0.007830558703142596,5.139675443925659,86.22426390770362,1.694867279492965e-6,ERS_time_var6crops,3
corn_planted,0.09345711170730235,0.023640996445074593,3.9531798891993564,32.85969105195211,3.862599941104838e-4,ERS_twoways_var6crops_3yrs,3
corn_planted,0.10415276928335034,0.022381505240912557,4.653519419818242,32.89719548169689,5.1332219131478556e-5,ERS_individual_var6crops_3yrs,3
corn_planted,0.040206034162444275,0.008773886574268865,4.582465686342051,77.8096895693774,1.7227822573363878e-5,ERS_time_var6crops_3yrs,3
corn_planted,0.02648458746999608,0.021932981628741074,1.207523350828442,103.25260144221367,0.22998943735362706,ERS_twoways_var7crops,4
corn_planted,0.023314176378611617,0.021548238756235273,1.0819527592186784,101.75049313670316,0.28183103961004313,ERS_individual_var7crops,4
corn_planted,0.002559673955368061,0.007851994338427754,0.3259902955916545,111.60414773752923,0.7450421547399442,ERS_time_var7crops,4
corn_planted,0.003605863452860693,0.01674555137905663,0.21533262006352824,115.73975631410215,0.8298869934364409,ERS_twoways_var6crops,4
corn_planted,0.004598029048479669,0.016767778901271912,0.27421813440842113,114.01377253965205,0.7844132064560195,ERS_individual_var6crops,4
corn_planted,0.001615761194103908,0.006910567873343941,0.2338101909593228,113.48329252411658,0.8155536001762543,ERS_time_var6crops,4
corn_planted,0.014847420896935727,0.022771170810076683,0.6520271188851412,102.06229103146119,0.5158493893316322,ERS_twoways_var6crops_3yrs,4
corn_planted,0.011440727793640543,0.022355707725216428,0.5117586942119402,100.55156464576038,0.6099419953087342,ERS_individual_var6crops_3yrs,4
corn_planted,-1.7381116136213785e-4,0.008009516940367082,-0.02170057977980529,111.81019253372247,0.9827254807852466,ERS_time_var6crops_3yrs,4
corn_planted,0.019051977485469457,0.027843594927263026,0.6842499158330569,47.813861490685966,0.4971206251164514,ERS_twoways_var7crops,5
corn_planted,0.02792085010382795,0.02765435745093695,1.0096365519742703,51.84328159143849,0.3173586215421563,ERS_individual_var7crops,5
corn_planted,0.006278339191657983,0.011584230040748846,0.5419729381731208,46.79365063252677,0.5904088005208414,ERS_time_var7crops,5
corn_planted,0.03142676988836271,0.024220820443499616,1.2975105431160994,48.69017784721573,0.20056952285102736,ERS_twoways_var6crops,5
corn_planted,0.043449009942607995,0.023608424399010175,1.8404027820013975,54.90005462754889,0.07111653087318441,ERS_individual_var6crops,5
corn_planted,0.01516063820116434,0.011174408047797542,1.3567285297186258,60.0645560599723,0.17994486123472642,ERS_time_var6crops,5
corn_planted,0.015796828714956225,0.027720488085271798,0.5698611318229009,46.20761835471242,0.5715322673596424,ERS_twoways_var6crops_3yrs,5
corn_planted,0.025577486270518507,0.0271907666721404,0.9406680796803403,50.0919905472304,0.35138931195658274,ERS_individual_var6crops_3yrs,5
corn_planted,0.0082689980181088,0.01151957737333382,0.7178213010878639,47.38029247982382,0.4763920520398909,ERS_time_var6crops_3yrs,5
corn_planted,-0.010353053274362237,0.016900760395228198,-0.6125791403613617,74.98953637264255,0.5420078811550597,ERS_twoways_var7crops,6
corn_planted,-0.03865060840563274,0.016013186211439927,-2.4136738245147296,73.67380645481002,0.018278435436151874,ERS_individual_var7crops,6
corn_planted,-0.006416332047507427,0.01049597929609462,-0.6113133292759865,123.07762671643019,0.5421196165841662,ERS_time_var7crops,6
corn_planted,-0.014362437897106962,0.015418825092923465,-0.931487179506217,93.15680701795668,0.3540094038109075,ERS_twoways_var6crops,6
corn_planted,-0.012158068633738412,0.01472866733705296,-0.8254697017395672,97.1166148849583,0.4111281131781892,ERS_individual_var6crops,6
corn_planted,-0.013110130998739688,0.010193635257118847,-1.2861094857778113,127.55872031896938,0.2007344504790562,ERS_time_var6crops,6
corn_planted,-0.011209956219937051,0.016976129605156078,-0.6603363947299451,75.12338265370767,0.511057705479082,ERS_twoways_var6crops_3yrs,6
corn_planted,-0.03865065243109441,0.016014507889261,-2.4134773730395267,73.68952186999326,0.01828700723513543,ERS_individual_var6crops_3yrs,6
corn_planted,-0.0040066848395481115,0.01069511890283001,-0.3746274235892704,122.97647139324079,0.7085828126666145,ERS_time_var6crops_3yrs,6
corn_planted,0.06997751148067553,0.045797396174172035,1.5279801326377622,24.734653457585768,0.13920575306972888,ERS_twoways_var7crops,7
corn_planted,0.07413175056212988,0.04461812786900311,1.6614715610609545,24.772231106689908,0.10922408850028752,ERS_individual_var7crops,7
corn_planted,0.050134403984886965,0.025474611600633898,1.9680144596842233,26.038572096351714,0.05980115599953834,ERS_time_var7crops,7
corn_planted,0.0644734614279363,0.03624752583918815,1.7786996473627543,34.41323062810803,0.08412480659435251,ERS_twoways_var6crops,7
corn_planted,0.07138968753077841,0.03600106459244536,1.9829882349023416,33.88575095425189,0.05552172075315832,ERS_individual_var6crops,7
corn_planted,0.055200562573804283,0.024231047597161708,2.2780922843909637,31.859214005957167,0.029571218508259323,ERS_time_var6crops,7
corn_planted,0.06562784404869322,0.04577445318413787,1.4337220760385863,25.068750825896142,0.1640076779349897,ERS_twoways_var6crops_3yrs,7
corn_planted,0.07006039201340108,0.04449345028449197,1.5746225919867667,25.059621430452804,0.12788538176548286,ERS_individual_var6crops_3yrs,7
corn_planted,0.05106276859015491,0.025450517836753724,2.0063547986600847,28.256429046541907,0.0544748848695472,ERS_time_var6crops_3yrs,7
corn_planted,-0.1847032054632637,0.08204014361122611,-2.251375940277968,2.8301369694994514,0.11511367676498732,ERS_twoways_var7crops,8
corn_planted,-0.1828412725162873,0.09025127552098998,-2.025913445109852,2.8430353540404902,0.14090495638067035,ERS_individual_var7crops,8
corn_planted,0.22542514201653718,0.06022728609177128,3.7429071878325346,11.7540704054101,0.002905749031317357,ERS_time_var7crops,8
corn_planted,-0.11453012952597057,0.08210297801192987,-1.3949570685405457,3.590342995499464,0.24311442878881007,ERS_twoways_var6crops,8
corn_planted,-0.10616417877797987,0.09767837077619733,-1.0868749952968135,3.659480982755762,0.3434403768443085,ERS_individual_var6crops,8
corn_planted,0.21334801893158692,0.055905111909185755,3.816252425684381,8.40197539233727,0.00467072766576839,ERS_time_var6crops,8
