StPostal,Fips,Category_001,Category_002,Category_003,Category_004,Category_005,Category_006,Category_010,Category_011,Category_012,Category_013,Category_014,Category_021,Category_022,Category_023,Category_024,Category_025,Category_026,Category_027,Category_028,Category_029,Category_030,Category_031,Category_032,Category_033,Category_034,Category_035,Category_036,Category_037,Category_038,Category_039,Category_041,Category_042,Category_043,Category_044,Category_045,Category_046,Category_047,Category_048,Category_049,Category_050,Category_052,Category_053,Category_054,Category_055,Category_056,Category_057,Category_058,Category_059,Category_060,Category_061,Category_066,Category_067,Category_068,Category_069,Category_070,Category_071,Category_072,Category_074,Category_075,Category_076,Category_077,Category_092,Category_111,Category_112,Category_121,Category_122,Category_123,Category_124,Category_131,Category_141,Category_142,Category_143,Category_152,Category_176,Category_190,Category_195,Category_204,Category_205,Category_206,Category_207,Category_208,Category_209,Category_211,Category_212,Category_213,Category_214,Category_216,Category_217,Category_218,Category_219,Category_220,Category_221,Category_222,Category_223,Category_224,Category_225,Category_226,Category_227,Category_229,Category_230,Category_231,Category_232,Category_234,Category_236,Category_237,Category_238,Category_240,Category_241,Category_242,Category_243,Category_244,Category_245,Category_246,Category_247,Category_248,Category_249,Category_250,Category_254,Corn_all,Cotton_all,Sorghum_all,Soybeans_all,Barley_all,Wheat_Durum_all,Wheat_Winter_all,Oats_all,Canteloupe_all,Lettuce_all
AL,01001,1587,6701,0,2,1362,68,860,0,27,0,0,0,0,0,1568,0,143,42,0,0,0,0,0,0,0,0,0,29167,0,0,0,0,0,0,0,0,0,129,0,0,0,44,0,0,0,0,0,377,0,170,0,0,0,0,0,0,0,176,0,0,0,0,5648,0,15230,4562,1290,322,366,103239,78758,19586,57072,41271,16485,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1587,6701,28,1505,0,0,1737,0,0,0
AL,01003,2752,6438,0,58,9089,0,21775,0,7,0,0,0,0,0,564,0,13158,24,620,932,0,0,0,0,0,0,0,15491,0,0,0,0,0,0,0,777,0,0,0,0,0,0,0,0,0,0,0,21094,0,8959,0,0,0,0,0,0,0,2161,0,0,0,0,36515,0,51384,18372,6365,1521,4004,4865,291900,12001,117438,105295,285560,16372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,217,0,0,0,0,0,0,260,0,894,1186,0,0,0,0,0,0,0,0,0,0,0,3021,7332,318,23433,0,0,14928,2023,0,0
AL,01005,2172,3023,0,91,298,1,4798,0,0,0,0,0,0,0,174,0,45,381,149,387,0,0,0,0,0,0,0,28295,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,14668,0,0,0,0,0,0,0,149,0,0,0,1,13976,0,20237,3772,1111,322,49,157200,186548,25706,65943,33737,15097,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,2,3,0,1,0,0,0,0,0,0,0,0,0,2176,3025,94,346,0,0,224,156,0,0
AL,01007,164,85,0,5,719,0,39,0,0,0,0,0,0,0,76,0,257,1,21,0,0,0,0,0,0,0,0,3786,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,45,0,75,0,0,0,0,0,0,0,5,0,0,0,5,2406,0,14753,1399,430,85,479,132900,131677,36995,34931,31749,7550,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,85,5,976,0,0,333,21,0,0
AL,01009,2129,1084,0,48,5252,1,0,0,0,0,0,1,0,0,112,0,607,26,0,23,0,0,0,0,0,0,0,19289,0,0,0,0,1,54,0,13,0,57,0,0,0,0,0,0,0,0,0,48,0,71,0,0,0,0,0,0,0,0,0,0,0,0,4102,0,19142,4495,1137,252,247,170004,34409,8620,12421,131861,643,2,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131,1084,49,5859,1,0,722,0,0,0
AL,01011,839,1072,0,4,663,1,1025,0,0,0,0,0,0,0,148,0,91,15,42,58,0,0,0,0,0,0,0,11404,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,32,0,5478,0,0,0,0,0,0,0,716,0,0,0,0,4421,0,13375,1530,262,58,80,86487,116328,26977,56318,49407,23596,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,840,1072,4,766,0,0,240,54,0,0
AL,01013,1291,960,0,23,126,2,815,0,0,0,0,0,0,0,48,0,123,9,5,231,0,0,0,0,0,0,0,12105,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,64,0,5826,0,0,0,0,0,0,0,368,0,0,0,0,1695,0,20006,2252,579,153,93,153054,196910,14616,35604,36667,14201,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1291,962,23,250,0,0,173,6,0,0
AL,01015,1665,2004,0,28,4759,0,0,0,0,0,0,0,0,0,142,0,1151,2,0,12,0,0,0,0,0,0,1,7661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,2158,0,0,0,0,0,0,0,1,0,0,0,0,3281,0,37011,13628,3904,1280,182,160323,67741,11077,4696,68440,487,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1669,2004,28,5910,0,0,1297,0,0,0
AL,01017,476,37,0,5,26,1,2,0,0,0,0,0,0,0,151,0,13,1,3,7,0,0,0,0,0,0,0,6595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2666,0,0,0,0,0,0,0,3,0,0,0,0,4785,0,16723,4852,730,274,224,131186,123604,149,9063,80458,3928,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,37,5,39,0,0,164,3,0,0
AL,01019,2530,7556,0,5,17649,0,0,0,1,0,0,1,0,0,250,0,4309,15,1,70,0,0,0,0,0,0,0,9922,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,351,0,5953,0,0,0,0,0,0,0,3,0,0,0,0,29505,0,15241,3688,749,186,87,112049,73703,20420,5587,72321,1858,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2533,7556,5,21960,1,0,4562,3,0,0
AL,01021,506,1263,0,1,601,3,53,0,9,0,0,0,0,0,162,0,93,2,0,1,0,0,0,0,0,0,0,7270,0,0,0,0,0,0,0,0,3,31,0,0,0,16,0,0,0,0,0,83,0,87,0,0,0,0,0,0,0,13,0,0,0,0,5438,0,19312,4244,1177,296,521,162376,100759,17586,49164,76052,1350,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,1263,1,694,0,0,255,0,0,0
AL,01023,130,264,0,0,247,0,40,0,0,0,0,0,0,0,148,0,7,0,0,4,0,0,0,0,0,0,0,1230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,0,0,0,0,0,0,0,1,0,0,0,5,5803,0,17500,1014,364,106,36,122600,183031,94608,67523,24199,70031,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,264,0,254,0,0,156,0,0,0
AL,01025,133,524,0,0,134,0,315,0,0,0,0,0,0,0,34,0,32,35,3,2,0,1,0,0,0,0,0,1476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,334,0,0,0,0,0,0,0,34,0,0,0,0,9264,0,21210,1844,820,307,605,105413,306510,126100,63142,29757,133085,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,133,525,0,170,0,0,67,7,0,0
AL,01027,350,10,0,0,31,0,0,0,0,0,0,0,0,0,14,0,13,0,0,0,0,0,0,0,0,0,0,5355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,96,0,0,0,0,0,0,0,0,0,0,0,0,1017,0,12871,538,171,38,168,204825,106414,153,4062,51548,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,10,0,44,0,0,27,0,0,0
AL,01029,193,69,0,0,204,0,0,0,0,0,0,0,0,0,12,0,56,3,0,176,0,0,0,0,0,0,0,3603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,1152,0,13016,1734,436,71,42,179040,100414,1491,3664,53205,182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,194,69,0,311,0,0,69,51,0,0
AL,01031,4370,10356,0,182,3034,4,11304,0,0,0,0,0,0,0,775,0,585,373,1128,701,0,0,0,0,0,0,0,25661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,294,0,36373,0,0,0,0,0,0,0,221,0,0,0,0,3333,0,21093,4177,1161,437,36,52236,121523,46904,51389,23894,13596,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,0,0,0,0,0,0,2,0,143,129,0,0,0,0,0,0,0,0,0,0,0,4394,10499,184,3748,0,0,1516,1270,0,0
AL,01033,16791,7591,0,0,7381,1,0,0,0,0,0,0,0,0,997,0,7066,7,0,14,0,0,0,0,0,0,0,6929,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,54,49,0,151,0,0,0,0,0,0,0,0,0,0,0,0,19130,0,19768,9286,2739,1144,627,166603,17719,6179,32957,71954,3877,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16791,7591,0,14447,0,0,8063,0,0,0
AL,01035,1252,3575,0,18,289,0,1262,0,0,0,0,0,0,0,123,0,413,63,109,131,0,0,0,0,0,0,0,9393,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,123,0,8459,0,0,0,0,0,0,0,100,0,0,0,0,1660,0,15227,1549,290,66,330,103378,229921,38584,43633,61914,23803,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,123,8,0,0,0,0,0,0,0,0,0,0,0,1254,3698,18,710,0,0,659,119,0,0
AL,01037,107,54,0,0,39,0,0,0,1,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,1359,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,385,0,0,0,0,0,0,0,3,0,0,0,0,9584,0,17589,837,107,10,69,200217,137409,1529,16359,40601,202,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,54,0,42,0,0,10,0,0,0
AL,01039,2391,9499,0,419,514,2,7490,0,0,0,0,0,0,0,556,0,143,388,436,414,0,0,0,0,0,0,0,24832,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,1011,0,33685,0,0,0,0,0,0,0,1137,0,0,0,0,7269,0,31790,4450,960,344,53,62258,277882,58144,55620,64803,21055,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,3,0,84,172,0,0,0,0,0,0,0,0,0,0,0,2396,9583,422,829,0,0,788,611,0,0
