StPostal,Fips,Category_001,Category_002,Category_003,Category_004,Category_005,Category_006,Category_010,Category_011,Category_012,Category_013,Category_014,Category_021,Category_022,Category_023,Category_024,Category_025,Category_026,Category_027,Category_028,Category_029,Category_030,Category_031,Category_032,Category_033,Category_034,Category_035,Category_036,Category_037,Category_038,Category_039,Category_041,Category_042,Category_043,Category_044,Category_045,Category_046,Category_047,Category_048,Category_049,Category_050,Category_051,Category_052,Category_053,Category_054,Category_055,Category_056,Category_057,Category_058,Category_059,Category_060,Category_061,Category_066,Category_067,Category_068,Category_069,Category_070,Category_071,Category_072,Category_074,Category_075,Category_076,Category_077,Category_092,Category_111,Category_112,Category_121,Category_122,Category_123,Category_124,Category_131,Category_141,Category_142,Category_143,Category_152,Category_176,Category_190,Category_195,Category_204,Category_205,Category_206,Category_207,Category_208,Category_209,Category_210,Category_211,Category_212,Category_213,Category_214,Category_216,Category_217,Category_218,Category_219,Category_220,Category_221,Category_222,Category_223,Category_224,Category_225,Category_226,Category_227,Category_229,Category_230,Category_231,Category_232,Category_233,Category_234,Category_235,Category_236,Category_237,Category_238,Category_239,Category_240,Category_241,Category_242,Category_243,Category_244,Category_245,Category_246,Category_247,Category_248,Category_249,Category_250,Category_254,Corn_all,Cotton_all,Sorghum_all,Soybeans_all,Barley_all,Wheat_Durum_all,Wheat_Winter_all,Oats_all,Canteloupe_all,Lettuce_all
AL,01001,2510,5921,0,28,2154,0,982,0,4,0,0,0,0,0,1479,0,497,33,155,40,0,0,0,0,0,0,0,18975,0,0,0,0,0,57,0,4,1,96,0,0,0,0,45,1,0,0,0,0,387,0,2479,0,1,0,0,0,0,0,1426,0,0,0,0,5543,0,15270,4632,1397,328,194,109583,74990,19854,52374,47534,17377,192,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2511,5921,28,2653,0,0,1976,158,0,0
AL,01003,11631,8180,0,486,21791,1,24267,0,0,0,0,0,0,0,280,0,9190,2,288,1986,0,0,0,0,0,0,0,8549,0,0,0,0,18,56,0,929,58,1,0,0,0,0,0,0,0,0,0,0,18018,0,29515,0,0,0,0,0,0,0,6053,0,0,0,1,36691,0,48793,18630,6126,1312,3464,3745,277091,8733,126888,73487,292769,16960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,95,0,0,0,0,0,0,0,0,10,0,1023,1,977,0,0,0,0,0,0,0,0,0,0,0,11728,9204,496,31959,0,0,10505,1360,0,0
AL,01005,2650,2979,0,48,796,0,6316,0,0,0,0,0,0,0,321,0,46,97,38,168,0,0,0,0,0,0,0,17604,0,0,0,0,0,22,0,0,0,1,0,0,0,0,5,0,0,0,0,0,307,0,29658,0,0,0,0,0,14,0,338,0,0,0,0,13773,0,19746,3813,1042,345,106,152969,187768,24889,66979,30796,14928,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,29,0,3,0,0,0,0,0,0,0,0,0,0,0,2655,3008,48,845,0,0,397,45,0,0
AL,01007,369,92,0,0,647,0,12,0,0,0,0,0,0,0,167,0,102,0,1,2,0,0,0,0,0,0,0,3944,0,0,0,6,0,3,0,2,0,4,0,0,0,0,0,0,0,0,0,0,6,0,188,0,0,0,0,0,0,0,27,0,0,0,1,2620,0,14689,1509,451,55,1597,143254,126073,31353,30636,34054,8824,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,369,93,1,752,0,0,271,4,0,0
AL,01009,1948,717,0,8,5234,0,171,0,6,0,0,0,0,0,97,0,470,3,0,6,0,0,0,0,0,0,0,14258,0,0,0,52,0,22,0,79,0,2,0,0,0,0,0,0,0,0,0,0,6,0,132,0,37,0,0,0,0,0,1,0,0,0,1,3939,0,19007,4651,1055,281,621,173382,33995,6010,11712,138283,184,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1950,717,8,5705,0,0,568,0,0,0
AL,01011,1844,915,0,11,989,0,1109,0,0,0,0,0,0,0,290,0,375,25,35,266,0,0,0,0,0,0,0,6405,0,0,0,0,0,1334,0,0,0,2,0,0,0,0,27,0,0,0,0,2,738,0,11327,0,0,0,0,0,0,0,873,0,0,0,0,4271,0,13265,1539,253,65,16,93007,112826,29687,57221,44515,17327,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,1879,925,11,1366,0,0,709,38,0,0
AL,01013,1840,1643,0,0,561,0,826,0,0,0,0,0,0,0,180,0,77,28,30,110,0,0,0,0,0,0,0,9703,0,0,0,6,0,1,0,65,1,2,0,0,0,0,0,0,0,0,0,0,33,0,5908,0,0,0,0,0,0,0,70,0,0,0,0,1730,0,19798,2384,612,155,133,162649,186075,15789,36420,36461,14488,68,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1865,1645,0,639,0,0,284,31,0,0
AL,01015,1875,1237,0,5,6486,0,6,0,0,0,0,0,0,0,34,0,1588,0,4,7,0,0,0,0,0,0,0,4988,0,0,0,0,0,316,0,0,3,2,0,0,0,0,0,0,0,0,0,0,128,0,1211,0,0,0,0,0,0,0,0,0,0,0,0,3264,0,36841,13989,3714,1351,393,162740,69649,7621,4852,69132,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1876,1237,5,8075,0,0,1622,4,0,0
AL,01017,285,230,0,0,170,0,190,0,0,0,0,0,0,0,87,0,46,0,51,6,0,0,0,0,0,0,0,3151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,621,0,0,0,0,0,0,0,17,0,0,0,0,4817,0,16835,4817,716,300,61,140356,115288,121,8266,86202,3312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,230,0,216,0,0,133,51,0,0
AL,01019,2385,4759,0,4,27897,0,8,0,0,0,0,0,0,0,44,0,2691,3,0,62,0,0,0,0,0,0,0,4371,0,0,0,0,0,34,0,0,1,35,0,0,0,0,0,0,0,0,0,0,331,0,2068,0,0,0,0,0,0,0,26,0,0,0,0,28801,0,14992,3903,714,205,197,117435,68867,20080,7710,75182,1207,6,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2388,4759,4,30591,0,0,2735,0,0,0
