StPostal,Fips,Category_001,Category_002,Category_003,Category_004,Category_005,Category_006,Category_010,Category_011,Category_012,Category_013,Category_014,Category_021,Category_022,Category_023,Category_024,Category_025,Category_026,Category_027,Category_028,Category_029,Category_030,Category_031,Category_032,Category_033,Category_034,Category_035,Category_036,Category_037,Category_038,Category_041,Category_042,Category_043,Category_044,Category_045,Category_046,Category_047,Category_048,Category_049,Category_050,Category_052,Category_053,Category_054,Category_055,Category_056,Category_057,Category_058,Category_059,Category_060,Category_061,Category_063,Category_066,Category_067,Category_068,Category_069,Category_070,Category_071,Category_072,Category_074,Category_075,Category_076,Category_077,Category_087,Category_092,Category_111,Category_112,Category_121,Category_122,Category_123,Category_124,Category_131,Category_141,Category_142,Category_143,Category_152,Category_176,Category_190,Category_195,Category_204,Category_205,Category_206,Category_207,Category_208,Category_209,Category_210,Category_211,Category_212,Category_213,Category_214,Category_216,Category_217,Category_218,Category_219,Category_220,Category_221,Category_222,Category_223,Category_224,Category_225,Category_226,Category_227,Category_229,Category_230,Category_231,Category_232,Category_234,Category_235,Category_236,Category_237,Category_238,Category_239,Category_240,Category_241,Category_242,Category_243,Category_244,Category_245,Category_246,Category_247,Category_248,Category_249,Category_250,Category_254,Corn_all,Cotton_all,Sorghum_all,Soybeans_all,Barley_all,Wheat_Durum_all,Wheat_Winter_all,Oats_all,Canteloupe_all,Lettuce_all
AL,01001,1413,6623,0,5,4393,0,726,0,4,0,0,0,0,0,101,0,9,0,0,2,0,0,0,0,0,0,0,21882,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,256,0,1006,0,0,1,0,0,0,0,0,483,0,0,0,0,0,5554,0,13849,4110,1118,303,74,93277,77898,30386,53394,53191,16348,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1413,6624,5,4402,0,0,111,0,0,0
AL,01003,5743,14728,0,52,14068,6,28530,0,320,0,0,0,0,0,44,0,3280,578,121,1199,0,0,0,0,0,0,0,18269,0,0,0,99,128,0,750,0,0,0,0,0,0,0,0,0,0,0,15317,0,27430,0,0,0,0,0,0,0,0,10179,0,0,0,0,3,36478,0,46445,15831,4362,1153,3422,2755,409601,10559,85699,78438,204882,16607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,47,0,0,0,0,0,0,0,0,0,141,0,661,0,0,0,0,0,0,0,0,0,0,0,5963,14869,52,18009,0,0,3638,829,0,0
AL,01005,938,4922,0,32,289,0,6393,0,0,0,0,0,0,0,158,0,3,19,35,57,0,0,0,0,0,0,2,21196,0,0,0,0,6,0,0,0,0,0,0,0,16,0,0,0,0,0,209,0,15181,0,0,0,0,0,0,0,0,94,0,0,0,0,6,14046,0,18756,3880,1008,308,109,136107,165143,29917,86073,53554,20301,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,938,4931,34,293,0,0,172,36,0,0
AL,01007,570,630,0,0,772,1,13,0,0,0,0,0,0,0,2,0,15,8,0,0,0,0,0,0,0,0,0,5316,0,0,0,2,3,0,1,0,2,0,0,0,0,0,0,0,0,0,9,0,206,0,0,0,0,0,0,0,0,4,0,0,0,0,4,2787,0,13792,1321,344,75,189,125443,142786,35605,28148,32378,10245,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,630,0,787,0,0,17,0,0,0
AL,01009,2403,1657,0,2,7003,0,147,0,0,0,0,0,0,0,6,0,224,2,0,3,0,0,0,0,0,0,0,21875,0,0,0,4,37,0,26,0,8,0,0,0,0,0,0,0,0,0,22,0,151,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3920,0,17815,4402,908,236,327,171441,33713,7416,19916,121854,851,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2405,1659,2,7228,0,0,233,0,0,0
AL,01011,1009,1584,0,4,611,0,1536,0,0,0,0,0,0,0,301,0,1,2,10,35,0,0,0,0,0,0,0,8269,0,0,0,0,1027,0,0,0,0,0,0,0,1714,0,0,0,0,1,503,0,6092,0,0,0,0,0,0,0,0,434,0,0,0,0,0,4220,0,12517,1649,244,54,46,83421,100096,29358,61757,59825,24174,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009,1584,4,612,0,0,302,10,0,0
AL,01013,1134,1835,0,1,827,0,626,0,0,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,0,0,0,12396,0,0,0,0,0,0,46,0,0,0,0,0,1,0,0,0,0,0,42,0,2015,0,0,0,0,0,0,0,0,65,0,0,0,0,0,1608,0,18586,2327,519,124,50,136302,164480,19535,61149,50400,23705,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,1835,1,827,0,0,7,6,0,0
AL,01015,1951,3025,0,0,5753,1,3,0,0,0,0,0,0,0,16,0,557,0,0,0,0,0,0,0,0,0,1,11007,0,0,0,1,128,0,0,0,1,0,0,0,0,4,0,0,0,0,24,1,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3511,0,32726,13071,3185,1070,656,162062,68704,7047,7458,69000,683,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1951,3025,0,6310,0,0,573,0,0,0
AL,01017,255,54,0,1,54,0,117,0,4,0,0,0,0,0,8,0,1,0,106,4,0,0,0,0,0,0,0,6970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4896,0,15659,4776,703,240,523,125031,122615,300,5490,92245,5251,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,54,1,55,0,0,9,106,0,0
AL,01019,2804,16014,0,10,20245,80,21,0,0,0,0,0,0,0,2,0,136,0,0,86,0,0,0,0,0,0,0,9198,0,0,0,2,82,0,0,0,0,0,0,0,18,1,0,0,0,0,157,0,1424,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29173,0,14001,3670,647,175,179,110575,64826,21954,16982,68818,2720,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2804,16014,10,20381,0,0,138,0,0,0
