StPostal,Fips,Category_001,Category_002,Category_003,Category_004,Category_005,Category_006,Category_010,Category_011,Category_012,Category_013,Category_014,Category_021,Category_022,Category_023,Category_024,Category_025,Category_026,Category_027,Category_028,Category_029,Category_030,Category_031,Category_032,Category_033,Category_034,Category_035,Category_036,Category_037,Category_038,Category_041,Category_042,Category_043,Category_044,Category_045,Category_046,Category_047,Category_048,Category_049,Category_050,Category_052,Category_053,Category_054,Category_055,Category_056,Category_057,Category_058,Category_059,Category_060,Category_061,Category_066,Category_067,Category_068,Category_069,Category_070,Category_071,Category_072,Category_074,Category_075,Category_076,Category_077,Category_092,Category_111,Category_112,Category_121,Category_122,Category_123,Category_124,Category_131,Category_141,Category_142,Category_143,Category_152,Category_176,Category_190,Category_195,Category_204,Category_205,Category_206,Category_207,Category_208,Category_209,Category_210,Category_211,Category_212,Category_213,Category_214,Category_216,Category_217,Category_218,Category_219,Category_220,Category_221,Category_222,Category_223,Category_224,Category_225,Category_226,Category_227,Category_229,Category_230,Category_231,Category_232,Category_233,Category_234,Category_235,Category_236,Category_237,Category_238,Category_239,Category_240,Category_241,Category_242,Category_243,Category_244,Category_245,Category_246,Category_247,Category_248,Category_249,Category_250,Category_254,Corn_all,Cotton_all,Sorghum_all,Soybeans_all,Barley_all,Wheat_Durum_all,Wheat_Winter_all,Oats_all,Canteloupe_all,Lettuce_all
AL,01001,1590,7817,0,0,1013,0,203,0,7,0,0,0,0,0,781,0,147,0,0,0,0,0,0,0,0,0,0,7445,0,0,0,0,104,0,1,0,23,0,0,0,33,0,0,0,0,0,8,0,134,0,0,0,0,0,0,0,85,0,0,0,0,5495,0,15438,4465,1265,313,391,103805,74696,27677,47606,71918,13923,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1590,7843,0,1160,0,0,954,0,0,0
AL,01003,7567,23209,0,256,4478,2,23836,0,57,0,0,0,0,0,562,0,5381,165,2,1111,0,0,0,0,0,0,0,5158,0,0,0,0,189,0,953,0,4,0,0,0,0,0,0,0,0,0,8963,0,16487,0,0,0,0,0,0,0,7716,0,0,0,0,35410,0,51897,18881,5540,1405,5184,1116,413669,7400,83471,87319,220416,17874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1967,0,457,0,0,0,0,0,0,0,0,0,0,0,7567,25176,256,10316,0,0,7910,459,0,0
AL,01005,2127,5570,0,185,124,0,5181,0,0,0,0,0,0,0,33,0,0,31,16,2,0,0,0,0,0,0,0,8332,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,374,0,7924,0,0,0,0,0,0,0,41,0,0,0,0,13841,0,20277,3794,926,314,95,144139,173238,26997,78636,70330,16254,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,2130,5582,196,126,0,0,54,19,0,0
AL,01007,329,315,0,0,355,0,1,0,0,0,0,0,0,0,7,0,31,0,0,0,0,0,0,0,0,0,0,2401,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,0,1,0,0,0,0,2466,0,14637,1365,381,78,493,133987,143435,32284,30502,30058,7551,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,329,316,0,386,0,0,39,0,0,0
AL,01009,1516,2472,0,0,1976,0,278,0,0,0,0,0,0,0,33,0,190,1,0,2,0,1,0,0,0,0,6,7065,0,0,0,0,1,0,22,0,0,0,0,0,0,1,0,0,0,0,28,0,105,0,0,0,3,0,0,0,1,0,0,0,0,4435,0,18926,4406,954,228,1105,166231,35519,9766,36870,123339,887,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1519,2473,0,2166,0,0,227,0,0,0
AL,01011,819,1833,0,9,601,0,1364,0,0,0,0,0,0,0,118,0,2,23,0,2,0,0,0,0,0,0,0,2744,0,0,0,0,777,0,0,0,0,0,0,0,29,0,0,0,0,0,657,0,1201,0,0,0,0,0,0,0,47,0,0,0,0,4281,0,13298,1429,225,54,84,84229,107002,33542,50436,73506,22140,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,820,1836,12,603,0,0,127,0,0,0
AL,01013,1290,1445,0,0,160,0,972,0,0,0,0,0,0,0,78,0,29,0,0,0,0,0,0,0,0,0,0,3401,0,0,0,0,0,0,38,0,34,0,0,0,1,0,0,0,0,0,6,0,865,0,0,0,0,0,0,0,30,0,0,0,0,1825,0,20090,2058,536,148,124,152649,187077,14805,32991,54422,22684,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,1470,0,189,0,0,132,0,0,0
AL,01015,1654,3638,0,0,1106,0,14,0,1,0,0,0,0,0,22,0,1328,1,0,1,0,0,0,0,0,0,0,3139,0,0,0,0,16,0,0,0,0,0,0,0,1,1,0,0,0,0,32,0,141,0,0,0,0,0,0,0,0,0,0,0,0,3488,0,37272,13574,3583,1248,913,159000,70788,8448,12177,69647,653,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1655,3640,0,2434,0,0,1353,0,0,0
AL,01017,252,383,0,0,91,0,35,0,0,0,0,0,0,0,29,0,9,1,9,2,0,0,0,0,0,0,0,1976,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,264,0,0,0,0,0,0,0,10,0,0,0,0,5034,0,16917,4588,680,247,227,130779,121891,657,19549,77881,4348,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,254,384,1,100,0,0,42,9,0,0
AL,01019,2620,18985,0,0,6390,8,16,0,0,0,0,0,0,0,24,0,3703,4,0,66,0,0,0,0,0,0,0,2434,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,121,0,919,0,2,1,0,0,0,0,0,0,0,0,0,28955,0,15306,3756,699,175,940,111285,64181,25330,26551,69187,2326,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,26,0,1,0,0,0,0,0,0,0,0,0,0,0,2626,19011,0,10094,0,0,3759,1,0,0
