StPostal,Fips,Category_001,Category_002,Category_003,Category_004,Category_005,Category_006,Category_010,Category_011,Category_012,Category_013,Category_014,Category_021,Category_022,Category_023,Category_024,Category_025,Category_026,Category_027,Category_028,Category_029,Category_030,Category_031,Category_032,Category_033,Category_034,Category_035,Category_036,Category_037,Category_038,Category_039,Category_041,Category_042,Category_043,Category_044,Category_045,Category_046,Category_047,Category_048,Category_049,Category_050,Category_052,Category_053,Category_054,Category_055,Category_056,Category_057,Category_058,Category_059,Category_060,Category_061,Category_066,Category_067,Category_068,Category_069,Category_070,Category_071,Category_072,Category_074,Category_075,Category_076,Category_077,Category_092,Category_111,Category_112,Category_121,Category_122,Category_123,Category_124,Category_131,Category_141,Category_142,Category_143,Category_152,Category_176,Category_190,Category_195,Category_204,Category_205,Category_206,Category_207,Category_208,Category_209,Category_211,Category_212,Category_213,Category_214,Category_216,Category_217,Category_218,Category_219,Category_220,Category_221,Category_222,Category_223,Category_224,Category_225,Category_226,Category_227,Category_229,Category_236,Category_237,Category_238,Category_240,Category_241,Category_242,Category_243,Category_244,Category_245,Category_246,Category_247,Category_248,Category_249,Category_250,Category_254,Corn_all,Cotton_all,Sorghum_all,Soybeans_all,Barley_all,Wheat_Durum_all,Wheat_Winter_all,Oats_all,Canteloupe_all,Lettuce_all
AL,01001,866,6999,0,310,3220,101,199,0,8,0,0,0,0,0,477,0,713,0,19,102,0,0,0,0,0,0,1,25411,0,0,0,0,0,0,0,0,0,172,0,0,0,105,0,0,0,0,0,155,0,3839,0,0,0,0,0,0,0,255,0,0,0,0,6180,0,15873,5060,1624,429,664,108619,80797,18385,61620,25301,18461,542,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,873,6999,310,3933,0,0,1190,26,0,0
AL,01003,9922,15249,0,2118,20915,0,28680,0,181,0,0,0,0,0,421,0,3712,0,411,1855,0,0,0,0,0,0,0,12213,0,0,0,0,0,0,0,1239,59,1,0,0,0,0,0,0,0,0,0,14902,0,2222,0,0,0,0,26,0,0,6792,0,0,0,0,38585,0,50296,19076,8220,2229,4729,4425,304745,11542,131478,61189,282245,16529,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,7,66,0,0,89,0,573,1135,0,1,0,0,0,0,0,0,0,0,0,9995,15822,2207,25762,0,0,4802,1612,0,0
AL,01005,1132,5768,0,27,491,2,2667,0,0,0,0,0,0,0,633,0,2,5128,4734,77,0,0,0,0,0,0,0,24659,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,32,21,1200,0,15996,0,0,0,0,0,0,0,293,0,0,0,1,14609,0,19723,4052,1148,342,161,138017,193417,23030,98263,6576,16161,369,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,46,36,0,8,0,0,0,0,0,0,0,0,0,1189,5814,27,529,0,0,681,4827,0,0
AL,01007,125,76,0,2,533,0,3,0,0,0,0,0,0,0,4,0,141,0,0,4,0,0,0,0,0,0,0,4522,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,548,0,0,0,0,0,0,0,6,0,0,0,0,2924,0,14900,1607,663,135,1153,125009,141878,29434,53809,14522,8543,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,76,2,674,0,0,145,0,0,0
AL,01009,1939,1942,0,23,4341,0,231,0,0,0,0,0,0,0,21,0,551,0,0,40,0,3,0,0,0,0,6,14639,0,0,0,0,1,0,0,7,0,17,0,0,0,3,0,0,0,0,0,14,0,177,0,0,0,0,11,0,0,2,0,0,0,0,4576,0,20024,4950,1488,331,1236,171502,44712,10339,37251,94674,1274,34,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1939,1942,26,4902,0,0,575,10,0,0
AL,01011,493,679,0,199,1811,3,617,0,0,0,0,0,0,0,512,0,5,888,2202,28,0,0,0,0,0,0,0,11201,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,89,2,728,0,5007,0,0,0,0,0,0,0,244,0,0,0,5,4696,0,13246,1636,311,77,117,82570,121596,30310,68143,29622,23124,502,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,501,685,199,1819,0,0,523,2213,0,0
AL,01013,1698,1549,0,18,849,2,939,0,0,0,0,0,0,0,55,0,197,2,17,16,0,0,0,0,0,0,0,15647,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,31,0,1455,0,0,0,0,0,0,0,101,0,0,0,0,2038,0,19883,2532,722,198,130,150245,197226,12096,60728,15443,13991,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700,1549,18,1046,0,0,252,19,0,0
AL,01015,1259,3464,0,20,3734,0,0,0,0,0,0,0,0,0,40,0,1238,2,2,9,0,1,0,0,0,0,0,8174,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,17,0,1106,0,0,0,0,1,0,0,2,0,0,0,0,3639,0,38403,14113,4923,1730,1171,157611,72880,11862,25202,40565,708,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1259,3464,20,4972,0,0,1278,2,1,0
AL,01017,733,450,0,14,125,22,24,0,0,0,0,0,0,0,16,0,12,12,30,2,0,0,0,0,0,0,0,8818,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,13,0,205,0,0,0,0,0,0,0,5,0,0,0,0,5496,0,17149,4767,1018,282,586,129395,128900,164,42876,40816,3954,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,739,495,14,137,0,0,73,36,0,0
AL,01019,2852,15477,0,100,16552,0,0,0,5,0,0,0,0,0,83,0,4353,21,1,67,0,4,0,0,0,0,0,5968,0,0,0,4,0,0,0,1,0,5,0,0,0,2,0,0,0,0,0,189,0,2206,0,0,0,0,3,0,0,1,0,0,0,0,30085,0,15576,4103,1013,311,468,110355,83217,22295,25639,40914,2128,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2852,15477,100,20905,0,0,4436,1,0,0
