StPostal,Fips,Category_001,Category_002,Category_003,Category_004,Category_005,Category_006,Category_010,Category_011,Category_012,Category_013,Category_014,Category_021,Category_022,Category_023,Category_024,Category_025,Category_026,Category_027,Category_028,Category_029,Category_030,Category_031,Category_032,Category_033,Category_034,Category_035,Category_036,Category_037,Category_038,Category_039,Category_041,Category_042,Category_043,Category_044,Category_045,Category_046,Category_047,Category_048,Category_049,Category_050,Category_051,Category_052,Category_053,Category_054,Category_055,Category_056,Category_057,Category_058,Category_059,Category_060,Category_061,Category_066,Category_067,Category_068,Category_069,Category_070,Category_071,Category_072,Category_074,Category_075,Category_076,Category_077,Category_092,Category_111,Category_112,Category_121,Category_122,Category_123,Category_124,Category_131,Category_141,Category_142,Category_143,Category_152,Category_176,Category_190,Category_195,Category_204,Category_205,Category_206,Category_207,Category_208,Category_209,Category_211,Category_212,Category_213,Category_214,Category_216,Category_217,Category_218,Category_219,Category_220,Category_221,Category_222,Category_223,Category_224,Category_225,Category_226,Category_227,Category_229,Category_232,Category_236,Category_237,Category_238,Category_240,Category_241,Category_242,Category_243,Category_244,Category_245,Category_246,Category_247,Category_248,Category_249,Category_250,Category_254,Corn_all,Cotton_all,Sorghum_all,Soybeans_all,Barley_all,Wheat_Durum_all,Wheat_Winter_all,Oats_all,Canteloupe_all,Lettuce_all
AL,01001,1606,9062,0,74,1755,0,85,0,0,0,0,0,0,0,280,0,254,4,52,31,0,0,0,0,0,0,0,29545,0,0,0,0,0,0,0,3,8,643,0,0,0,0,6,0,0,0,0,0,166,0,2481,0,1,0,0,0,0,0,606,0,0,0,0,6350,0,15872,5033,1668,440,1042,91462,79234,28587,65185,23136,21272,518,0,17,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1657,9062,74,2009,0,0,585,52,0,0
AL,01003,12986,15612,0,1423,23241,0,23866,0,209,0,0,0,0,0,40,0,441,0,25,3774,0,0,0,0,0,0,0,7589,0,0,0,0,46,0,0,903,0,6,0,0,0,0,0,0,0,0,0,0,19527,0,1952,0,0,0,0,49,0,0,6116,0,0,0,9,38317,0,50463,19191,8193,2276,5270,3172,299268,12307,128562,65668,288663,17715,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,84,1119,0,0,0,0,0,0,0,0,0,0,0,13000,15696,1423,24801,0,0,565,1158,0,0
AL,01005,2084,4947,0,16,238,1,2459,0,3,0,0,0,0,0,342,0,172,1036,1492,157,0,0,0,0,0,0,0,26559,0,0,0,0,0,1,0,0,0,26,0,0,0,0,0,0,0,0,0,18,598,0,19773,0,0,0,0,0,0,0,215,0,0,0,0,14585,0,20116,3709,1168,332,39,132824,199425,22369,98910,8511,16459,175,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,17,3,0,0,0,0,0,48,62,0,4,0,0,0,0,0,0,0,0,0,2104,4995,16,472,0,0,579,1557,0,0
AL,01007,201,208,0,0,405,0,23,0,0,0,0,0,0,0,2,0,16,1,0,2,0,0,0,0,0,0,0,4622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,688,0,0,0,0,0,0,0,2,0,0,0,0,2649,0,14895,1596,648,134,982,123657,140859,31114,53545,14950,9207,240,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,208,0,421,0,0,95,0,2,0
AL,01009,2116,1948,0,11,4352,0,286,0,0,0,0,0,0,0,19,0,302,0,1,7,0,0,0,0,0,0,0,14637,0,0,0,0,0,3,0,13,0,0,0,0,0,0,1,0,0,0,0,1,38,0,696,0,9,0,0,0,0,0,9,0,0,0,0,4467,0,19930,5046,1450,334,1348,179162,43837,9972,29283,96535,546,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2118,1948,11,4657,0,0,323,4,0,0
AL,01011,1926,2604,0,6,1104,0,531,0,1,0,0,0,0,0,76,0,46,8,255,11,0,0,0,0,0,0,0,8273,0,0,0,0,0,174,0,0,0,23,0,0,0,0,0,0,0,0,14,0,1832,0,6349,0,0,45,0,0,0,0,46,0,0,0,35,4641,0,13377,1529,274,75,99,86535,118236,29136,69728,30233,22816,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,1931,2607,6,1151,0,0,126,260,0,0
AL,01013,1908,1944,0,8,182,0,634,0,0,0,0,0,0,0,227,0,222,7,18,74,0,0,0,0,0,0,0,13186,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,133,0,1256,0,0,0,0,0,0,0,46,0,0,0,0,1910,0,20002,2395,744,195,77,151890,194949,10326,59093,19051,17308,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1908,1944,8,404,0,0,449,18,0,0
AL,01015,1386,3024,0,5,4083,0,0,0,0,0,0,0,0,0,45,0,1185,1,0,4,0,0,0,0,0,0,0,8731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,330,0,0,0,0,4,0,0,1,0,0,0,0,3497,0,38435,14141,4838,1794,927,160314,76346,8570,18626,45255,330,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1386,3024,5,5279,0,0,1230,11,0,0
AL,01017,721,445,0,0,38,0,1,0,0,0,0,0,0,0,50,0,8,5,0,0,0,0,0,0,0,0,0,11003,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,86,0,0,0,0,0,0,0,0,0,0,0,0,5306,0,17070,4889,952,340,285,130602,131324,242,38447,40643,3488,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,721,445,0,47,0,0,58,1,0,0
AL,01019,4287,16358,0,172,17054,0,0,0,0,0,0,0,0,0,23,0,1700,5,22,10,0,0,0,0,0,0,0,3667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,204,0,938,0,0,0,0,1,0,0,0,0,0,0,0,30074,0,15586,4141,1043,287,404,115573,79572,24595,22367,43735,1939,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,4287,16358,172,18971,0,0,1723,239,0,0
