StPostal,Fips,Category_001,Category_002,Category_003,Category_004,Category_005,Category_006,Category_010,Category_011,Category_012,Category_013,Category_014,Category_021,Category_022,Category_023,Category_024,Category_025,Category_026,Category_027,Category_028,Category_029,Category_030,Category_031,Category_032,Category_033,Category_034,Category_035,Category_036,Category_037,Category_038,Category_039,Category_041,Category_042,Category_043,Category_044,Category_045,Category_046,Category_047,Category_048,Category_049,Category_050,Category_051,Category_052,Category_053,Category_054,Category_055,Category_056,Category_057,Category_058,Category_059,Category_060,Category_061,Category_066,Category_067,Category_068,Category_069,Category_070,Category_071,Category_072,Category_074,Category_075,Category_076,Category_077,Category_092,Category_111,Category_112,Category_121,Category_122,Category_123,Category_124,Category_131,Category_141,Category_142,Category_143,Category_152,Category_176,Category_190,Category_195,Category_204,Category_205,Category_206,Category_207,Category_208,Category_209,Category_211,Category_212,Category_213,Category_214,Category_216,Category_217,Category_218,Category_219,Category_220,Category_221,Category_222,Category_223,Category_224,Category_225,Category_226,Category_227,Category_229,Category_231,Category_232,Category_233,Category_236,Category_237,Category_238,Category_239,Category_240,Category_241,Category_242,Category_243,Category_244,Category_245,Category_246,Category_247,Category_248,Category_249,Category_250,Category_254,Corn_all,Cotton_all,Sorghum_all,Soybeans_all,Barley_all,Wheat_Durum_all,Wheat_Winter_all,Oats_all,Canteloupe_all,Lettuce_all
AL,01001,686,9522,0,0,1076,0,271,0,0,0,0,0,0,0,656,0,0,2,101,0,0,0,0,0,0,0,0,33492,0,0,0,0,0,154,0,0,0,636,0,0,0,0,0,0,0,0,181,13,168,0,1126,0,14,0,0,0,0,0,208,0,0,0,0,6142,0,15910,4928,1665,444,544,92887,82205,24801,69827,20068,18292,344,0,84,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,686,9609,0,1076,0,0,743,101,7,0
AL,01003,8784,14578,0,0,7746,0,33365,0,0,0,0,0,0,0,415,0,529,277,632,760,0,0,0,0,0,0,0,7843,0,0,0,0,286,0,0,1214,0,0,0,0,0,0,0,0,0,0,0,0,22601,0,13689,0,2,0,0,8,0,0,5943,0,0,0,0,37511,0,50120,19344,8300,2187,4464,1581,310782,9394,130507,62552,282528,18855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,387,0,805,83,0,0,0,0,0,0,0,0,0,0,8895,14965,0,9163,0,0,1331,1465,0,0
AL,01005,296,4306,0,86,63,0,1638,0,0,0,0,0,0,0,3447,0,0,9343,1916,5,0,0,0,0,0,0,31,24123,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,2,2,518,0,18754,0,0,0,0,0,0,0,88,0,0,0,0,14685,0,19815,4019,1097,345,53,141822,192753,17876,98356,5487,17416,163,0,18,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,46,0,0,0,0,0,0,0,0,15,0,301,0,0,0,0,0,0,0,0,0,0,0,342,4321,86,364,0,0,3508,2217,0,0
AL,01007,541,71,0,0,203,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5237,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,0,1124,0,0,0,0,0,0,0,0,0,0,0,1,2755,0,14952,1559,661,132,939,127078,141912,28145,51276,14089,9883,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541,71,0,203,0,0,6,0,0,0
AL,01009,1212,2033,0,0,5330,0,197,0,0,0,0,0,0,0,279,0,188,178,32,0,0,0,0,0,0,0,3,19893,0,0,0,0,0,0,0,20,0,2,0,0,0,0,0,0,0,0,0,2,17,0,391,0,4,0,0,0,0,0,0,0,0,0,0,4596,0,19798,5119,1491,337,1199,180979,43057,10103,29197,90174,534,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1213,2033,0,5518,0,0,468,32,0,0
AL,01011,1052,3998,0,2,17,0,229,0,0,0,0,0,0,0,73,0,1,632,782,1,0,0,0,0,0,0,1,12412,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,2,0,1110,0,4099,0,0,0,0,0,0,0,77,0,0,0,0,4515,0,13264,1627,289,81,59,85758,120704,27419,70602,28741,22690,370,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,35,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,1087,3998,2,41,0,0,74,840,0,0
AL,01013,1643,1415,0,15,548,0,1291,0,0,0,0,0,0,0,31,0,0,143,5,26,0,0,0,0,0,0,0,15922,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,23,0,1071,0,0,0,0,0,0,0,27,0,0,0,0,1993,0,19935,2451,749,193,59,147901,197898,10279,57944,16942,19232,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643,1415,15,548,0,0,31,5,0,0
AL,01015,1319,4053,0,3,2531,0,0,0,0,0,0,0,0,0,132,0,849,31,0,0,0,0,0,0,0,0,0,12722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,499,0,0,0,0,0,0,0,0,0,0,0,0,3659,0,38465,14094,4957,1651,858,166147,72804,8722,18564,39346,191,3,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1319,4053,3,3380,0,0,981,0,0,0
AL,01017,535,510,0,0,28,0,2,0,0,0,0,0,0,0,104,0,3,2,4,0,0,0,0,0,0,0,0,9646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,111,0,0,0,0,0,0,0,0,0,0,0,0,5365,0,16988,4962,934,343,602,129571,131319,172,38364,43359,2907,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535,510,0,31,0,0,107,4,0,0
AL,01019,3670,23770,0,86,10077,0,95,0,0,0,0,0,0,0,83,0,28,311,5,10,0,0,0,0,0,0,0,7035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,339,0,1941,0,0,0,0,0,0,0,0,0,0,0,0,30210,0,15605,4084,995,304,302,113764,83061,24287,22149,40330,1138,16,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,3690,23770,86,10291,0,0,131,191,0,0
AL,01021,737,1151,0,0,1049,0,7,0,0,0,0,0,0,0,73,0,1,0,3,0,0,0,0,0,0,0,0,15034,0,0,0,0,0,0,0,19,0,119,0,0,0,0,24,0,0,0,1,1,58,0,266,0,90,24,0,0,0,0,7,0,0,0,1,5938,0,19564,4508,1514,396,1022,161002,107850,15095,62814,49020,1060,28,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737,1151,0,1050,0,0,74,3,0,0
AL,01023,64,143,0,0,242,0,9,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775,0,0,0,0,0,0,0,2,0,0,0,0,6598,0,17449,1096,418,155,264,96833,218445,71641,84501,25018,63435,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,143,0,242,0,0,0,2,0,0
AL,01025,93,642,0,0,352,0,218,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,2990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,464,0,0,0,0,0,0,0,17,0,0,0,0,9990,0,21104,1893,994,352,1069,89284,296946,96394,115676,33844,128288,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,642,0,352,0,0,0,143,0,0
AL,01027,212,104,0,0,399,0,0,0,0,0,0,0,0,0,4,0,12,24,1,0,0,0,0,0,0,0,0,6169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,60,0,0,0,0,0,0,0,0,0,0,0,0,1360,0,13000,512,260,79,489,201097,108890,146,21217,33581,212,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,212,104,0,412,1,0,16,1,0,0
AL,01029,788,55,0,3,194,0,0,0,0,0,0,0,0,0,10,0,11,2,11,0,0,0,0,0,0,0,0,4913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,94,0,0,1,0,0,0,0,0,0,0,0,0,1390,0,13013,1750,467,90,377,172687,112212,1261,19448,30058,164,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788,55,3,205,0,0,21,11,0,0
AL,01031,2636,15791,0,21,324,0,13868,0,0,0,0,0,0,0,68,0,117,2817,10949,165,0,0,0,0,0,0,0,32644,0,0,0,0,0,12,0,0,0,141,0,5,0,0,0,0,0,0,1,6,620,0,3027,0,0,0,0,0,0,0,344,0,0,0,0,3612,0,21548,4646,1492,533,24,47198,136928,34565,67388,14315,16549,129,0,23,0,0,0,1264,0,0,259,0,209,0,0,1,0,0,19,0,0,0,121,0,29,0,0,0,0,0,992,0,79,0,12,0,0,0,0,21,0,0,0,0,2757,16783,21,520,0,0,1177,11149,1264,0
