StPostal,Fips,Category_001,Category_002,Category_003,Category_004,Category_005,Category_006,Category_010,Category_011,Category_012,Category_013,Category_014,Category_021,Category_022,Category_023,Category_024,Category_025,Category_026,Category_027,Category_028,Category_029,Category_030,Category_031,Category_032,Category_033,Category_034,Category_035,Category_036,Category_037,Category_038,Category_039,Category_041,Category_042,Category_043,Category_044,Category_045,Category_046,Category_047,Category_048,Category_049,Category_050,Category_051,Category_052,Category_053,Category_054,Category_055,Category_056,Category_057,Category_058,Category_059,Category_060,Category_061,Category_066,Category_067,Category_068,Category_069,Category_070,Category_071,Category_072,Category_074,Category_075,Category_076,Category_077,Category_092,Category_111,Category_112,Category_121,Category_122,Category_123,Category_124,Category_131,Category_141,Category_142,Category_143,Category_152,Category_176,Category_190,Category_195,Category_204,Category_205,Category_206,Category_207,Category_208,Category_209,Category_210,Category_211,Category_212,Category_213,Category_214,Category_216,Category_217,Category_218,Category_219,Category_220,Category_221,Category_222,Category_223,Category_224,Category_225,Category_226,Category_227,Category_229,Category_230,Category_231,Category_232,Category_233,Category_234,Category_235,Category_236,Category_237,Category_238,Category_239,Category_240,Category_241,Category_242,Category_243,Category_244,Category_245,Category_246,Category_247,Category_248,Category_249,Category_250,Category_254,Corn_all,Cotton_all,Sorghum_all,Soybeans_all,Barley_all,Wheat_Durum_all,Wheat_Winter_all,Oats_all,Canteloupe_all,Lettuce_all
AL,01001,11287,26625,0,128,9684,0,4414,0,16,0,0,0,0,0,6652,0,2234,148,697,178,0,0,0,0,0,0,0,85322,0,0,0,0,0,256,0,19,6,432,0,0,0,0,203,3,0,0,0,1,1740,0,11145,0,6,0,0,0,0,0,6412,0,0,0,0,24922,0,68662,20830,6280,1475,872,492741,337193,89274,235502,213736,78137,862,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,11290,26625,128,11927,0,0,8886,709,0,0
AL,01003,52301,36781,0,2185,97984,6,109118,0,0,0,0,0,0,0,1257,0,41325,11,1297,8931,0,0,0,0,0,0,0,38443,0,0,0,1,79,254,0,4176,260,5,0,0,0,0,0,1,0,0,0,0,81017,0,132715,0,2,0,0,0,0,0,27219,0,0,0,5,164983,0,219398,83772,27547,5898,15576,16838,1245946,39268,570555,330438,1316442,76261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,425,0,0,0,0,0,0,0,0,47,0,4600,5,4395,0,0,0,0,0,0,0,0,0,0,0,52733,41386,2232,143709,0,0,47236,6117,0,0
AL,01005,11917,13397,0,216,3579,0,28402,0,0,0,0,0,0,0,1445,0,205,434,171,754,0,0,0,0,0,0,0,79155,0,0,0,0,0,99,0,0,0,3,0,0,0,0,23,1,0,0,0,1,1380,0,133356,0,0,0,0,0,62,0,1519,0,0,0,0,61931,0,88789,17145,4685,1550,476,687830,844302,111916,301175,138476,67122,1355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,0,0,0,0,0,0,0,0,0,0,130,0,14,0,1,0,0,0,0,0,0,0,0,0,11942,13527,216,3798,0,0,1786,204,0,0
AL,01007,1657,413,0,0,2911,0,56,0,0,1,0,0,0,0,753,0,460,0,4,10,0,0,0,0,0,0,0,17736,0,0,0,29,1,12,0,11,0,18,0,0,0,0,0,1,0,0,0,0,26,0,844,0,1,0,0,0,0,0,120,0,0,0,5,11782,0,66050,6784,2028,249,7181,644147,566892,140980,137757,153124,39676,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,1657,416,3,3384,0,0,1219,17,0,0
AL,01009,8761,3224,0,35,23534,0,769,0,29,1,0,0,0,0,434,0,2114,12,2,29,0,0,0,0,0,0,0,64113,0,0,0,232,2,100,0,356,0,10,0,0,0,0,0,0,0,0,0,0,27,0,592,0,166,0,0,0,0,0,5,0,0,0,4,17713,0,85464,20912,4742,1265,2793,779617,152860,27022,52665,621793,827,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8767,3224,36,25651,0,0,2552,2,0,0
AL,01011,8291,4115,0,51,4447,0,4987,0,0,0,0,0,0,0,1304,0,1685,114,157,1198,0,0,0,0,0,0,0,28800,0,0,0,0,0,5999,0,0,0,8,0,0,0,0,120,0,0,0,0,9,3319,0,50934,0,0,0,0,0,0,0,3927,0,0,0,2,19205,0,59647,6921,1139,292,72,418208,507326,133490,257294,200164,77913,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,3,0,0,0,0,0,0,0,0,0,0,44,0,8,0,0,0,0,0,0,0,0,0,0,0,8449,4159,51,6140,0,0,3188,168,0,0
AL,01013,8273,7387,0,0,2524,0,3714,0,0,0,0,0,0,0,809,0,347,125,134,496,0,0,0,0,0,0,0,43631,0,0,0,25,0,3,0,291,6,7,0,0,0,0,1,0,0,0,0,0,150,0,26567,0,1,0,0,0,0,0,317,0,0,0,0,7780,0,89023,10718,2750,698,599,731356,836692,70997,163765,163949,65146,308,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,2,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,8387,7398,0,2874,0,0,1279,139,0,0
AL,01015,8431,5564,0,23,29166,0,25,0,0,0,0,0,0,0,151,0,7139,1,18,30,0,0,0,0,0,0,0,22429,0,0,0,0,0,1420,0,0,14,9,0,0,0,0,0,0,0,0,0,0,576,0,5445,0,0,0,0,0,0,0,0,0,0,0,0,14676,0,165658,62903,16699,6074,1766,731765,313177,34266,21815,310852,2052,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8435,5564,23,36309,0,0,7290,18,0,0
AL,01017,1282,1033,0,0,763,0,853,0,0,0,0,0,0,0,390,0,209,0,231,26,0,0,0,0,0,0,0,14169,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,2792,0,0,0,0,0,0,0,78,0,0,0,1,21660,0,75698,21659,3220,1351,274,631113,518396,542,37168,387610,14891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1282,1033,0,972,0,0,599,231,0,0
AL,01019,10724,21401,0,17,125438,0,35,0,0,0,0,0,0,0,196,0,12099,15,0,281,0,0,0,0,0,0,0,19656,0,0,0,0,0,152,0,0,3,157,0,0,0,0,0,0,0,0,0,0,1487,0,9301,0,0,0,0,0,0,0,118,0,0,0,0,129505,0,67414,17552,3212,924,886,528048,309662,90291,34666,338057,5429,29,0,10,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,10739,21401,17,137552,0,0,12295,0,0,0
