StPostal,Fips,Category_001,Category_002,Category_003,Category_004,Category_005,Category_006,Category_010,Category_011,Category_012,Category_013,Category_014,Category_021,Category_022,Category_023,Category_024,Category_025,Category_026,Category_027,Category_028,Category_029,Category_030,Category_031,Category_032,Category_033,Category_034,Category_035,Category_036,Category_037,Category_038,Category_039,Category_041,Category_042,Category_043,Category_044,Category_045,Category_046,Category_047,Category_048,Category_049,Category_050,Category_052,Category_053,Category_054,Category_055,Category_056,Category_057,Category_058,Category_059,Category_060,Category_061,Category_066,Category_067,Category_068,Category_069,Category_070,Category_071,Category_072,Category_074,Category_075,Category_076,Category_077,Category_092,Category_111,Category_112,Category_121,Category_122,Category_123,Category_124,Category_131,Category_141,Category_142,Category_143,Category_152,Category_176,Category_190,Category_195,Category_204,Category_205,Category_206,Category_207,Category_208,Category_209,Category_211,Category_212,Category_213,Category_214,Category_216,Category_217,Category_218,Category_219,Category_220,Category_221,Category_222,Category_223,Category_224,Category_225,Category_226,Category_227,Category_229,Category_230,Category_231,Category_232,Category_233,Category_234,Category_235,Category_236,Category_237,Category_238,Category_239,Category_240,Category_241,Category_242,Category_243,Category_244,Category_245,Category_246,Category_247,Category_248,Category_249,Category_250,Category_254,Corn_all,Cotton_all,Sorghum_all,Soybeans_all,Barley_all,Wheat_Durum_all,Wheat_Winter_all,Oats_all,Canteloupe_all,Lettuce_all
AL,01001,6020,33081,0,19,7126,0,1762,0,71,0,0,0,0,0,1558,0,3699,1,170,46,0,0,0,0,0,0,0,104201,0,0,0,0,0,1627,0,0,0,559,0,0,0,1064,32,0,0,0,4,816,0,7546,0,8,0,0,0,0,0,1789,0,0,0,0,26763,0,72209,21748,7357,1861,2025,406679,373470,108621,265610,194421,83939,1074,0,0,0,0,0,877,0,0,0,0,91,0,0,0,0,63,83,0,0,0,2,0,0,0,0,0,0,0,0,0,0,36,0,3,0,0,0,0,0,0,0,0,0,0,0,6022,33117,19,10828,0,0,5293,175,877,0
AL,01003,31606,41013,0,1344,67687,97,130541,0,1787,0,0,0,0,0,1161,0,44446,1237,15,4503,0,0,0,0,0,0,0,42390,0,0,0,0,0,448,0,5900,0,4,0,0,0,37,0,0,0,0,0,38130,0,61370,0,0,0,0,12,0,0,35262,0,0,0,26,172817,0,229160,86442,37472,9679,17982,8019,1346856,48030,481029,434842,1272399,77387,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,853,138,0,0,0,0,0,0,0,0,656,0,17450,0,7490,29,18,0,0,0,0,0,0,0,0,0,32626,58463,2000,119652,0,0,64566,7643,0,0
AL,01005,6656,20400,0,688,4072,0,21126,0,0,0,0,0,0,0,498,0,2261,245,712,436,0,0,0,0,0,0,0,117197,0,0,0,0,0,101,0,0,0,0,0,0,0,248,0,0,0,40,1,1797,0,61991,0,0,0,0,0,0,0,638,0,0,0,3,64408,0,89790,16711,5504,1616,361,619510,869220,115200,385433,130038,63100,1436,0,46,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,20,21,0,0,0,0,0,0,0,0,18,0,1480,0,7,0,1,0,0,0,0,0,0,0,0,0,6697,21880,706,6340,0,0,4277,740,10,0
AL,01007,1811,660,0,0,544,0,36,0,0,0,0,0,0,0,1,0,29,0,7,0,0,0,0,0,0,0,0,16929,0,0,0,0,3,19,0,0,0,0,0,0,0,13,2,0,0,0,12,98,0,540,0,2,0,4,0,0,0,10,0,0,0,0,12167,0,66682,7199,3161,591,4327,578952,605576,134349,181625,137290,48579,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1811,660,0,573,0,0,30,7,0,0
AL,01009,8824,6241,0,294,17265,0,899,0,0,0,0,0,0,0,40,0,2796,0,0,2,0,0,0,0,0,0,21,83820,0,0,0,0,7,171,0,31,0,24,0,0,0,6,0,0,0,0,14,7,0,692,0,2,0,3,0,0,0,16,0,0,0,0,19776,0,89138,23232,6609,1497,5173,753405,191422,48108,56673,550091,5900,53,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8826,6241,294,20061,0,0,2838,0,0,0
AL,01011,3597,8460,0,59,5806,0,5902,0,0,0,0,0,0,0,201,0,1535,9,118,133,0,0,0,0,0,0,0,50101,0,0,0,0,0,2444,0,0,0,0,0,0,0,5811,0,0,0,34,0,1369,0,14603,0,0,0,0,0,0,0,1255,0,0,0,30,20235,0,60571,6021,1338,336,230,383810,530853,130985,270031,207209,87212,1138,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,43,169,0,0,0,0,0,0,0,0,1,0,23,0,3,0,0,0,0,0,0,0,0,0,0,0,3809,8483,60,7344,0,0,1803,290,3,0
AL,01013,6279,5960,0,129,1437,0,3382,0,0,0,0,0,0,0,282,0,1848,0,11,3,0,0,0,0,0,0,0,57962,0,0,0,0,0,22,0,0,0,18,0,0,0,22,1,0,0,3,1,65,0,8770,0,0,0,0,0,0,0,343,0,0,0,1,9219,0,90112,10276,3597,833,575,660157,867261,53454,225757,151661,79085,116,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,11,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,6285,6014,140,3285,0,0,2195,17,14,0
AL,01015,6729,12486,0,5,11325,0,3,0,0,0,0,0,0,0,163,0,8206,0,0,85,0,0,0,0,0,0,0,33845,0,0,0,0,7,33,0,0,0,13,0,0,0,0,11,0,0,1,9,27,0,1975,0,0,0,0,0,0,0,0,0,0,0,0,15150,0,172586,62930,22305,7896,2298,705822,311822,48980,35362,299888,2119,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6729,12486,5,19531,0,0,8369,0,0,0
AL,01017,293,2004,0,75,450,0,125,0,0,0,0,0,0,0,312,0,260,0,7,42,0,0,0,0,0,0,2,22650,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,54,0,14,0,1168,0,0,0,0,0,0,0,16,0,0,0,22,23057,0,76548,22049,4261,1468,580,539168,565601,806,132916,323944,17170,73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,347,0,0,0,0,0,0,0,0,0,0,0,0,0,294,2351,75,710,0,0,919,8,1,0
AL,01019,15880,77136,0,7,55423,0,27,0,0,0,0,0,0,0,178,0,20025,1,0,206,0,0,0,0,0,0,0,17049,0,0,0,0,13,0,0,0,0,39,0,0,0,36,0,0,0,1,7,1094,0,11320,0,0,0,3,1,0,0,0,0,0,0,0,134341,0,71494,17689,4603,1372,1155,480574,340800,122945,60933,279031,13243,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,15880,77210,7,75448,0,0,20277,0,0,0
