"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","AUTAUGA","001","","","00000000","","AG LAND","AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED) - ACRES","TOTAL","NOT SPECIFIED","8,816","43.3"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","BULLOCK","011","","","00000000","","AG LAND","AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED) - ACRES","TOTAL","NOT SPECIFIED","9,701","43.3"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","DALLAS","047","","","00000000","","AG LAND","AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED) - ACRES","TOTAL","NOT SPECIFIED","17,936","43.3"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","ELMORE","051","","","00000000","","AG LAND","AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED) - ACRES","TOTAL","NOT SPECIFIED","6,590","43.3"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","GREENE","063","","","00000000","","AG LAND","AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED) - ACRES","TOTAL","NOT SPECIFIED","7,308","43.3"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","HALE","065","","","00000000","","AG LAND","AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED) - ACRES","TOTAL","NOT SPECIFIED","3,205","43.3"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","LOWNDES","085","","","00000000","","AG LAND","AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED) - ACRES","TOTAL","NOT SPECIFIED","10,924","43.3"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MACON","087","","","00000000","","AG LAND","AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED) - ACRES","TOTAL","NOT SPECIFIED","9,858","43.3"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MARENGO","091","","","00000000","","AG LAND","AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED) - ACRES","TOTAL","NOT SPECIFIED","5,758","43.3"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MONTGOMERY","101","","","00000000","","AG LAND","AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED) - ACRES","TOTAL","NOT SPECIFIED","9,142","43.3"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","PERRY","105","","","00000000","","AG LAND","AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED) - ACRES","TOTAL","NOT SPECIFIED","6,429","43.3"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","SUMTER","119","","","00000000","","AG LAND","AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED) - ACRES","TOTAL","NOT SPECIFIED","9,678","43.3"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","BALDWIN","003","","","00000000","","AG LAND","AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED) - ACRES","TOTAL","NOT SPECIFIED","10,169","43.3"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","BUTLER","013","","","00000000","","AG LAND","AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED) - ACRES","TOTAL","NOT SPECIFIED","2,872","43.3"
