county,state,statefips,countycode,statecountyfips,ASD,StateASD
AUTAUGA,ALABAMA,1,1,1001,40,1040
BALDWIN,ALABAMA,1,3,1003,50,1050
BARBOUR,ALABAMA,1,5,1005,60,1060
BIBB,ALABAMA,1,7,1007,30,1030
BLOUNT,ALABAMA,1,9,1009,20,1020
BULLOCK,ALABAMA,1,11,1011,40,1040
BUTLER,ALABAMA,1,13,1013,50,1050
CALHOUN,ALABAMA,1,15,1015,20,1020
CHAMBERS,ALABAMA,1,17,1017,30,1030
CHEROKEE,ALABAMA,1,19,1019,20,1020
CHILTON,ALABAMA,1,21,1021,30,1030
CHOCTAW,ALABAMA,1,23,1023,50,1050
CLARKE,ALABAMA,1,25,1025,50,1050
CLAY,ALABAMA,1,27,1027,30,1030
CLEBURNE,ALABAMA,1,29,1029,20,1020
COFFEE,ALABAMA,1,31,1031,60,1060
COLBERT,ALABAMA,1,33,1033,10,1010
CONECUH,ALABAMA,1,35,1035,50,1050
COOSA,ALABAMA,1,37,1037,30,1030
COVINGTON,ALABAMA,1,39,1039,60,1060
CRENSHAW,ALABAMA,1,41,1041,60,1060
CULLMAN,ALABAMA,1,43,1043,20,1020
DALE,ALABAMA,1,45,1045,60,1060
DALLAS,ALABAMA,1,47,1047,40,1040
DE KALB,ALABAMA,1,49,1049,20,1020
ELMORE,ALABAMA,1,51,1051,40,1040
ESCAMBIA,ALABAMA,1,53,1053,50,1050
ETOWAH,ALABAMA,1,55,1055,20,1020
FAYETTE,ALABAMA,1,57,1057,30,1030
FRANKLIN,ALABAMA,1,59,1059,10,1010
GENEVA,ALABAMA,1,61,1061,60,1060
GREENE,ALABAMA,1,63,1063,40,1040
HALE,ALABAMA,1,65,1065,40,1040
HENRY,ALABAMA,1,67,1067,60,1060
HOUSTON,ALABAMA,1,69,1069,60,1060
JACKSON,ALABAMA,1,71,1071,20,1020
JEFFERSON,ALABAMA,1,73,1073,30,1030
LAMAR,ALABAMA,1,75,1075,30,1030
LAUDERDALE,ALABAMA,1,77,1077,10,1010
LAWRENCE,ALABAMA,1,79,1079,10,1010
LEE,ALABAMA,1,81,1081,30,1030
LIMESTONE,ALABAMA,1,83,1083,10,1010
LOWNDES,ALABAMA,1,85,1085,40,1040
MACON,ALABAMA,1,87,1087,40,1040
MADISON,ALABAMA,1,89,1089,10,1010
MARENGO,ALABAMA,1,91,1091,40,1040
MARION,ALABAMA,1,93,1093,10,1010
MARSHALL,ALABAMA,1,95,1095,20,1020
MOBILE,ALABAMA,1,97,1097,50,1050
MONROE,ALABAMA,1,99,1099,50,1050
MONTGOMERY,ALABAMA,1,101,1101,40,1040
MORGAN,ALABAMA,1,103,1103,10,1010
PERRY,ALABAMA,1,105,1105,40,1040
PICKENS,ALABAMA,1,107,1107,30,1030
PIKE,ALABAMA,1,109,1109,60,1060
RANDOLPH,ALABAMA,1,111,1111,30,1030
RUSSELL,ALABAMA,1,113,1113,60,1060
SAINT CLAIR,ALABAMA,1,115,1115,20,1020
SHELBY,ALABAMA,1,117,1117,30,1030
SUMTER,ALABAMA,1,119,1119,40,1040
TALLADEGA,ALABAMA,1,121,1121,30,1030
TALLAPOOSA,ALABAMA,1,123,1123,30,1030
TUSCALOOSA,ALABAMA,1,125,1125,30,1030
WALKER,ALABAMA,1,127,1127,30,1030
WASHINGTON,ALABAMA,1,129,1129,50,1050
WILCOX,ALABAMA,1,131,1131,50,1050
WINSTON,ALABAMA,1,133,1133,10,1010
APACHE,ARIZONA,4,1,4001,10,4010
COCHISE,ARIZONA,4,3,4003,80,4080
COCONINO,ARIZONA,4,5,4005,10,4010
GILA,ARIZONA,4,7,4007,10,4010
GRAHAM,ARIZONA,4,9,4009,80,4080
GREENLEE,ARIZONA,4,11,4011,80,4080
LAPAZ,ARIZONA,4,12,4012,80,4080
MARICOPA,ARIZONA,4,13,4013,80,4080
MOHAVE,ARIZONA,4,15,4015,10,4010
NAVAJO,ARIZONA,4,17,4017,10,4010
PIMA,ARIZONA,4,19,4019,80,4080
PINAL,ARIZONA,4,21,4021,80,4080
SANTA CRUZ,ARIZONA,4,23,4023,80,4080
YAVAPAI,ARIZONA,4,25,4025,10,4010
YUMA,ARIZONA,4,27,4027,80,4080
ARKANSAS,ARKANSAS,5,1,5001,60,5060
ASHLEY,ARKANSAS,5,3,5003,90,5090
BAXTER,ARKANSAS,5,5,5005,20,5020
BENTON,ARKANSAS,5,7,5007,10,5010
BOONE,ARKANSAS,5,9,5009,10,5010
BRADLEY,ARKANSAS,5,11,5011,80,5080
CALHOUN,ARKANSAS,5,13,5013,80,5080
CARROLL,ARKANSAS,5,15,5015,10,5010
CHICOT,ARKANSAS,5,17,5017,90,5090
CLARK,ARKANSAS,5,19,5019,80,5080
CLAY,ARKANSAS,5,21,5021,30,5030
CLEBURNE,ARKANSAS,5,23,5023,20,5020
CLEVELAND,ARKANSAS,5,25,5025,80,5080
COLUMBIA,ARKANSAS,5,27,5027,80,5080
CONWAY,ARKANSAS,5,29,5029,50,5050
CRAIGHEAD,ARKANSAS,5,31,5031,30,5030
CRAWFORD,ARKANSAS,5,33,5033,40,5040
CRITTENDEN,ARKANSAS,5,35,5035,60,5060
CROSS,ARKANSAS,5,37,5037,60,5060
DALLAS,ARKANSAS,5,39,5039,80,5080
DESHA,ARKANSAS,5,41,5041,90,5090
DREW,ARKANSAS,5,43,5043,90,5090
FAULKNER,ARKANSAS,5,45,5045,50,5050
FRANKLIN,ARKANSAS,5,47,5047,40,5040
FULTON,ARKANSAS,5,49,5049,20,5020
GARLAND,ARKANSAS,5,51,5051,50,5050
GRANT,ARKANSAS,5,53,5053,50,5050
GREENE,ARKANSAS,5,55,5055,30,5030
HEMPSTEAD,ARKANSAS,5,57,5057,70,5070
HOT SPRING,ARKANSAS,5,59,5059,50,5050
