StPostal,Fips,Category_001,Category_002,Category_003,Category_004,Category_005,Category_006,Category_010,Category_011,Category_012,Category_013,Category_021,Category_022,Category_023,Category_024,Category_025,Category_026,Category_027,Category_028,Category_029,Category_030,Category_031,Category_032,Category_033,Category_034,Category_036,Category_037,Category_038,Category_041,Category_042,Category_043,Category_044,Category_045,Category_046,Category_047,Category_048,Category_049,Category_052,Category_053,Category_054,Category_056,Category_057,Category_058,Category_059,Category_061,Category_063,Category_066,Category_067,Category_068,Category_069,Category_070,Category_071,Category_072,Category_075,Category_076,Category_082,Category_087,Category_092,Category_111,Category_112,Category_121,Category_122,Category_123,Category_124,Category_131,Category_141,Category_142,Category_143,Category_152,Category_176,Category_190,Category_195,Category_204,Category_205,Category_206,Category_207,Category_208,Category_209,Category_210,Category_211,Category_212,Category_213,Category_214,Category_216,Category_217,Category_218,Category_219,Category_220,Category_221,Category_222,Category_223,Category_224,Category_225,Category_226,Barley_all,Canteloupe_all,Corn_all,Cotton_all,Lettuce_all,Oats_all,Sorghum_all,Soybeans_all,Wheat_Durum_all,Wheat_Winter_all
AR,05001,4500,1246,100875,1362,118509,2,0,0,0,0,0,0,0,4778,0,75009,0,9,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5891,1685,0,0,0,0,0,5,0,0,0,0,449,26,28992,0,34273,1926,592,232,194,7020,5965,9951,3505,18578,235773,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500,1246,0,9,1362,193518,0,79787
AR,05003,16091,45288,7868,1016,26080,3,0,0,0,0,0,0,0,3139,0,6109,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,2,0,0,0,1,0,0,0,0,0,2931,3534,0,0,0,0,0,5,0,0,0,0,245,429,20455,0,18692,20479,1365,393,162,1359,201354,4567,80979,16012,122234,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16091,45288,0,2,1016,32189,0,9248
AR,05005,3,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,22456,0,21445,5576,980,191,251,232277,21313,12593,50,58273,83,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1
AR,05007,27,0,0,1,26,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22395,0,43251,14724,3804,1382,269,234663,3688,208,25,238760,207,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,1,33,0,8
AR,05009,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7127,0,15181,4954,1119,343,236,182917,15997,1787,52,155343,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
AR,05011,174,11,25,12,465,0,0,0,0,0,0,0,0,29,2,41,0,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,272,227,0,0,0,0,0,0,0,0,0,0,21,2,3983,0,6710,13062,549,148,32,2152,208661,2368,56492,13425,109832,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,11,0,22,12,506,0,70
AR,05013,86,6,16,9,464,0,0,0,0,0,0,0,0,9,0,19,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,89,0,0,0,0,0,0,0,0,0,0,48,2,3311,0,7897,14542,596,73,22,2704,222591,1427,53060,9859,87597,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,6,0,1,9,483,0,28
AR,05015,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5690,0,19312,3679,565,159,40,209330,18556,754,45,150606,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1
AR,05017,40669,30416,24514,2849,105643,2,0,0,0,0,0,0,0,9188,0,5431,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,515,2,0,0,0,0,0,0,0,0,0,10933,12811,0,0,0,0,0,29,0,0,0,0,2560,1559,55536,0,23163,1938,380,60,514,98,4428,322,5672,15272,87578,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40669,30416,0,13,2849,111074,0,14619
AR,05019,704,34,81,55,6268,0,0,0,0,0,0,0,0,374,0,789,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606,550,0,0,0,0,0,1,0,0,0,0,48,0,12118,0,16685,5716,790,184,71,62556,286290,21893,19736,55004,74293,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704,34,0,2,55,7057,0,1163
