StPostal,Fips,Category_001,Category_002,Category_003,Category_004,Category_005,Category_006,Category_010,Category_011,Category_012,Category_013,Category_014,Category_021,Category_022,Category_023,Category_024,Category_025,Category_026,Category_027,Category_028,Category_029,Category_030,Category_031,Category_032,Category_033,Category_034,Category_035,Category_036,Category_037,Category_038,Category_039,Category_041,Category_042,Category_043,Category_044,Category_045,Category_046,Category_047,Category_048,Category_049,Category_050,Category_052,Category_053,Category_054,Category_055,Category_056,Category_057,Category_058,Category_059,Category_060,Category_061,Category_066,Category_067,Category_068,Category_069,Category_070,Category_071,Category_072,Category_074,Category_075,Category_076,Category_077,Category_092,Category_111,Category_112,Category_121,Category_122,Category_123,Category_124,Category_131,Category_141,Category_142,Category_143,Category_152,Category_176,Category_190,Category_195,Category_204,Category_205,Category_206,Category_207,Category_208,Category_209,Category_211,Category_212,Category_213,Category_214,Category_216,Category_217,Category_218,Category_219,Category_220,Category_221,Category_222,Category_223,Category_224,Category_225,Category_226,Category_227,Category_229,Category_230,Category_231,Category_232,Category_233,Category_234,Category_235,Category_236,Category_237,Category_238,Category_239,Category_240,Category_241,Category_242,Category_243,Category_244,Category_245,Category_246,Category_247,Category_248,Category_249,Category_250,Category_254,Corn_all,Cotton_all,Sorghum_all,Soybeans_all,Barley_all,Wheat_Durum_all,Wheat_Winter_all,Oats_all,Canteloupe_all,Lettuce_all
AL,01001,1339,7357,0,4,1585,0,392,0,16,0,0,0,0,0,346,0,823,0,38,10,0,0,0,0,0,0,0,23174,0,0,0,0,0,362,0,0,0,124,0,0,0,237,7,0,0,0,1,181,0,1678,0,2,0,0,0,0,0,398,0,0,0,0,5952,0,16059,4837,1636,414,450,90443,83057,24157,59070,43238,18668,239,0,0,0,0,0,195,0,0,0,0,20,0,0,0,0,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1339,7365,4,2409,0,0,1177,39,195,0
AL,01003,7029,9121,0,299,15053,22,29032,0,397,0,0,0,0,0,258,0,9885,275,3,1001,0,0,0,0,0,0,0,9427,0,0,0,0,0,100,0,1312,0,1,0,0,0,8,0,0,0,0,0,8480,0,13648,0,0,0,0,3,0,0,7842,0,0,0,6,38433,0,50964,19224,8334,2153,3999,1783,299533,10682,106978,96706,282974,17210,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,190,31,0,0,0,0,0,0,0,0,146,0,3881,0,1666,6,4,0,0,0,0,0,0,0,0,0,7256,13002,445,26610,0,0,14360,1700,0,0
AL,01005,1480,4537,0,153,906,0,4698,0,0,0,0,0,0,0,111,0,503,54,158,97,0,0,0,0,0,0,0,26064,0,0,0,0,0,22,0,0,0,0,0,0,0,55,0,0,0,9,0,400,0,13786,0,0,0,0,0,0,0,142,0,0,0,1,14324,0,19969,3716,1224,359,80,137775,193309,25620,85718,28920,14033,319,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,4,0,329,0,2,0,0,0,0,0,0,0,0,0,0,0,1489,4866,157,1411,0,0,951,165,2,0
AL,01007,403,147,0,0,121,0,8,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,3765,0,0,0,0,1,4,0,0,0,0,0,0,0,3,0,0,0,0,3,22,0,120,0,0,0,1,0,0,0,2,0,0,0,0,2706,0,14830,1601,703,131,962,128755,134676,29878,40392,30532,10804,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,147,0,127,0,0,6,2,0,0
AL,01009,1962,1388,0,65,3840,0,200,0,0,0,0,0,0,0,9,0,622,0,0,0,0,0,0,0,0,0,5,18641,0,0,0,0,2,38,0,7,0,5,0,0,0,1,0,0,0,0,3,2,0,154,0,0,0,1,0,0,0,4,0,0,0,0,4398,0,19824,5167,1470,333,1150,167553,42571,10699,12604,122337,1312,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1962,1388,65,4462,0,0,631,0,0,0
AL,01011,800,1881,0,13,1291,0,1313,0,0,0,0,0,0,0,45,0,341,2,26,30,0,0,0,0,0,0,0,11142,0,0,0,0,0,544,0,0,0,0,0,0,0,1292,0,0,0,8,0,304,0,3248,0,0,0,0,0,0,0,279,0,0,0,7,4500,0,13471,1339,298,75,51,85357,118058,29130,60053,46082,19395,253,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,38,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,848,1886,13,1633,0,0,401,65,1,0
AL,01013,1396,1325,0,29,320,0,752,0,0,0,0,0,0,0,63,0,411,0,2,1,0,0,0,0,0,0,0,12890,0,0,0,0,0,5,0,0,0,4,0,0,0,5,0,0,0,1,0,14,0,1950,0,0,0,0,0,0,0,76,0,0,0,0,2050,0,20040,2285,800,185,128,146815,192874,11888,50207,33728,17588,26,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1397,1337,31,731,0,0,488,3,3,0
AL,01015,1496,2777,0,1,2519,0,1,0,0,0,0,0,0,0,36,0,1825,0,0,19,0,0,0,0,0,0,0,7527,0,0,0,0,2,7,0,0,0,3,0,0,0,0,2,0,0,0,2,6,0,439,0,0,0,0,0,0,0,0,0,0,0,0,3369,0,38382,13995,4960,1756,511,156971,69347,10893,7864,66693,471,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1496,2777,1,4344,0,0,1861,0,0,0
AL,01017,65,446,0,17,100,0,28,0,0,0,0,0,0,0,69,0,58,0,2,9,0,0,0,0,0,0,0,5037,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,12,0,3,0,260,0,0,0,0,0,0,0,4,0,0,0,5,5128,0,17024,4904,948,326,129,119908,125786,179,29560,72043,3819,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,65,523,17,158,0,0,204,2,0,0
AL,01019,3532,17155,0,2,12326,0,6,0,0,0,0,0,0,0,40,0,4453,0,0,46,0,0,0,0,0,0,0,3792,0,0,0,0,3,0,0,0,0,9,0,0,0,8,0,0,0,0,2,243,0,2517,0,0,0,1,0,0,0,0,0,0,0,0,29877,0,15900,3934,1024,305,257,106877,75792,27342,13551,62055,2945,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3532,17171,2,16779,0,0,4509,0,0,0
