StPostal,Fips,Category_001,Category_002,Category_003,Category_004,Category_005,Category_006,Category_010,Category_011,Category_012,Category_013,Category_021,Category_022,Category_023,Category_024,Category_025,Category_026,Category_027,Category_028,Category_029,Category_030,Category_031,Category_032,Category_033,Category_034,Category_036,Category_037,Category_038,Category_041,Category_042,Category_043,Category_044,Category_045,Category_046,Category_047,Category_048,Category_049,Category_052,Category_053,Category_056,Category_057,Category_058,Category_059,Category_061,Category_063,Category_067,Category_068,Category_069,Category_070,Category_071,Category_072,Category_082,Category_087,Category_092,Category_111,Category_112,Category_121,Category_122,Category_123,Category_124,Category_131,Category_141,Category_142,Category_143,Category_152,Category_176,Category_190,Category_195,Corn_all,Cotton_all,Sorghum_all,Soybeans_all,Barley_all,Wheat_Durum_all,Wheat_Winter_all,Oats_all,Canteloupe_all,Lettuce_all
AR,05001,5807,1608,130175,1758,152931,2,0,0,0,0,0,0,0,6166,0,96796,0,11,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7602,2175,0,0,0,0,6,0,0,580,33,37413,0,44228,2486,764,299,250,9059,7697,12841,4523,23974,304255,391,5807,1608,1758,249727,0,0,102962,11,0,0
AR,05003,20765,58442,10153,1311,33655,4,0,0,0,0,0,0,0,4051,0,7884,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,2,0,0,0,1,0,0,0,0,3782,4561,0,0,0,0,7,0,0,316,553,26396,0,24121,26427,1762,507,209,1754,259838,5893,104500,20663,157738,235,20765,58442,1311,41539,0,0,11935,3,0,0
AR,05005,4,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,28978,0,27674,7196,1265,247,324,299743,27503,16251,64,75199,107,5,4,0,0,2,0,0,1,0,0,0
AR,05007,35,0,0,1,34,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28900,0,55813,19001,4909,1783,347,302823,4759,269,32,308110,267,1,35,0,1,43,0,0,10,0,0,0
AR,05009,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9197,0,19591,6393,1444,442,305,236046,20643,2306,67,200464,64,1,2,0,0,0,0,0,0,0,0,0
AR,05011,224,14,32,15,600,0,0,0,0,0,0,0,0,38,2,53,0,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,351,293,0,0,0,0,0,0,0,27,2,5140,0,8659,16856,708,191,41,2777,269268,3056,72900,17325,141734,108,224,14,15,653,0,0,91,29,0,0
AR,05013,111,8,21,12,599,0,0,0,0,0,0,0,0,11,0,25,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,115,0,0,0,0,0,0,0,62,3,4273,0,10191,18766,769,94,29,3490,287244,1841,68472,12722,113040,168,111,8,12,624,0,0,36,1,0,0
AR,05015,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7343,0,24921,4747,729,205,51,270131,23946,973,58,194351,117,1,2,0,0,1,0,0,1,0,0,0
AR,05017,52481,39250,31634,3676,136328,3,0,0,0,0,0,0,0,11857,0,7009,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,665,2,0,0,0,0,0,0,0,0,14109,16532,0,0,0,0,37,0,0,3303,2012,71667,0,29891,2501,490,77,663,126,5714,416,7320,19708,113015,93,52481,39250,3676,143337,0,0,18866,17,0,0
AR,05019,908,44,105,71,8089,0,0,0,0,0,0,0,0,483,0,1018,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,782,710,0,0,0,0,1,0,0,62,0,15638,0,21531,7376,1019,237,91,80726,369445,28252,25468,70980,95872,78,908,44,71,9107,0,0,1501,2,0,0
AR,05021,52032,44296,87557,1549,124243,2,0,0,0,0,0,0,0,136,0,8989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,34,9,0,0,3,0,0,0,0,482,29,0,0,0,0,0,0,0,198,6,4222,0,31927,2035,551,110,34,59238,783,479,1915,46567,62195,83,52032,44296,1549,133232,0,0,9125,0,0,0
AR,05023,10,0,3,5,75,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,46,0,0,0,0,0,0,0,9,0,31394,0,20528,4829,514,283,131,224330,74282,27361,2271,101603,1131,3,10,0,5,128,0,0,53,0,0,0
