StPostal,Fips,Category_001,Category_002,Category_003,Category_004,Category_005,Category_006,Category_010,Category_011,Category_012,Category_013,Category_014,Category_021,Category_022,Category_023,Category_024,Category_025,Category_026,Category_027,Category_028,Category_029,Category_030,Category_031,Category_032,Category_033,Category_034,Category_035,Category_036,Category_037,Category_038,Category_039,Category_041,Category_042,Category_043,Category_044,Category_045,Category_046,Category_047,Category_048,Category_049,Category_050,Category_052,Category_053,Category_054,Category_055,Category_056,Category_057,Category_058,Category_059,Category_060,Category_061,Category_066,Category_067,Category_068,Category_069,Category_070,Category_071,Category_072,Category_074,Category_075,Category_076,Category_077,Category_092,Category_111,Category_112,Category_121,Category_122,Category_123,Category_124,Category_131,Category_141,Category_142,Category_143,Category_152,Category_176,Category_190,Category_195,Category_204,Category_205,Category_206,Category_207,Category_208,Category_209,Category_211,Category_212,Category_213,Category_214,Category_216,Category_217,Category_218,Category_219,Category_220,Category_221,Category_222,Category_223,Category_224,Category_225,Category_226,Category_227,Category_229,Category_230,Category_231,Category_232,Category_234,Category_236,Category_237,Category_238,Category_240,Category_241,Category_242,Category_243,Category_244,Category_245,Category_246,Category_247,Category_248,Category_249,Category_250,Category_254,Corn_all,Cotton_all,Sorghum_all,Soybeans_all,Barley_all,Wheat_Durum_all,Wheat_Winter_all,Oats_all,Canteloupe_all,Lettuce_all
AL,01001,7138,30130,0,9,6125,307,3867,0,120,0,0,0,0,0,7052,0,642,187,0,2,0,0,0,0,0,0,0,131148,0,0,0,0,0,0,0,0,0,579,0,0,0,196,0,0,0,0,0,1697,0,763,0,0,0,0,0,0,0,790,0,0,0,0,25396,0,68480,20514,5802,1450,1646,464216,354139,88071,256627,185577,74127,1211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,4,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7139,30130,124,6767,0,0,7809,1,0,0
AL,01003,12374,28949,0,263,40871,2,97913,0,32,0,0,0,0,0,2536,0,59167,106,2790,4193,0,0,0,0,0,0,0,69654,0,0,0,0,0,0,0,3492,0,1,0,0,0,0,0,0,0,0,0,94848,0,40283,0,2,0,0,0,0,0,9717,0,0,0,0,164190,0,231048,82610,28621,6841,18002,21874,1312534,53963,528062,473460,1284028,73615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,974,0,0,0,0,0,0,1170,0,4020,5335,0,0,0,0,0,0,0,0,0,0,0,13582,32969,1433,105373,0,0,67127,9099,0,0
AL,01005,9765,13595,0,410,1341,4,21575,0,0,0,0,0,0,0,781,0,201,1713,670,1739,0,0,0,0,0,0,0,127230,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1441,0,65954,0,0,0,0,0,0,0,669,0,0,0,3,62842,0,90997,16961,4996,1448,221,706853,838817,115586,296513,151701,67884,1068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,13,0,10,15,0,4,0,0,0,0,0,0,0,0,0,9781,13605,423,1557,0,0,1005,701,0,0
AL,01007,736,384,0,21,3234,0,175,0,1,0,0,0,0,0,343,0,1157,6,95,2,0,0,0,0,0,0,0,17024,0,0,0,0,0,0,0,2,0,312,0,0,0,1,0,0,0,0,0,202,0,336,0,0,0,0,0,0,0,23,0,0,0,22,10817,0,66335,6291,1934,381,2155,597587,592090,166351,157067,142761,33947,131,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,736,384,23,4391,0,0,1502,95,0,0
AL,01009,9575,4872,0,215,23616,5,0,0,0,0,0,3,0,0,504,0,2730,118,0,103,0,0,0,0,0,0,1,86733,0,0,0,0,4,241,0,60,0,255,0,0,0,0,0,0,0,0,0,218,2,319,0,0,1,0,0,0,0,2,0,0,0,0,18445,0,86072,20214,5111,1134,1109,764427,154720,38760,55852,592915,2890,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1013,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9584,4872,219,26347,3,0,3247,1,0,0
AL,01011,3774,4821,0,19,2982,5,4611,0,2,0,0,0,0,0,664,0,409,67,189,262,0,0,0,0,0,0,0,51277,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,144,0,24633,0,0,0,0,0,0,0,3221,0,0,0,1,19880,0,60142,6878,1176,261,359,388890,523072,121302,253237,222158,106100,1069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,2,0,0,0,0,0,0,1,0,2,53,0,0,0,0,0,0,0,0,0,0,0,3782,4823,20,3444,0,0,1082,244,0,0
AL,01013,5805,4318,0,102,567,10,3664,0,0,0,0,0,0,0,218,0,552,40,22,1040,0,0,0,0,0,0,0,54430,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,290,0,26196,0,0,0,0,0,0,0,1653,0,0,0,0,7623,0,89958,10124,2605,690,416,688212,885411,65719,160094,164875,63855,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,5805,4325,102,1123,0,0,777,26,0,0
AL,01015,7485,9011,0,126,21400,0,0,0,0,0,0,0,0,0,639,0,5176,9,0,55,0,0,0,0,0,0,3,34446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110,0,9702,0,1,0,0,0,0,0,3,0,0,0,0,14754,0,166422,61280,17554,5755,818,720897,304600,49807,21115,307742,2192,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7505,9011,126,26578,0,0,5835,2,0,0
AL,01017,2140,166,0,21,116,3,7,0,0,0,0,0,0,0,679,0,59,5,15,32,0,0,0,0,0,0,0,29653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11987,0,0,0,0,0,0,0,12,0,0,0,0,21516,0,75196,21815,3283,1233,1005,589883,555787,669,40752,361782,17661,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2140,166,21,176,0,0,738,16,0,0
AL,01019,11374,33974,0,22,79361,0,0,0,4,0,0,5,0,0,1123,0,19377,69,3,313,0,0,0,0,0,0,0,44614,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,1577,0,26769,0,0,0,0,0,0,0,13,0,0,0,0,132669,0,68533,16585,3369,836,392,503829,331406,91818,25121,325194,8354,58,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,11389,33974,22,98747,5,0,20515,12,0,0
AL,01021,2274,5680,0,4,2703,13,238,0,39,0,0,0,0,0,729,0,420,10,2,6,0,0,0,0,0,0,0,32689,0,0,0,0,0,0,0,1,14,139,0,0,0,74,0,0,0,0,0,373,0,391,0,0,0,0,0,0,0,58,0,0,0,0,24454,0,86835,19082,5292,1331,2344,730126,453066,79076,221067,341969,6071,59,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,39,0,0,0,0,0,19,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2274,5682,6,3123,0,0,1153,2,0,0
AL,01023,585,1189,0,1,1111,0,182,0,0,0,0,0,0,0,667,0,33,0,0,18,0,0,0,0,0,0,0,5529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1546,0,0,0,0,0,0,0,5,0,0,0,22,26094,0,78690,4558,1636,478,164,551273,823004,425408,303617,108811,314897,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,1189,1,1144,0,0,703,0,0,0
