StPostal,Fips,Category_001,Category_002,Category_003,Category_004,Category_005,Category_006,Category_010,Category_011,Category_012,Category_013,Category_014,Category_021,Category_022,Category_023,Category_024,Category_025,Category_026,Category_027,Category_028,Category_029,Category_030,Category_031,Category_032,Category_033,Category_034,Category_035,Category_036,Category_037,Category_038,Category_041,Category_042,Category_043,Category_044,Category_045,Category_046,Category_047,Category_048,Category_049,Category_050,Category_052,Category_053,Category_054,Category_055,Category_056,Category_057,Category_058,Category_059,Category_060,Category_061,Category_066,Category_067,Category_068,Category_069,Category_070,Category_071,Category_072,Category_074,Category_075,Category_076,Category_077,Category_092,Category_111,Category_112,Category_121,Category_122,Category_123,Category_124,Category_131,Category_141,Category_142,Category_143,Category_152,Category_176,Category_190,Category_195,Category_204,Category_205,Category_206,Category_207,Category_208,Category_209,Category_210,Category_211,Category_212,Category_213,Category_214,Category_216,Category_217,Category_218,Category_219,Category_220,Category_221,Category_222,Category_223,Category_224,Category_225,Category_226,Category_227,Category_229,Category_230,Category_231,Category_232,Category_233,Category_234,Category_235,Category_236,Category_237,Category_238,Category_239,Category_240,Category_241,Category_242,Category_243,Category_244,Category_245,Category_246,Category_247,Category_248,Category_249,Category_250,Category_254,Corn_all,Cotton_all,Sorghum_all,Soybeans_all,Barley_all,Wheat_Durum_all,Wheat_Winter_all,Oats_all,Canteloupe_all,Lettuce_all
AL,01001,7148,35151,0,0,4557,0,913,0,30,0,0,0,0,0,3514,0,663,0,1,0,0,0,0,0,0,0,0,33477,0,0,0,0,468,0,6,0,105,0,0,0,148,0,0,0,0,0,34,0,601,0,0,0,0,0,0,0,382,0,0,0,0,24707,0,69417,20076,5688,1409,1757,466762,335874,124451,214060,323381,62606,564,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,7149,35269,0,5220,0,0,4296,1,2,0
AL,01003,34024,104359,0,1150,20134,7,107177,0,258,0,0,0,0,0,2527,0,24195,740,10,4995,0,0,0,0,0,0,0,23193,0,0,0,0,851,0,4287,0,16,0,0,0,1,0,0,0,0,0,40303,0,74133,0,0,0,0,0,0,0,34695,0,0,0,0,159221,0,233356,84897,24912,6318,23312,5017,1860073,33273,375329,392632,991108,80372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8843,0,2053,0,2,0,0,0,0,0,0,0,0,0,34025,113202,1150,46382,0,0,35566,2063,0,0
AL,01005,9562,25047,0,834,559,0,23296,0,0,0,0,0,0,0,149,0,0,141,73,11,0,0,0,0,0,0,0,37463,0,0,0,0,34,0,0,0,0,0,0,0,3,0,0,0,0,0,1682,0,35630,0,0,0,0,0,0,0,185,0,0,0,0,62237,0,91178,17061,4164,1411,427,648124,778970,121393,353587,316242,73085,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,49,0,43,10,0,0,0,0,0,0,0,0,0,0,0,0,9575,25100,883,569,0,0,242,85,0,0
AL,01007,1479,1417,0,0,1596,0,5,0,0,0,0,0,0,0,30,0,138,2,0,0,0,1,0,0,0,0,0,10798,0,0,0,0,7,0,4,0,3,0,0,0,0,0,0,0,0,0,10,0,53,0,0,0,0,0,0,0,6,0,0,0,0,11089,0,65817,6138,1714,350,2217,602476,644957,145167,137153,135158,33953,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1479,1422,0,1735,0,0,173,1,0,0
AL,01009,6816,11117,0,0,8887,0,1248,0,1,0,0,0,0,0,147,0,853,6,0,9,0,3,0,0,0,0,29,31767,0,0,0,0,3,0,101,0,2,0,0,0,0,6,0,0,0,0,125,0,470,0,2,0,12,0,0,0,3,0,0,0,0,19940,0,85101,19812,4288,1025,4967,747462,159710,43911,165785,554598,3989,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6831,11122,0,9740,0,0,1020,0,0,0
AL,01011,3682,8244,0,41,2704,0,6134,0,2,0,0,0,0,0,529,0,10,105,2,11,0,0,0,0,0,0,0,12339,0,0,0,0,3495,0,0,0,0,0,0,0,131,0,0,0,0,0,2955,0,5401,0,1,0,0,0,0,0,210,0,0,0,0,19249,0,59797,6426,1010,244,377,378739,481135,150822,226787,330523,99553,989,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,13,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3686,8258,54,2714,0,0,570,2,1,0
AL,01013,5802,6499,0,1,718,0,4371,0,0,0,0,0,0,0,350,0,130,0,0,2,0,0,0,0,0,0,0,15293,0,0,0,0,1,0,170,0,155,0,0,0,4,0,0,0,0,0,28,0,3891,0,0,0,0,0,0,0,133,0,0,0,0,8208,0,90337,9254,2409,666,558,686392,841195,66570,148344,244712,101998,425,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,5802,6610,1,848,0,0,591,0,1,0
AL,01015,7437,16359,0,0,4973,1,65,0,3,0,0,0,0,0,101,0,5973,4,0,4,0,0,0,0,0,0,0,14114,0,0,0,0,74,0,0,0,0,0,0,0,5,4,0,0,0,0,145,0,634,0,0,0,0,0,0,0,1,0,0,0,0,15682,0,167596,61034,16109,5611,4104,714946,318301,37987,54753,313170,2936,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7441,16366,0,10946,0,0,6085,0,0,0
AL,01017,1132,1720,0,2,409,0,158,0,0,0,0,0,0,0,131,0,42,3,39,11,0,0,0,0,0,0,0,8885,0,0,0,0,32,0,1,0,1,0,0,0,1,0,0,0,0,0,395,0,1185,0,2,0,0,0,0,0,44,0,0,0,0,22634,0,76067,20630,3057,1109,1022,588052,548086,2952,87904,350193,19552,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,1140,1723,6,451,0,0,188,39,0,0
AL,01019,11779,85366,0,0,28734,34,74,0,1,0,0,0,0,0,108,0,16650,16,2,295,0,0,0,0,0,0,0,10944,0,0,0,1,15,0,3,0,1,0,0,0,1,0,0,0,0,0,546,0,4133,0,11,5,0,0,0,0,2,0,0,0,0,130196,0,68826,16887,3143,788,4227,500397,288590,113899,119385,311103,10461,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,115,0,5,0,0,0,0,0,0,0,0,0,0,0,11804,85481,0,45389,0,0,16898,7,0,0
