StPostal,Fips,Category_001,Category_002,Category_003,Category_004,Category_005,Category_006,Category_010,Category_011,Category_012,Category_013,Category_014,Category_021,Category_022,Category_023,Category_024,Category_025,Category_026,Category_027,Category_028,Category_029,Category_030,Category_031,Category_032,Category_033,Category_034,Category_035,Category_036,Category_037,Category_038,Category_039,Category_041,Category_042,Category_043,Category_044,Category_045,Category_046,Category_047,Category_048,Category_049,Category_050,Category_052,Category_053,Category_054,Category_055,Category_056,Category_057,Category_058,Category_059,Category_060,Category_061,Category_066,Category_067,Category_068,Category_069,Category_070,Category_071,Category_072,Category_074,Category_075,Category_076,Category_077,Category_092,Category_111,Category_112,Category_121,Category_122,Category_123,Category_124,Category_131,Category_141,Category_142,Category_143,Category_152,Category_176,Category_190,Category_195,Category_204,Category_205,Category_206,Category_207,Category_208,Category_209,Category_211,Category_212,Category_213,Category_214,Category_216,Category_217,Category_218,Category_219,Category_220,Category_221,Category_222,Category_223,Category_224,Category_225,Category_226,Category_227,Category_229,Category_236,Category_237,Category_238,Category_240,Category_241,Category_242,Category_243,Category_244,Category_245,Category_246,Category_247,Category_248,Category_249,Category_250,Category_254,Corn_all,Cotton_all,Sorghum_all,Soybeans_all,Barley_all,Wheat_Durum_all,Wheat_Winter_all,Oats_all,Canteloupe_all,Lettuce_all
AL,01001,3894,31471,0,1394,14480,454,894,0,34,0,0,0,0,0,2146,0,3204,0,86,460,0,0,0,0,0,0,5,114259,0,0,0,0,0,0,0,0,0,773,0,0,0,473,0,0,0,1,1,698,0,17262,0,2,2,0,0,0,0,1148,0,0,0,0,27787,0,71374,22753,7301,1928,2985,488410,363304,82667,277078,113766,83009,2439,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,30,0,48,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3924,31471,1394,17685,0,0,5350,117,0,0
AL,01003,44614,68568,0,9524,94043,0,128959,0,816,0,0,0,0,0,1892,0,16691,2,1850,8340,0,0,0,0,0,0,0,54916,0,0,0,0,0,0,0,5571,266,4,0,0,0,0,0,0,0,0,0,67005,0,9991,0,0,0,0,119,0,0,30541,0,0,0,0,173498,0,226155,85777,36961,10022,21263,19898,1370295,51898,591194,275138,1269123,74324,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,33,297,0,0,400,0,2575,5105,0,3,0,0,0,0,0,0,0,0,0,44944,71143,9924,115839,0,0,21591,7252,0,0
AL,01005,5088,25935,0,120,2207,11,11991,0,0,0,0,0,0,0,2847,0,11,23056,21288,347,0,0,0,0,0,0,0,110880,0,0,0,0,0,18,0,0,0,2,0,37,0,0,0,0,0,145,94,5395,0,71926,0,0,0,0,0,0,0,1319,0,0,0,3,65691,0,88684,18222,5162,1539,724,620597,869703,103555,441843,29567,72670,1660,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,258,0,0,1,0,207,164,0,36,0,0,0,0,0,0,0,0,0,5348,26142,121,2382,0,0,3068,21710,0,0
AL,01007,562,340,0,8,2398,0,12,0,0,0,0,0,0,0,17,0,635,0,0,19,0,0,0,0,0,0,0,20333,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,15,0,2463,0,0,0,0,0,0,0,26,0,0,0,1,13150,0,66996,7226,2981,609,5185,562108,637956,132351,241953,65299,38416,845,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,340,8,3033,0,0,652,0,2,0
AL,01009,8721,8733,0,105,19521,1,1039,0,1,0,0,0,0,0,95,0,2477,1,1,180,0,14,0,0,0,0,27,65823,0,0,0,0,3,0,0,33,0,77,0,0,0,12,0,0,0,0,1,65,0,794,0,0,1,0,48,0,0,10,0,0,0,0,20576,0,90038,22260,6690,1487,5558,771162,201050,46489,167500,425705,5727,154,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,13,0,0,44,0,0,0,0,0,0,0,0,0,0,0,8721,8733,118,22042,0,0,2585,45,1,0
AL,01011,2217,3054,0,896,8141,13,2773,0,0,0,0,0,0,0,2303,0,24,3993,9903,124,0,0,0,0,0,0,0,50364,0,0,0,0,0,5,0,0,0,3,0,1,0,0,0,0,0,399,8,3273,0,22513,0,0,2,0,0,0,0,1098,0,0,0,23,21115,0,59563,7357,1397,347,527,371276,546760,136290,306408,133194,103979,2257,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,26,12,0,0,0,0,0,0,0,0,0,0,0,2254,3080,896,8177,0,0,2353,9952,0,0
AL,01013,7633,6963,0,80,3819,9,4223,0,0,0,0,0,0,0,247,0,885,8,77,73,0,0,0,0,0,0,0,70357,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,141,0,6541,0,0,0,0,0,0,0,456,0,0,0,0,9165,0,89405,11387,3245,891,584,675579,886830,54391,273063,69442,62911,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,11,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7644,6964,80,4704,0,0,1133,88,0,0
AL,01015,5662,15577,0,88,16791,0,0,0,0,0,0,0,0,0,182,0,5566,9,8,39,0,3,0,0,0,0,2,36755,0,0,0,0,0,0,0,0,0,21,0,0,0,1,0,0,0,0,0,76,0,4971,0,0,0,0,4,0,0,7,0,0,0,0,16365,0,172680,63461,22136,7777,5267,708702,327705,53339,113321,182400,3185,42,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5662,15577,88,22358,0,0,5748,9,4,0
AL,01017,3297,2025,0,62,560,97,109,0,0,0,0,0,0,0,71,0,52,56,136,10,0,0,0,0,0,0,0,39650,0,0,0,40,0,0,0,1,0,5,0,0,0,0,0,0,0,7,0,58,0,920,0,0,0,0,0,0,0,24,0,0,0,0,24713,0,77110,21434,4578,1270,2634,581827,579604,739,192795,183532,17779,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,202,1,0,0,0,0,0,0,0,0,0,0,0,3325,2227,62,613,0,0,325,165,0,0
AL,01019,12823,69592,0,451,74428,0,2,0,22,0,0,0,0,0,373,0,19572,96,6,301,0,17,0,0,0,0,2,26837,0,0,0,19,0,0,0,5,0,24,0,0,0,7,0,0,0,0,0,852,0,9921,0,2,0,0,15,0,0,6,0,0,0,0,135277,0,70038,18450,4553,1398,2104,496214,374186,100249,115285,183971,9568,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12823,69592,452,94000,0,0,19946,6,0,0
