StPostal,Fips,Category_001,Category_002,Category_003,Category_004,Category_005,Category_006,Category_010,Category_011,Category_012,Category_013,Category_014,Category_021,Category_022,Category_023,Category_024,Category_025,Category_026,Category_027,Category_028,Category_029,Category_030,Category_031,Category_032,Category_033,Category_034,Category_035,Category_036,Category_037,Category_038,Category_039,Category_041,Category_042,Category_043,Category_044,Category_045,Category_046,Category_047,Category_048,Category_049,Category_050,Category_051,Category_052,Category_053,Category_054,Category_055,Category_056,Category_057,Category_058,Category_059,Category_060,Category_061,Category_066,Category_067,Category_068,Category_069,Category_070,Category_071,Category_072,Category_074,Category_075,Category_076,Category_077,Category_092,Category_111,Category_112,Category_121,Category_122,Category_123,Category_124,Category_131,Category_141,Category_142,Category_143,Category_152,Category_176,Category_190,Category_195,Category_204,Category_205,Category_206,Category_207,Category_208,Category_209,Category_211,Category_212,Category_213,Category_214,Category_216,Category_217,Category_218,Category_219,Category_220,Category_221,Category_222,Category_223,Category_224,Category_225,Category_226,Category_227,Category_229,Category_232,Category_236,Category_237,Category_238,Category_240,Category_241,Category_242,Category_243,Category_244,Category_245,Category_246,Category_247,Category_248,Category_249,Category_250,Category_254,Corn_all,Cotton_all,Sorghum_all,Soybeans_all,Barley_all,Wheat_Durum_all,Wheat_Winter_all,Oats_all,Canteloupe_all,Lettuce_all
AL,01001,7223,40749,0,334,7890,0,384,0,0,0,0,0,0,0,1260,0,1142,20,233,139,0,0,0,0,0,0,0,132852,0,0,0,0,0,1,0,15,37,2893,0,0,0,0,25,0,0,0,0,0,747,0,11155,0,6,0,0,0,0,0,2727,0,0,0,0,28554,0,71371,22630,7502,1977,4687,411262,356278,128540,293104,104030,95649,2329,0,77,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,231,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7456,40749,334,9032,0,0,2633,235,0,0
AL,01003,58391,70199,0,6399,104504,0,107312,0,942,0,0,0,0,0,182,0,1985,1,112,16969,0,0,0,0,0,0,0,34126,0,0,0,0,209,0,0,4059,0,26,0,0,0,0,0,0,0,0,0,0,87803,0,8775,0,0,0,0,221,0,0,27502,0,0,0,41,172295,0,226909,86292,36842,10235,23697,14263,1345668,55340,578082,295278,1297980,79658,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,378,5031,0,1,0,0,0,0,0,0,0,0,0,58455,70577,6399,111520,0,0,2545,5207,0,0
AL,01005,9372,22246,0,70,1072,3,11056,0,15,0,0,0,0,0,1537,0,774,4659,6711,704,0,0,0,0,0,0,0,119424,0,0,0,0,0,3,0,0,0,119,0,0,0,0,0,0,0,0,1,79,2690,0,88912,0,0,0,0,0,0,0,967,0,0,0,0,65583,0,90454,16677,5253,1493,177,597246,896720,100581,444751,38271,74010,787,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,78,14,0,0,0,0,0,218,280,0,18,0,0,0,0,0,0,0,0,0,9464,22464,70,2126,0,0,2607,7005,0,0
AL,01007,906,936,0,2,1822,0,102,0,0,0,0,0,0,0,11,0,72,3,1,10,0,0,0,0,0,0,0,20783,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,41,0,3093,0,0,0,0,0,0,0,8,0,0,0,1,11913,0,66976,7175,2914,604,4417,556026,633375,139905,240768,67222,41400,1077,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,3,0,0,348,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1254,936,2,1894,0,0,431,1,8,0
AL,01009,9516,8758,0,51,19570,0,1285,0,0,0,0,1,0,0,84,0,1357,1,3,31,0,0,0,0,0,0,0,65815,0,0,0,0,0,15,0,59,0,0,0,0,0,0,4,0,0,0,0,4,169,0,3129,0,39,0,0,0,0,0,40,0,0,0,0,20085,0,89616,22688,6520,1502,6063,805606,197113,44839,131670,434072,2453,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,9524,8758,51,20942,1,0,1449,18,0,0
AL,01011,8662,11708,0,25,4963,0,2388,0,6,0,0,0,0,0,343,0,209,36,1146,49,0,0,0,0,0,0,0,37202,0,0,0,0,0,782,0,0,0,102,0,0,0,0,0,0,0,0,64,2,8239,0,28549,0,0,204,0,0,0,0,205,0,0,0,158,20867,0,60152,6876,1234,339,443,389107,531651,131010,313534,135943,102594,2839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,0,0,0,0,0,13,3,0,6,0,0,0,0,0,0,0,0,0,8688,11721,25,5175,0,0,571,1169,0,0
AL,01013,8579,8743,0,36,817,0,2853,0,0,0,0,0,0,0,1019,0,997,30,82,334,0,0,0,0,0,0,0,59293,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,4,598,0,5648,0,0,0,0,0,0,0,205,0,0,0,0,8589,0,89939,10771,3345,879,346,682977,876591,46430,265713,85665,77828,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8579,8743,36,1815,0,0,2016,83,0,0
AL,01015,6230,13598,0,23,18359,0,0,0,0,0,0,0,0,0,203,0,5327,4,1,17,0,0,0,0,0,0,0,39260,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1485,0,0,0,0,16,0,0,3,0,0,0,0,15725,0,172823,63585,21752,8068,4170,720855,343290,38535,83753,203491,1485,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,48,0,0,0,0,0,0,0,0,0,0,0,6230,13598,25,23734,0,0,5532,49,0,0
AL,01017,3244,1999,0,1,172,0,5,0,0,0,0,0,0,0,226,0,38,23,2,1,0,0,0,0,0,0,0,49476,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,20,0,386,0,0,0,0,0,0,0,0,0,0,0,0,23857,0,76757,21983,4279,1529,1283,587253,590500,1087,172880,182751,15686,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,3246,1999,1,216,0,0,266,8,0,0
AL,01019,19275,73554,0,774,76682,0,2,0,0,0,0,0,0,0,105,0,7646,23,97,45,0,0,0,0,0,0,0,16487,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,918,0,4217,0,0,2,0,6,0,0,0,0,0,0,0,135227,0,70082,18619,4690,1289,1818,519679,357797,110591,100575,196655,8721,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,974,0,0,0,0,0,0,0,0,0,0,0,19277,73554,774,85302,0,0,7753,1071,0,0
AL,01021,5142,5544,0,51,5211,0,38,0,0,0,0,0,0,0,99,0,135,8,12,16,0,0,0,0,0,0,0,40992,0,0,0,0,0,1,0,103,33,416,0,0,0,0,66,0,0,0,0,0,168,0,1316,0,42,1,0,0,0,0,181,0,0,0,0,26979,0,87426,21045,6784,1718,4746,712109,479057,87046,285077,238840,5976,97,0,0,0,0,0,56,0,0,0,0,0,0,0,14,0,0,57,0,0,72,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5215,5544,51,5346,0,0,306,13,56,0
AL,01023,489,590,0,3,644,0,20,0,0,0,0,0,0,0,0,0,2,0,1,7,0,0,0,0,0,0,0,3673,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,9169,0,0,0,0,0,0,0,19,0,0,0,4,26638,0,78690,4471,1987,639,890,452526,927184,343977,391910,118035,287870,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,489,590,3,646,0,0,2,1,0,0
AL,01025,1331,2597,0,10,1281,0,956,0,2,0,0,0,0,0,24,0,2,0,207,96,0,0,0,0,0,0,0,10441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,4649,0,0,0,0,0,0,0,65,0,0,0,7,44065,0,94949,8581,4494,1560,3558,364814,1331839,474798,520790,157775,569190,6201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1332,2597,10,1283,0,0,27,207,0,0
AL,01027,876,140,0,10,1729,0,0,0,0,0,0,1,0,0,1,0,66,117,0,7,0,0,0,0,0,0,0,20285,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,780,0,0,0,0,0,0,0,4,0,0,0,0,6341,0,58430,2410,1187,366,1523,896179,497320,2922,104778,147898,568,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,876,140,10,1796,1,0,67,1,0,0
AL,01029,3891,37,0,0,877,0,1,0,0,0,0,0,0,0,5,0,22,55,2,0,0,0,0,0,0,0,0,17530,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,398,0,0,5,0,0,0,0,0,0,0,0,0,6349,0,57582,9006,2034,366,836,782816,499597,5848,94251,132290,623,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3892,37,0,899,0,0,28,2,0,0
AL,01031,42568,86575,0,868,5490,1,52149,0,753,0,0,0,0,0,533,0,34,579,2725,8460,0,0,0,0,0,0,0,140703,0,0,0,0,0,6,0,1,0,4596,0,94,0,0,2,0,0,0,0,18,1389,0,23531,0,0,0,0,0,0,0,459,0,0,0,3,17356,0,96224,21085,6999,2187,141,195530,637060,170395,305780,75601,57243,642,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,21,0,0,0,0,0,1,449,0,4,0,0,0,0,0,0,0,0,0,42590,86576,868,5973,0,0,569,3195,0,0
