StPostal,Fips,Category_001,Category_002,Category_003,Category_004,Category_005,Category_006,Category_010,Category_011,Category_012,Category_013,Category_014,Category_021,Category_022,Category_023,Category_024,Category_025,Category_026,Category_027,Category_028,Category_029,Category_030,Category_031,Category_032,Category_033,Category_034,Category_035,Category_036,Category_037,Category_038,Category_039,Category_041,Category_042,Category_043,Category_044,Category_045,Category_046,Category_047,Category_048,Category_049,Category_050,Category_051,Category_052,Category_053,Category_054,Category_055,Category_056,Category_057,Category_058,Category_059,Category_060,Category_061,Category_066,Category_067,Category_068,Category_069,Category_070,Category_071,Category_072,Category_074,Category_075,Category_076,Category_077,Category_092,Category_111,Category_112,Category_121,Category_122,Category_123,Category_124,Category_131,Category_141,Category_142,Category_143,Category_152,Category_176,Category_190,Category_195,Category_204,Category_205,Category_206,Category_207,Category_208,Category_209,Category_211,Category_212,Category_213,Category_214,Category_216,Category_217,Category_218,Category_219,Category_220,Category_221,Category_222,Category_223,Category_224,Category_225,Category_226,Category_227,Category_229,Category_231,Category_232,Category_233,Category_236,Category_237,Category_238,Category_239,Category_240,Category_241,Category_242,Category_243,Category_244,Category_245,Category_246,Category_247,Category_248,Category_249,Category_250,Category_254,Corn_all,Cotton_all,Sorghum_all,Soybeans_all,Barley_all,Wheat_Durum_all,Wheat_Winter_all,Oats_all,Canteloupe_all,Lettuce_all
AL,01001,3086,42815,0,0,4837,0,1219,0,0,0,0,0,0,0,2948,0,0,8,453,0,0,0,0,0,0,0,0,150598,0,0,0,0,0,691,0,1,0,2858,0,0,0,0,1,0,0,0,812,57,754,0,5065,0,61,0,0,0,0,0,934,0,0,0,1,27616,0,71541,22157,7488,1997,2446,417669,369635,111518,313980,90238,82252,1549,0,376,0,0,0,31,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,28,0,0,0,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0,3086,43204,0,4837,0,0,3337,453,31,0
AL,01003,39499,65549,0,0,34830,0,150028,0,0,0,0,0,0,0,1868,0,2378,1244,2841,3418,0,0,0,0,0,0,0,35268,0,0,0,1,1287,0,0,5457,0,0,0,0,0,0,0,0,0,0,0,0,101624,0,61555,0,8,0,0,35,0,0,26721,0,0,0,0,168671,0,225365,86980,37321,9835,20073,7109,1397441,42239,586827,281266,1270395,84782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,1740,0,3621,372,0,0,0,0,0,0,0,0,0,0,39997,67289,0,41201,0,0,5986,6588,0,0
AL,01005,1331,19360,0,385,283,0,7365,0,0,0,0,0,0,0,15501,0,0,42012,8615,23,0,0,0,0,0,0,140,108468,0,0,0,0,0,0,0,0,0,30,0,15,0,0,0,0,0,0,7,7,2331,0,84330,0,2,0,0,0,0,0,396,0,0,0,0,66033,0,89099,18071,4932,1552,237,637707,866720,80382,442261,24673,78312,732,0,79,0,0,0,0,0,0,0,0,0,0,0,7,0,0,16,0,0,206,0,0,0,0,0,0,0,0,68,0,1353,0,0,0,0,0,0,0,0,0,0,0,1537,19428,385,1636,0,0,15775,9968,0,0
AL,01007,2432,320,0,0,912,0,0,0,0,0,0,0,0,0,26,0,2,0,1,1,0,0,0,0,0,0,0,23548,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,25,0,5056,0,0,0,0,0,0,0,0,0,0,0,5,12389,0,67230,7008,2970,594,4220,571411,638109,126555,230564,63351,44437,755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2432,320,0,914,0,0,28,1,0,0
AL,01009,5450,9141,0,1,23968,0,888,0,0,0,0,0,0,0,1255,0,844,799,146,1,0,2,0,0,0,0,13,89448,0,0,0,0,0,0,0,91,0,7,0,0,0,0,0,0,0,0,0,8,76,0,1759,0,18,0,0,0,0,0,0,0,0,0,0,20667,0,89020,23019,6706,1516,5391,813778,193607,45428,131285,405468,2400,45,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5454,9141,1,24813,0,0,2103,147,0,0
AL,01011,4729,17978,0,11,76,0,1031,0,0,0,0,0,0,0,330,0,3,2844,3516,4,0,0,0,0,0,0,3,55811,0,0,0,0,0,18,0,0,0,37,0,0,0,0,0,0,0,0,9,0,4991,0,18430,0,2,0,0,0,0,0,344,0,0,0,1,20301,0,59643,7318,1298,363,265,385612,542749,123292,317464,129233,102027,1662,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13,0,0,0,157,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,4886,17978,11,183,0,0,333,3777,2,0
AL,01013,7387,6363,0,67,2466,0,5803,0,0,0,0,0,0,0,140,0,1,642,21,119,0,0,0,0,0,0,0,71593,0,0,0,0,0,0,0,0,0,426,0,0,0,0,0,0,0,0,1,0,105,0,4814,0,0,0,0,0,0,0,120,0,0,0,0,8961,0,89637,11023,3367,870,265,665041,889855,46218,260548,76182,86475,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7387,6363,67,2469,0,0,141,23,0,0
AL,01015,5933,18226,0,12,11382,0,2,0,0,0,0,0,0,0,593,0,3817,141,0,0,0,0,0,0,0,0,0,57207,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,77,0,2243,0,0,0,0,0,0,0,0,0,0,0,0,16453,0,172958,63375,22291,7426,3860,747086,327365,39217,83475,176921,858,12,0,1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5933,18226,12,15199,0,0,4410,0,0,0
AL,01017,2406,2294,0,0,128,0,8,0,0,0,0,0,0,0,468,0,12,9,20,0,0,0,0,0,0,0,0,43375,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,0,500,0,0,0,0,0,0,0,2,0,0,0,0,24125,0,76385,22311,4198,1541,2705,582620,590477,773,172503,194967,13071,176,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2406,2294,0,140,0,0,480,20,0,0
AL,01019,16500,106883,0,386,45313,0,428,0,0,0,0,0,0,0,375,0,126,1400,24,46,0,0,0,0,0,0,0,31634,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,1526,0,8726,0,0,2,0,0,0,0,0,0,0,0,0,135839,0,70168,18366,4472,1369,1356,511544,373487,109206,99595,181347,5115,71,0,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,1,0,837,0,0,0,0,0,0,0,0,0,0,0,16588,106884,386,46276,0,0,590,861,0,0
AL,01021,3316,5175,0,1,4718,0,33,0,0,0,0,0,0,0,330,0,4,1,12,0,0,1,0,0,0,0,0,67603,0,0,0,0,0,1,0,87,0,537,0,0,0,0,106,0,0,0,3,3,263,0,1197,0,403,108,0,0,0,0,32,0,0,0,4,26701,0,87971,20271,6808,1782,4594,723949,484951,67877,282443,220421,4766,125,0,36,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3316,5176,1,4722,0,0,335,12,0,0
AL,01023,288,642,0,1,1089,0,39,0,0,0,0,0,0,0,0,0,2,4,10,0,0,0,0,0,0,0,0,9814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3483,0,0,0,0,0,0,0,10,0,0,0,2,29669,0,78459,4928,1880,697,1189,435413,982244,322135,379962,112495,285236,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,642,1,1091,0,0,2,10,0,0
AL,01025,418,2888,0,0,1585,0,978,0,0,0,0,0,0,0,2,0,0,2,641,0,0,0,0,0,0,0,0,13443,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,35,0,2085,0,0,0,0,0,0,0,78,0,0,0,0,44922,0,94894,8514,4468,1585,4807,401466,1335224,433436,520142,152181,576848,3733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,2888,0,1585,0,0,2,641,0,0
AL,01027,952,467,0,2,1795,0,1,0,0,0,0,0,0,0,20,0,52,106,4,0,0,0,0,0,0,0,0,27738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,268,0,0,0,0,0,0,0,0,0,0,0,0,6116,0,58454,2304,1169,354,2201,904236,489628,656,95404,150997,955,56,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,952,467,2,1850,3,0,72,4,0,0
AL,01029,3544,246,0,12,874,0,0,0,0,0,0,0,0,0,43,0,49,8,48,0,0,0,0,0,0,0,0,22091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,421,0,0,5,0,0,0,0,0,0,0,0,0,6252,0,58514,7870,2098,406,1694,776493,504565,5672,87447,135155,739,203,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3544,246,12,923,0,0,92,48,0,0
AL,01031,11854,71003,0,93,1455,0,62357,0,0,0,0,0,0,0,306,0,525,12668,49234,740,0,0,0,0,0,0,0,146785,0,0,0,0,0,53,0,0,0,632,0,23,0,0,0,0,0,0,3,28,2786,0,13609,0,0,0,0,0,0,0,1545,0,0,0,0,16242,0,96889,20890,6709,2396,108,212228,615698,155424,303010,64367,74414,578,0,104,0,0,0,5684,0,0,1163,0,939,0,0,5,0,0,87,0,0,1,546,0,131,0,0,0,0,0,4462,0,357,0,55,0,0,0,0,94,0,0,0,0,12401,75465,93,2337,0,0,5294,50137,5684,0
