"","DataItemLong","County","State","year","OrchardAc","StateFips","CountyCode","StateCountyFips"
"3.1992","Land in orchards, total (acres)","AUTAUGA COUNTY"," AL","1992",484,"01","001","01001"
"4.1992","Land in orchards, total (acres)","BALDWIN COUNTY"," AL","1992",7784,"01","003","01003"
"5.1992","Land in orchards, total (acres)","BARBOUR COUNTY"," AL","1992",1275,"01","005","01005"
"6.1992","Land in orchards, total (acres)","BIBB COUNTY"," AL","1992",-9999,"01","007","01007"
"7.1992","Land in orchards, total (acres)","BLOUNT COUNTY"," AL","1992",824,"01","009","01009"
"8.1992","Land in orchards, total (acres)","BULLOCK COUNTY"," AL","1992",1148,"01","011","01011"
"9.1992","Land in orchards, total (acres)","BUTLER COUNTY"," AL","1992",555,"01","013","01013"
"10.1992","Land in orchards, total (acres)","CALHOUN COUNTY"," AL","1992",83,"01","015","01015"
"11.1992","Land in orchards, total (acres)","CHAMBERS COUNTY"," AL","1992",241,"01","017","01017"
"12.1992","Land in orchards, total (acres)","CHEROKEE COUNTY"," AL","1992",51,"01","019","01019"
"13.1992","Land in orchards, total (acres)","CHILTON COUNTY"," AL","1992",3745,"01","021","01021"
"14.1992","Land in orchards, total (acres)","CHOCTAW COUNTY"," AL","1992",24,"01","023","01023"
"15.1992","Land in orchards, total (acres)","CLARKE COUNTY"," AL","1992",49,"01","025","01025"
"16.1992","Land in orchards, total (acres)","CLAY COUNTY"," AL","1992",65,"01","027","01027"
"17.1992","Land in orchards, total (acres)","CLEBURNE COUNTY"," AL","1992",14,"01","029","01029"
"18.1992","Land in orchards, total (acres)","COFFEE COUNTY"," AL","1992",444,"01","031","01031"
"19.1992","Land in orchards, total (acres)","COLBERT COUNTY"," AL","1992",43,"01","033","01033"
"20.1992","Land in orchards, total (acres)","CONECUH COUNTY"," AL","1992",132,"01","035","01035"
"21.1992","Land in orchards, total (acres)","COOSA COUNTY"," AL","1992",20,"01","037","01037"
"22.1992","Land in orchards, total (acres)","COVINGTON COUNTY"," AL","1992",2180,"01","039","01039"
"23.1992","Land in orchards, total (acres)","CRENSHAW COUNTY"," AL","1992",541,"01","041","01041"
"24.1992","Land in orchards, total (acres)","CULLMAN COUNTY"," AL","1992",228,"01","043","01043"
"25.1992","Land in orchards, total (acres)","DALE COUNTY"," AL","1992",349,"01","045","01045"
"26.1992","Land in orchards, total (acres)","DALLAS COUNTY"," AL","1992",417,"01","047","01047"
"27.1992","Land in orchards, total (acres)","DE KALB COUNTY"," AL","1992",65,"01","049","01049"
"28.1992","Land in orchards, total (acres)","ELMORE COUNTY"," AL","1992",317,"01","051","01051"
"29.1992","Land in orchards, total (acres)","ESCAMBIA COUNTY"," AL","1992",582,"01","053","01053"
"30.1992","Land in orchards, total (acres)","ETOWAH COUNTY"," AL","1992",57,"01","055","01055"
"31.1992","Land in orchards, total (acres)","FAYETTE COUNTY"," AL","1992",3,"01","057","01057"
"32.1992","Land in orchards, total (acres)","FRANKLIN COUNTY"," AL","1992",74,"01","059","01059"
"33.1992","Land in orchards, total (acres)","GENEVA COUNTY"," AL","1992",386,"01","061","01061"
"34.1992","Land in orchards, total (acres)","GREENE COUNTY"," AL","1992",16,"01","063","01063"
"35.1992","Land in orchards, total (acres)","HALE COUNTY"," AL","1992",101,"01","065","01065"
"36.1992","Land in orchards, total (acres)","HENRY COUNTY"," AL","1992",120,"01","067","01067"
"37.1992","Land in orchards, total (acres)","HOUSTON COUNTY"," AL","1992",530,"01","069","01069"
"38.1992","Land in orchards, total (acres)","JACKSON COUNTY"," AL","1992",93,"01","071","01071"
"39.1992","Land in orchards, total (acres)","JEFFERSON COUNTY"," AL","1992",28,"01","073","01073"
"40.1992","Land in orchards, total (acres)","LAMAR COUNTY"," AL","1992",15,"01","075","01075"
"41.1992","Land in orchards, total (acres)","LAUDERDALE COUNTY"," AL","1992",29,"01","077","01077"
"42.1992","Land in orchards, total (acres)","LAWRENCE COUNTY"," AL","1992",122,"01","079","01079"
"43.1992","Land in orchards, total (acres)","LEE COUNTY"," AL","1992",402,"01","081","01081"
"44.1992","Land in orchards, total (acres)","LIMESTONE COUNTY"," AL","1992",453,"01","083","01083"
"45.1992","Land in orchards, total (acres)","LOWNDES COUNTY"," AL","1992",1086,"01","085","01085"
"46.1992","Land in orchards, total (acres)","MACON COUNTY"," AL","1992",650,"01","087","01087"
"47.1992","Land in orchards, total (acres)","MADISON COUNTY"," AL","1992",116,"01","089","01089"
"48.1992","Land in orchards, total (acres)","MARENGO COUNTY"," AL","1992",17,"01","091","01091"
"49.1992","Land in orchards, total (acres)","MARION COUNTY"," AL","1992",23,"01","093","01093"
"50.1992","Land in orchards, total (acres)","MARSHALL COUNTY"," AL","1992",149,"01","095","01095"
"51.1992","Land in orchards, total (acres)","MOBILE COUNTY"," AL","1992",3879,"01","097","01097"
"52.1992","Land in orchards, total (acres)","MONROE COUNTY"," AL","1992",817,"01","099","01099"
"53.1992","Land in orchards, total (acres)","MONTGOMERY COUNTY"," AL","1992",990,"01","101","01101"
"54.1992","Land in orchards, total (acres)","MORGAN COUNTY"," AL","1992",242,"01","103","01103"
"55.1992","Land in orchards, total (acres)","PERRY COUNTY"," AL","1992",71,"01","105","01105"
"56.1992","Land in orchards, total (acres)","PICKENS COUNTY"," AL","1992",67,"01","107","01107"
"57.1992","Land in orchards, total (acres)","PIKE COUNTY"," AL","1992",910,"01","109","01109"
"58.1992","Land in orchards, total (acres)","RANDOLPH COUNTY"," AL","1992",25,"01","111","01111"
"59.1992","Land in orchards, total (acres)","RUSSELL COUNTY"," AL","1992",366,"01","113","01113"
"60.1992","Land in orchards, total (acres)","ST CLAIR COUNTY"," AL","1992",91,"01","115","01115"
"61.1992","Land in orchards, total (acres)","SHELBY COUNTY"," AL","1992",62,"01","117","01117"
"62.1992","Land in orchards, total (acres)","SUMTER COUNTY"," AL","1992",166,"01","119","01119"
"63.1992","Land in orchards, total (acres)","TALLADEGA COUNTY"," AL","1992",167,"01","121","01121"
"64.1992","Land in orchards, total (acres)","TALLAPOOSA COUNTY"," AL","1992",179,"01","123","01123"
"65.1992","Land in orchards, total (acres)","TUSCALOOSA COUNTY"," AL","1992",72,"01","125","01125"
"66.1992","Land in orchards, total (acres)","WALKER COUNTY"," AL","1992",9,"01","127","01127"
"67.1992","Land in orchards, total (acres)","WASHINGTON COUNTY"," AL","1992",145,"01","129","01129"
"68.1992","Land in orchards, total (acres)","WILCOX COUNTY"," AL","1992",113,"01","131","01131"
"69.1992","Land in orchards, total (acres)","WINSTON COUNTY"," AL","1992",28,"01","133","01133"
"70.1992","Land in orchards, total (acres)","ALL OTHER COUNTIES"," AL","1992",-9999,"01","998","01998"
"72.1992","Land in orchards, total (acres)","ALEUTIAN ISLANDS AREA"," AK","1992",-9999,"02","010","02010"
"73.1992","Land in orchards, total (acres)","ANCHORAGE AREA"," AK","1992",-9999,"02","020","02020"
"74.1992","Land in orchards, total (acres)","FAIRBANKS AREA"," AK","1992",-9999,"02","090","02090"
"75.1992","Land in orchards, total (acres)","JUNEAU AREA"," AK","1992",-9999,"02","110","02110"
"76.1992","Land in orchards, total (acres)","KENAI PENINSULA AREA"," AK","1992",-9999,"02","122","02122"
"77.1992","Land in orchards, total (acres)","ALL OTHER COUNTIES"," AK","1992",-9999,"02","998","02998"
"79.1992","Land in orchards, total (acres)","APACHE COUNTY"," AZ","1992",63,"04","001","04001"
"80.1992","Land in orchards, total (acres)","COCHISE COUNTY"," AZ","1992",6943,"04","003","04003"
"81.1992","Land in orchards, total (acres)","COCONINO COUNTY"," AZ","1992",133,"04","005","04005"
"82.1992","Land in orchards, total (acres)","GILA COUNTY"," AZ","1992",-9999,"04","007","04007"
"83.1992","Land in orchards, total (acres)","GRAHAM COUNTY"," AZ","1992",4513,"04","009","04009"
"84.1992","Land in orchards, total (acres)","GREENLEE COUNTY"," AZ","1992",28,"04","011","04011"
"85.1992","Land in orchards, total (acres)","LA PAZ COUNTY"," AZ","1992",198,"04","012","04012"
"86.1992","Land in orchards, total (acres)","MARICOPA COUNTY"," AZ","1992",14358,"04","013","04013"
"87.1992","Land in orchards, total (acres)","MOHAVE COUNTY"," AZ","1992",232,"04","015","04015"
"88.1992","Land in orchards, total (acres)","NAVAJO COUNTY"," AZ","1992",272,"04","017","04017"
"89.1992","Land in orchards, total (acres)","PIMA COUNTY"," AZ","1992",-9999,"04","019","04019"
"90.1992","Land in orchards, total (acres)","PINAL COUNTY"," AZ","1992",10327,"04","021","04021"
"91.1992","Land in orchards, total (acres)","SANTA CRUZ COUNTY"," AZ","1992",233,"04","023","04023"
"92.1992","Land in orchards, total (acres)","YAVAPAI COUNTY"," AZ","1992",224,"04","025","04025"
"93.1992","Land in orchards, total (acres)","YUMA COUNTY"," AZ","1992",26206,"04","027","04027"
"94.1992","Land in orchards, total (acres)","ALL OTHER COUNTIES"," AZ","1992",-9999,"04","998","04998"
"96.1992","Land in orchards, total (acres)","ARKANSAS COUNTY"," AR","1992",-9999,"05","001","05001"
"97.1992","Land in orchards, total (acres)","ASHLEY COUNTY"," AR","1992",-9999,"05","003","05003"
"98.1992","Land in orchards, total (acres)","BAXTER COUNTY"," AR","1992",-9999,"05","005","05005"
"99.1992","Land in orchards, total (acres)","BENTON COUNTY"," AR","1992",600,"05","007","05007"
"100.1992","Land in orchards, total (acres)","BOONE COUNTY"," AR","1992",130,"05","009","05009"
"101.1992","Land in orchards, total (acres)","BRADLEY COUNTY"," AR","1992",-9999,"05","011","05011"
"102.1992","Land in orchards, total (acres)","CALHOUN COUNTY"," AR","1992",52,"05","013","05013"
"103.1992","Land in orchards, total (acres)","CARROLL COUNTY"," AR","1992",108,"05","015","05015"
"104.1992","Land in orchards, total (acres)","CHICOT COUNTY"," AR","1992",446,"05","017","05017"
"105.1992","Land in orchards, total (acres)","CLARK COUNTY"," AR","1992",-9999,"05","019","05019"
"106.1992","Land in orchards, total (acres)","CLAY COUNTY"," AR","1992",126,"05","021","05021"
"107.1992","Land in orchards, total (acres)","CLEBURNE COUNTY"," AR","1992",5,"05","023","05023"
"108.1992","Land in orchards, total (acres)","CLEVELAND COUNTY"," AR","1992",-9999,"05","025","05025"
"109.1992","Land in orchards, total (acres)","COLUMBIA COUNTY"," AR","1992",48,"05","027","05027"
"110.1992","Land in orchards, total (acres)","CONWAY COUNTY"," AR","1992",20,"05","029","05029"
"111.1992","Land in orchards, total (acres)","CRAIGHEAD COUNTY"," AR","1992",-9999,"05","031","05031"
"112.1992","Land in orchards, total (acres)","CRAWFORD COUNTY"," AR","1992",46,"05","033","05033"
