"","DataItemLong","County","State","year","Wheat","StateFips","CountyCode","StateCountyFips"
"3.1992","Wheat for grain, total (see text) (bushels), harvested (acres)","AUTAUGA COUNTY"," AL","1992",2028,"01","001","01001"
"4.1992","Wheat for grain, total (see text) (bushels), harvested (acres)","BALDWIN COUNTY"," AL","1992",9487,"01","003","01003"
"5.1992","Wheat for grain, total (see text) (bushels), harvested (acres)","BARBOUR COUNTY"," AL","1992",155,"01","005","01005"
"6.1992","Wheat for grain, total (see text) (bushels), harvested (acres)","BIBB COUNTY"," AL","1992",-9999,"01","007","01007"
"7.1992","Wheat for grain, total (see text) (bushels), harvested (acres)","BLOUNT COUNTY"," AL","1992",145,"01","009","01009"
"8.1992","Wheat for grain, total (see text) (bushels), harvested (acres)","BULLOCK COUNTY"," AL","1992",-9999,"01","011","01011"
"9.1992","Wheat for grain, total (see text) (bushels), harvested (acres)","BUTLER COUNTY"," AL","1992",-9999,"01","013","01013"
"10.1992","Wheat for grain, total (see text) (bushels), harvested (acres)","CALHOUN COUNTY"," AL","1992",690,"01","015","01015"
"11.1992","Wheat for grain, total (see text) (bushels), harvested (acres)","CHAMBERS COUNTY"," AL","1992",-9999,"01","017","01017"
"12.1992","Wheat for grain, total (see text) (bushels), harvested (acres)","CHEROKEE COUNTY"," AL","1992",1636,"01","019","01019"
"13.1992","Wheat for grain, total (see text) (bushels), harvested (acres)","CHILTON COUNTY"," AL","1992",-9999,"01","021","01021"
"14.1992","Wheat for grain, total (see text) (bushels), harvested (acres)","CHOCTAW COUNTY"," AL","1992",-9999,"01","023","01023"
"15.1992","Wheat for grain, total (see text) (bushels), harvested (acres)","CLARKE COUNTY"," AL","1992",-9999,"01","025","01025"
"16.1992","Wheat for grain, total (see text) (bushels), harvested (acres)","CLAY COUNTY"," AL","1992",-9999,"01","027","01027"
"17.1992","Wheat for grain, total (see text) (bushels), harvested (acres)","CLEBURNE COUNTY"," AL","1992",-9999,"01","029","01029"
"18.1992","Wheat for grain, total (see text) (bushels), harvested (acres)","COFFEE COUNTY"," AL","1992",1691,"01","031","01031"
"19.1992","Wheat for grain, total (see text) (bushels), harvested (acres)","COLBERT COUNTY"," AL","1992",2245,"01","033","01033"
"20.1992","Wheat for grain, total (see text) (bushels), harvested (acres)","CONECUH COUNTY"," AL","1992",585,"01","035","01035"
"21.1992","Wheat for grain, total (see text) (bushels), harvested (acres)","COOSA COUNTY"," AL","1992",-9999,"01","037","01037"
"22.1992","Wheat for grain, total (see text) (bushels), harvested (acres)","COVINGTON COUNTY"," AL","1992",674,"01","039","01039"
"23.1992","Wheat for grain, total (see text) (bushels), harvested (acres)","CRENSHAW COUNTY"," AL","1992",530,"01","041","01041"
"24.1992","Wheat for grain, total (see text) (bushels), harvested (acres)","CULLMAN COUNTY"," AL","1992",434,"01","043","01043"
"25.1992","Wheat for grain, total (see text) (bushels), harvested (acres)","DALE COUNTY"," AL","1992",1177,"01","045","01045"
"26.1992","Wheat for grain, total (see text) (bushels), harvested (acres)","DALLAS COUNTY"," AL","1992",4096,"01","047","01047"
