FIPS,Year,LCP_Area_ha,CountyArea_ha,CroplandArea_ha,Prop_LCP
01001,2002,5675,156531.25,18862.5,0.300861497680583
01001,2007,4437.5,156531.25,17712.5,0.250529287226535
01001,2012,2937.5,156531.25,15312.5,0.191836734693878
01001,2017,2206.25,156531.25,13918.75,0.158509205208801
01003,2002,6681.25,525031.25,31037.5,0.215263793797825
01003,2007,5831.25,525031.25,29743.75,0.196049590250053
01003,2012,4156.25,525031.25,26337.5,0.1578073089701
01003,2017,4000,525031.25,24606.25,0.16256032512065
01005,2002,9650,234350,28818.75,0.334851442203427
01005,2007,7775,234350,27050,0.287430683918669
01005,2012,4800,234350,22712.5,0.211337369290039
01005,2017,3437.5,234350,20431.25,0.168247170388498
01007,2002,0,162225,3862.5,0
01007,2007,0,162225,3681.25,0
01007,2012,0,162225,3250,0
01007,2017,0,162225,3043.75,0
01009,2002,262.5,168500,12843.75,0.0204379562043796
01009,2007,262.5,168500,12512.5,0.020979020979021
01009,2012,0,168500,12112.5,0
01009,2017,0,168500,11950,0
01011,2002,3350,161893.75,13537.5,0.247460757156048
01011,2007,1400,161893.75,11218.75,0.124791086350975
01011,2012,218.75,161893.75,8293.75,0.0263752825923135
01011,2017,0,161893.75,6856.25,0
01013,2002,506.25,201475,9793.75,0.0516911295469049
01013,2007,537.5,201475,9293.75,0.0578345662407532
01013,2012,0,201475,7718.75,0
01013,2017,0,201475,6900,0
01015,2002,968.75,158525,10043.75,0.0964530180460485
01015,2007,956.25,158525,9993.75,0.0956848030018762
01015,2012,700,158525,9887.5,0.0707964601769911
01015,2017,700,158525,9793.75,0.0714741544352265
01017,2002,0,156256.25,6612.5,0
01017,2007,0,156256.25,6650,0
01017,2012,0,156256.25,6250,0
01017,2017,0,156256.25,6093.75,0
01019,2002,4218.75,155406.25,16450,0.25645896656535
01019,2007,4681.25,155406.25,16625,0.281578947368421
01019,2012,4525,155406.25,16525,0.273827534039334
01019,2017,4543.75,155406.25,16468.75,0.275901328273245
01021,2002,687.5,181487.5,12700,0.0541338582677165
01021,2007,575,181487.5,11831.25,0.0486001056524036
01021,2012,0,181487.5,9362.5,0
01021,2017,0,181487.5,8256.25,0
01023,2002,0,238556.25,4743.75,0
01023,2007,0,238556.25,4593.75,0
01023,2012,0,238556.25,3806.25,0
01023,2017,0,238556.25,3325,0
01025,2002,0,324393.75,5468.75,0
01025,2007,0,324393.75,5062.5,0
01025,2012,0,324393.75,4150,0
01025,2017,0,324393.75,3668.75,0
01027,2002,0,157000,3850,0
01027,2007,0,157000,3900,0
01027,2012,0,157000,3587.5,0
01027,2017,0,157000,3368.75,0
01029,2002,0,145250,2850,0
01029,2007,0,145250,2943.75,0
01029,2012,0,145250,2706.25,0
01029,2017,0,145250,2487.5,0
01031,2002,14812.5,176212.5,33362.5,0.443986511802173
01031,2007,13518.75,176212.5,32268.75,0.418942475305055
01031,2012,10037.5,176212.5,29431.25,0.341049055001062
01031,2017,6975,176212.5,27006.25,0.258273547789863
01033,2002,18312.5,161581.25,24575,0.745167853509664
01033,2007,18143.75,161581.25,24250,0.74819587628866
01033,2012,17637.5,161581.25,23625,0.746560846560847
01033,2017,17593.75,161581.25,23206.25,0.758147050902235
01035,2002,231.25,220893.75,11200,0.0206473214285714
01035,2007,231.25,220893.75,10018.75,0.0230817217716781
01035,2012,206.25,220893.75,7775,0.0265273311897106
01035,2017,0,220893.75,6581.25,0
01037,2002,0,172562.5,2668.75,0
01037,2007,0,172562.5,2706.25,0
01037,2012,0,172562.5,2343.75,0
01037,2017,0,172562.5,2175,0
01039,2002,4562.5,270393.75,28993.75,0.157361500323346
01039,2007,3606.25,270393.75,27462.5,0.131315430131998
01039,2012,1243.75,270393.75,23343.75,0.0532797858099063
01039,2017,906.25,270393.75,20981.25,0.043193327375633
01041,2002,1850,158225,13162.5,0.140550807217474
01041,2007,1275,158225,12062.5,0.105699481865285
01041,2012,443.75,158225,10131.25,0.0438001233806292
01041,2017,206.25,158225,8725,0.0236389684813754
01043,2002,575,195587.5,19718.75,0.0291600633914422
01043,2007,893.75,195587.5,19625,0.0455414012738853
01043,2012,856.25,195587.5,19156.25,0.0446982055464927
01043,2017,837.5,195587.5,18800,0.0445478723404255
01045,2002,6875,145718.75,22075,0.311438278595697
01045,2007,5925,145718.75,21181.25,0.279728533490705
01045,2012,3656.25,145718.75,18793.75,0.194546059195211
01045,2017,2662.5,145718.75,17043.75,0.156215621562156
01047,2002,12225,257368.75,33931.25,0.360287345735863
01047,2007,10950,257368.75,32812.5,0.333714285714286
01047,2012,7056.25,257368.75,30100,0.234426910299003
01047,2017,6537.5,257368.75,28468.75,0.229637760702525
01049,2002,1218.75,201675,26793.75,0.0454863540937719
01049,2007,1406.25,201675,26343.75,0.0533807829181495
01049,2012,1143.75,201675,25437.5,0.044963144963145
01049,2017,925,201675,24950,0.0370741482965932
01051,2002,2525,170237.5,17631.25,0.143211627082595
01051,2007,2006.25,170237.5,16950,0.118362831858407
01051,2012,1631.25,170237.5,15156.25,0.107628865979381
01051,2017,1356.25,170237.5,14306.25,0.0948012232415902
01053,2002,4431.25,246887.5,18056.25,0.245413637937002
01053,2007,3150,246887.5,16643.75,0.189260232820128
01053,2012,1487.5,246887.5,13931.25,0.106774338268282
01053,2017,1037.5,246887.5,12256.25,0.0846506884242733
01055,2002,262.5,142131.25,11031.25,0.0237960339943343
01055,2007,262.5,142131.25,10868.75,0.0241518113858539
01055,2012,262.5,142131.25,10693.75,0.0245470485096435
01055,2017,262.5,142131.25,10525,0.0249406175771971
01057,2002,393.75,163075,7256.25,0.0542635658914729
01057,2007,243.75,163075,6681.25,0.0364826941066417
01057,2012,0,163075,5593.75,0
01057,2017,0,163075,5037.5,0
01059,2002,518.75,167462.5,8556.25,0.0606281957633309
01059,2007,443.75,167462.5,8150,0.0544478527607362
01059,2012,0,167462.5,7437.5,0
01059,2017,0,167462.5,6931.25,0
01061,2002,20525,149950,39618.75,0.51806278592838
01061,2007,19381.25,149950,38818.75,0.499275478988891
01061,2012,15037.5,149950,35950,0.418289290681502
01061,2017,13325,149950,34237.5,0.389193136181088
01063,2002,5081.25,170850,16318.75,0.311374952125622
01063,2007,4743.75,170850,16668.75,0.28458942632171
01063,2012,4118.75,170850,15187.5,0.27119341563786
01063,2017,3768.75,170850,13887.5,0.271377137713771
01065,2002,1506.25,170068.75,14712.5,0.102378929481733
01065,2007,1025,170068.75,14175,0.072310405643739
01065,2012,687.5,170068.75,12243.75,0.0561510974987238
01065,2017,587.5,170068.75,10956.25,0.0536223616657159
01067,2002,15312.5,147237.5,29806.25,0.513734535542042
01067,2007,14512.5,147237.5,28831.25,0.503360069369174
01067,2012,10912.5,147237.5,25712.5,0.424404472532815
01067,2017,9500,147237.5,23818.75,0.398845447389137
01069,2002,23737.5,150650,42925,0.552999417588818
01069,2007,22925,150650,42543.75,0.538857058909946
01069,2012,20300,150650,40625,0.499692307692308
01069,2017,18337.5,150650,38900,0.471401028277635
01071,2002,9593.75,291900,33587.5,0.285634536657983
01071,2007,9112.5,291900,33600,0.271205357142857
01071,2012,9318.75,291900,32962.5,0.282707622298066
01071,2017,9056.25,291900,32643.75,0.277426766226307
01073,2002,0,291081.25,5356.25,0
01073,2007,0,291081.25,5075,0
01073,2012,0,291081.25,4956.25,0
01073,2017,0,291081.25,4781.25,0
01075,2002,0,156756.25,6331.25,0
01075,2007,0,156756.25,5543.75,0
01075,2012,0,156756.25,4125,0
01075,2017,0,156756.25,3425,0
01077,2002,12381.25,186412.5,30031.25,0.412278876170656
01077,2007,12381.25,186412.5,29806.25,0.415391067309709
01077,2012,12343.75,186412.5,29293.75,0.421378280349904
01077,2017,12300,186412.5,29043.75,0.423499031633312
01079,2002,18481.25,185731.25,33556.25,0.550754330415347
01079,2007,18462.5,185731.25,33506.25,0.551016601380339
01079,2012,18431.25,185731.25,33431.25,0.551318003365115
01079,2017,18425,185731.25,33350,0.552473763118441
01081,2002,1587.5,159481.25,11893.75,0.133473462953232
01081,2007,1768.75,159481.25,11750,0.150531914893617
01081,2012,662.5,159481.25,11312.5,0.0585635359116022
01081,2017,531.25,159481.25,10906.25,0.0487106017191977
01083,2002,34537.5,157275,47381.25,0.728927582113178
01083,2007,34431.25,157275,47156.25,0.730152418820411
01083,2012,34262.5,157275,46862.5,0.731128300880235
01083,2017,33300,157275,46406.25,0.717575757575758
01085,2002,7250,187806.25,21968.75,0.330014224751067
01085,2007,6637.5,187806.25,21250,0.312352941176471
01085,2012,4800,187806.25,18631.25,0.257631667225763
01085,2017,4006.25,187806.25,17075,0.234626647144949
01087,2002,4212.5,158806.25,16950,0.248525073746313
01087,2007,3306.25,158806.25,16337.5,0.202371843917368
01087,2012,1056.25,158806.25,14156.25,0.0746136865342163
01087,2017,418.75,158806.25,12768.75,0.0327949094468918
01089,2002,44768.75,210437.5,56625,0.790618101545254
01089,2007,42393.75,210437.5,54525,0.777510316368638
01089,2012,40125,210437.5,52593.75,0.762923351158645
01089,2017,38675,210437.5,51162.5,0.755924749572441
01091,2002,2587.5,254493.75,20093.75,0.128771384136858
01091,2007,2581.25,254493.75,20000,0.1290625
01091,2012,1106.25,254493.75,17750,0.0623239436619718
01091,2017,881.25,254493.75,16631.25,0.0529875986471251
01093,2002,0,192593.75,7275,0
01093,2007,0,192593.75,6662.5,0
01093,2012,0,192593.75,5518.75,0
01093,2017,0,192593.75,4981.25,0
01095,2002,3687.5,161368.75,21143.75,0.174401418859001
01095,2007,4262.5,161368.75,21562.5,0.19768115942029
01095,2012,4200,161368.75,21081.25,0.199229172843166
01095,2017,4206.25,161368.75,20800,0.202223557692308
01097,2002,1625,425881.25,18100,0.0897790055248619
01097,2007,1100,425881.25,16850,0.0652818991097923
01097,2012,543.75,425881.25,14512.5,0.0374677002583979
01097,2017,543.75,425881.25,13412.5,0.0405405405405405
01099,2002,4437.5,267812.5,14675,0.302385008517888
01099,2007,4043.75,267812.5,14100,0.286790780141844
01099,2012,1981.25,267812.5,10981.25,0.180421172453045
01099,2017,437.5,267812.5,9462.5,0.0462351387054161
01101,2002,9206.25,207162.5,28437.5,0.323736263736264
01101,2007,8412.5,207162.5,27318.75,0.307938686799359
01101,2012,4993.75,207162.5,23118.75,0.216004325493377
01101,2017,4406.25,207162.5,20843.75,0.211394302848576
01103,2002,3593.75,155206.25,20300,0.177032019704433
01103,2007,3506.25,155206.25,20000,0.1753125
01103,2012,3275,155206.25,19456.25,0.16832637327337
01103,2017,2518.75,155206.25,18643.75,0.135098893731143
