year,FIPS,ed_wat,ed_ldev,ed_hdev,ed_bare,ed_df,ed_ef,ed_mf,ed_shrub,ed_grass,ed_pas,ed_crops,ed_wet,el_wat,el_ldev,el_hdev,el_bare,el_df,el_ef,el_mf,el_shrub,el_grass,el_pas,el_crops,el_wet,pland_wat,pland_ldev,pland_hdev,pland_bare,pland_df,pland_ef,pland_mf,pland_shrub,pland_grass,pland_pas,pland_crops,pland_wet,mna_wat,mna_ldev,mna_hdev,mna_bare,mna_df,mna_ef,mna_mf,mna_shrub,mna_grass,mna_pas,mna_crops,mna_wet,msidi,tec_forest_fc,tec_crops_fc,tel_forestcrop_fc,tec_shrubgrass_sgc,tec_crops_sgc,tel_shrubgrasscrop_sgc,tec_deciforest_dfLID,tec_LID_dfLID,tel_deciforestLID_dfLID,tec_mixforest_mfLID,tec_LID_mfLID,tel_mixforestLID_mfLID,tec_natural_nc,tec_crops_nc,tel_naturalcrops_nc
2001,1027,1.291335494,27.13486562,0.39068824,0.542070376,95.84228581,76.96481875,34.41649928,12.49361357,16.64477169,25.55299875,0.027524025,3.882416602,202680,4258920,61320,85080,15042810,12079920,5401800,1960920,2612460,4010640,4320,609360,0.301044021,4.102398547,0.067147152,0.081654607,45.01726272,24.74943103,4.620022237,3.165205504,6.170427614,10.72049296,0.004759363,1.000154249,0.954545455,23.16140288,0.540461538,0.508571429,12.02455752,3.769911685,0.713921433,1.833853821,2.838429074,5.657774042,2.49,2.364126506,0.715861363,9412110,4320,0,4216020,4320,30,15042810,4258920,1453740,5401800,4258920,202680,6483690,4320,30
2001,1091,3.554721637,17.51181037,0.810972075,0.725867157,30.469211,62.93968419,77.26772192,19.4227812,9.83704412,25.44684208,1.732038324,31.02086061,904710,4456920,206400,184740,7754700,16018740,19665360,4943280,2503620,6476460,440820,7895100,1.114261486,3.140583659,0.175749908,0.176457151,6.205952016,22.3974692,17.28038864,5.47034848,3.772081013,17.24955285,0.991307275,22.02584832,2.427996575,25.86757282,0.918480493,0.868665377,1.580263132,4.410341199,3.036049289,1.772669977,2.463510393,11.59887186,8.978540925,13.30276459,0.832223977,13453260,440820,31590,6641100,440820,24390,7754700,4456920,208620,19665360,4456920,882090,8551620,440820,149370
2001,1049,2.835807153,44.28524019,2.980096543,0.478683771,73.3631224,22.33421261,57.76410053,6.523962972,4.069555816,76.49762346,7.484603058,0.995745546,571920,8931360,601020,96540,14795730,4504320,11649750,1315740,820740,15427890,1509480,200820,0.459777399,7.853388889,0.654791204,0.084610108,29.73607983,5.306517522,10.161201,1.696263098,1.351173452,39.2443639,3.311218381,0.140615217,0.444520614,23.92531722,0.968870139,0.639101124,7.000249796,1.753864307,1.580145732,1.665525803,1.671791411,10.78447472,5.978513876,0.418892171,0.736622638,12774360,1509480,250680,2030880,1509480,13440,14795730,8931360,1664550,11649750,8931360,697920,12076920,1509480,266160
2001,1019,7.474857928,29.45636133,1.288861809,1.765331393,65.65897597,49.82755971,63.87646233,10.35529804,8.758700203,44.67365695,12.46929397,5.211241284,1161540,4577310,200280,274320,10202940,7742850,9925950,1609140,1361040,6941970,1937640,809790,7.727437003,5.066813855,0.260282129,0.249393602,24.49854858,16.64618311,10.48310309,3.23638297,3.839537863,18.27204869,8.135003834,1.585265275,13.96266279,13.71684669,0.767476281,0.643754153,5.232134415,3.415235015,1.385086302,2.207686567,2.87813314,5.320118044,13.66618378,1.767137733,0.849953908,8932260,1937640,491460,2787180,1937640,56970,10202940,4577310,751020,9925950,4577310,454830,7617330,1937640,609870
2001,1065,10.04795579,21.51676512,0.426979456,0.167615902,42.73340955,45.64974981,75.64576232,8.83529885,5.211619487,33.80371649,1.443614011,25.94623588,1708470,3658530,72600,28500,7266030,7761900,12862170,1502280,886140,5747700,245460,4411680,4.212593424,3.592555737,0.07796786,0.019690458,12.44839195,12.14948868,16.80120048,2.681766213,1.734665792,24.70178484,1.207363808,20.37253075,5.518289676,28.95014218,0.61375,0.195789474,3.374175036,2.593267637,3.195095627,1.976527958,1.078026316,13.4747642,11.59830508,12.9108237,0.834761141,7850220,245460,7980,2213640,245460,3120,7266030,3658530,403290,12862170,3658530,775350,6685020,245460,24420
2001,1105,3.840352698,19.96791385,0.400036739,0.235541632,46.89326668,67.85423173,87.32097956,15.57359028,6.822706597,29.49006837,4.143420532,25.78988854,720000,3743640,75000,44160,8791680,12721500,16371180,2919780,1279140,5528880,776820,4835160,1.414401899,3.171891306,0.064949965,0.034371157,11.98031627,22.55434339,19.12802872,4.396579782,2.916123817,18.43350093,2.593342173,13.31215059,3.708755245,18.58359375,0.499057377,0.383571429,2.804123596,4.081218994,2.995969925,1.916046025,2.600965747,11.20974376,9.983716632,8.606203448,0.841825888,9956280,776820,61080,3797700,776820,12030,8791680,3743640,377070,16371180,3743640,826650,7056780,776820,193080
2001,1033,3.941697505,24.88073476,3.501419293,0.85491997,62.81135286,19.9054052,30.29894333,18.02001129,6.177642041,40.5999673,11.59102055,11.59287827,636540,4017960,565440,138060,10143330,3214500,4892940,2910030,997620,6556440,1871820,1872120,4.849915288,6.273240002,0.899282179,0.310145348,34.86669045,5.24427081,4.807113558,5.31337777,3.481931874,18.42174194,11.46523474,4.067056044,11.95735878,13.13953307,1.141698113,1.287532134,11.64786926,2.023150979,1.050324719,2.340564648,4.243720755,7.142629052,29.76699357,4.381480987,0.81422141,8447250,1871820,348090,3592710,1871820,120690,10143330,4017960,999120,4892940,4017960,173730,6704640,1871820,604920
2001,1063,10.90882349,18.64116495,0.348574058,0.131636729,33.55227154,46.54955561,70.82442153,8.188506604,4.036157626,33.81694912,2.054586066,41.09575817,1864590,3186240,59580,22500,5734920,7956480,12105660,1399620,689880,5780160,351180,7024290,3.503643178,3.052392471,0.06834579,0.012373853,8.125408732,13.08058379,16.23049275,2.846249354,1.661887376,18.13032668,0.751382449,32.53691357,3.708111455,22.68391304,0.675260116,0.155514706,2.256067251,2.838748095,3.23370556,2.670115258,1.808134946,7.661124845,4.142903226,19.19037267,0.807906266,9006240,351180,28380,1903740,351180,4200,5734920,3186240,215430,12105660,3186240,627750,7494750,351180,94110
2001,1013,2.032263372,22.14017525,0.975629368,0.279942493,52.30293649,77.60750425,77.68672201,30.68080376,10.72477558,25.8101022,1.463444052,20.30163804,409440,4460580,196560,56400,10537470,15635580,15651540,6181260,2160720,5199960,294840,4090170,0.378369082,3.737410964,0.159567221,0.046815915,14.2066199,29.76245837,16.32338719,10.39027408,4.073252612,10.2842682,0.886911423,9.75066505,0.742259007,24.28954839,0.573048128,0.4716,2.847400517,4.221812997,2.309298504,2.94130673,2.724561753,4.680304947,7.9416,6.944029692,0.830559856,13811250,294840,67560,7328940,294840,21090,10537470,4460580,531510,15651540,4460580,659730,7851960,294840,108000
2001,1081,4.809994497,38.74326998,6.125059857,1.562956685,76.33698625,69.54649429,71.10474894,17.87638762,16.74150427,34.01527898,1.675053218,14.1867942,767220,6179760,976980,249300,12176160,11093040,11341590,2851380,2670360,5425620,267180,2262870,1.623725795,9.892218056,1.300639514,0.328728724,24.67197658,21.87264781,12.5833812,4.01882996,5.729731499,12.71806631,0.862616672,4.39743788,2.119418985,14.12589078,0.922449978,0.830966719,4.40585871,3.25387521,1.563906031,1.255926724,2.21074746,4.02579877,4.28635514,3.95386133,0.842143558,11803950,267180,59670,5010720,267180,22560,12176160,6179760,1070610,11341590,6179760,775680,8222520,267180,100710
