FIPS,Year,LCP_Area_ha,CountyArea_ha,CroplandArea_ha,Prop_LCP
01001,2002,232.29,156530.97,4618.17,0.0502991444663146
01001,2007,232.29,156530.97,4731.57,0.0490936412226808
01001,2012,232.29,156530.97,4911.57,0.047294449636267
01001,2017,231.93,156530.97,5023.62,0.046167902827045
01003,2002,7210.89,525060.63,38573.37,0.186939590707268
01003,2007,7075.26,525060.63,39056.58,0.181154110267719
01003,2012,6784.29,525060.63,39056.76,0.173703348664866
01003,2017,6441.21,525060.63,39539.16,0.162907102730559
01005,2002,335.52,234269.55,10269.81,0.0326705167865812
01005,2007,335.52,234269.55,10538.64,0.03183712509394
01005,2012,333.63,234269.55,10566.72,0.0315736576723903
01005,2017,329.13,234269.55,10941.3,0.0300814345644485
01007,2002,0,162176.31,87.3,0
01007,2007,0,162176.31,87.3,0
01007,2012,0,162176.31,115.65,0
01007,2017,0,162176.31,115.47,0
01009,2002,0,168509.52,1781.19,0
01009,2007,0,168509.52,1784.7,0
01009,2012,0,168509.52,1813.41,0
01009,2017,0,168509.52,1999.98,0
01011,2002,259.83,161910.63,2693.07,0.096480967817398
01011,2007,262.44,161910.63,2829.69,0.0927451416939665
01011,2012,262.8,161910.63,2997.54,0.0876718909505795
01011,2017,262.71,161910.63,3338.73,0.0786856080006469
01013,2002,337.05,201469.95,1786.86,0.188626976931601
01013,2007,334.89,201469.95,1877.04,0.178413885692367
01013,2012,334.08,201469.95,1930.32,0.173069750093249
01013,2017,336.87,201469.95,1996.38,0.168740420160491
01015,2002,0,158582.97,2142,0
01015,2007,0,158582.97,2176.74,0
01015,2012,0,158582.97,2227.5,0
01015,2017,0,158582.97,2392.29,0
01017,2002,0,156204,49.59,0
01017,2007,0,156204,53.28,0
01017,2012,0,156204,53.28,0
01017,2017,0,156204,77.04,0
01019,2002,1660.59,155392.92,12641.22,0.131363112104686
01019,2007,1605.33,155392.92,12607.65,0.127329835457044
01019,2012,1616.58,155392.92,12734.64,0.12694351783796
01019,2017,1856.97,155392.92,13225.95,0.140403524888571
01021,2002,0,181508.58,532.17,0
01021,2007,0,181508.58,561.87,0
01021,2012,0,181508.58,604.71,0
01021,2017,0,181508.58,637.02,0
01023,2002,0,238501.89,316.44,0
01023,2007,0,238501.89,321.84,0
01023,2012,0,238501.89,329.22,0
01023,2017,0,238501.89,329.49,0
01025,2002,0,324417.15,438.75,0
01025,2007,0,324417.15,489.96,0
01025,2012,0,324417.15,511.2,0
01025,2017,0,324417.15,513.54,0
01027,2002,0,156953.79,7.47,0
01027,2007,0,156953.79,47.43,0
01027,2012,0,156953.79,47.43,0
01027,2017,0,156953.79,54,0
01029,2002,0,145301.58,101.97,0
01029,2007,0,145301.58,108.09,0
01029,2012,0,145301.58,112.41,0
01029,2017,0,145301.58,136.89,0
01031,2002,1037.97,176247,20523.69,0.0505742388430151
01031,2007,1020.06,176247,20833.56,0.0489623472896615
01031,2012,999.27,176247,20582.37,0.0485498025737561
01031,2017,997.38,176247,20805.39,0.0479385390035947
01033,2002,9205.2,161488.8,18515.07,0.497173383627499
01033,2007,9156.87,161488.8,18597.6,0.492368370112273
01033,2012,9522.63,161488.8,18743.67,0.508045116031172
01033,2017,9960.66,161488.8,19258.47,0.517209311020034
01035,2002,0,220863.33,3779.82,0
01035,2007,0,220863.33,3982.77,0
01035,2012,0,220863.33,4124.88,0
01035,2017,0,220863.33,4288.5,0
01037,2002,0,172582.47,36.18,0
01037,2007,0,172582.47,36.18,0
01037,2012,0,172582.47,53.91,0
01037,2017,0,172582.47,63.63,0
01039,2002,0,270336.51,12332.79,0
01039,2007,0,270336.51,12645.9,0
01039,2012,0,270336.51,12839.58,0
01039,2017,0,270336.51,13378.23,0
01041,2002,0,158234.67,2396.16,0
01041,2007,0,158234.67,2494.8,0
01041,2012,0,158234.67,2539.53,0
01041,2017,0,158234.67,2665.44,0
01043,2002,0,195552.63,2836.26,0
01043,2007,0,195552.63,2843.55,0
01043,2012,0,195552.63,2933.91,0
01043,2017,0,195552.63,3331.08,0
01045,2002,1454.4,145732.32,17094.69,0.0850790508631628
01045,2007,1671.48,145732.32,17363.43,0.0962643901579354
01045,2012,1460.16,145732.32,17357.13,0.0841245067588939
01045,2017,1456.2,145732.32,17454.6,0.0834278642879241
01047,2002,286.92,257405.4,9712.71,0.0295406740240365
01047,2007,494.55,257405.4,10128.96,0.0488253483082172
01047,2012,612.18,257405.4,10808.82,0.0566370797182301
01047,2017,880.29,257405.4,11401.92,0.0772054180348573
01049,2002,0,201678.03,6678,0
01049,2007,0,201678.03,6778.26,0
01049,2012,0,201678.03,6853.32,0
01049,2017,0,201678.03,7489.53,0
01051,2002,2121.39,170172.63,6792.12,0.312331054221657
01051,2007,2117.88,170172.63,6798.96,0.311500582442021
01051,2012,2116.71,170172.63,6910.38,0.306308770284702
01051,2017,2118.96,170172.63,7080.75,0.299256434699714
01053,2002,4124.34,246860.55,21125.61,0.195229392192699
01053,2007,4142.34,246860.55,21385.98,0.193694186565217
01053,2012,4492.71,246860.55,21720.6,0.206840971243888
01053,2017,4438.26,246860.55,22355.1,0.198534562583035
01055,2002,0,142096.95,3249.9,0
01055,2007,0,142096.95,3240,0
01055,2012,0,142096.95,3285.81,0
01055,2017,0,142096.95,3598.65,0
01057,2002,0,163000.44,1400.85,0
01057,2007,0,163000.44,1425.87,0
01057,2012,0,163000.44,1447.29,0
01057,2017,0,163000.44,1474.92,0
01059,2002,1101.42,167447.79,2797.74,0.393682043363572
01059,2007,1092.96,167447.79,2813.76,0.388433981576254
01059,2012,1098.63,167447.79,2905.02,0.378183282731272
01059,2017,1101.6,167447.79,3354.3,0.328414274215186
01061,2002,2075.49,149947.38,41229.72,0.0503396578972644
01061,2007,1853.01,149947.38,40216.14,0.0460762768381053
01061,2012,2037.15,149947.38,39349.44,0.0517707494693698
01061,2017,2043.81,149947.38,39400.92,0.0518721390261953
01063,2002,0,170924.94,1284.3,0
01063,2007,0,170924.94,1311.93,0
01063,2012,0,170924.94,1341,0
01063,2017,0,170924.94,1546.11,0
01065,2002,556.92,170031.6,2052.9,0.271284524331434
01065,2007,557.19,170031.6,2059.38,0.270562013809982
01065,2012,567.99,170031.6,2219.13,0.25595165673034
