FIPS,Year,countyarea,harvcrop,insecticides,cropfail,cropnotharv,totalplanted,totalag,largefarms,soy_smallgrains,corn,fruitveg,insect_planted,insect_ag,harv_county,largefarm_planted,largefarm_ag,soysmallgrain_planted,corn_planted,fruitveg_planted,planted_county,insect_harv,largefarm_harv,soysmallgrain_harv,corn_harv,fruitveg_harv
1001,1992,381446,31371,10897,187,8587,31558,39958,16692,2230,2281,1991,0.3453007161417073,0.27271134691425997,0.08224230952742984,0.5289308574687877,0.41773862555683466,0.07066354014829837,0.07227961214272134,0.063090183154826035,0.0827325492992455,0.3473590258519014,0.5320837716362246,0.07108475981001562,0.07271046507921329,0.06346625864652067
1001,1987,381446,27458,16369,1117,15668,28575,43126,12721,2339,1381,1530,0.572843394575678,0.37956221305013216,0.07198397676211049,0.4451793525809274,0.29497287019431434,0.08185476815398075,0.04832895888013998,0.05354330708661417,0.07491230737771533,0.5961468424502877,0.46328938742807196,0.08518464564061476,0.05029499599388156,0.055721465510962194
1003,1992,1021780,91539,54266,846,9940,92385,101479,46712,57685,13379,10705,0.5873897277696596,0.5347510322332699,0.08958777819100001,0.505623207230611,0.46031198573103793,0.6243979000920062,0.14481788169075066,0.11587378903501651,0.09041574507232476,0.592818361572663,0.5102961579217601,0.6301685620336687,0.146156283114301,0.11694469024131791
1003,1987,1021780,101310,69426,686,17641,101996,118951,51593,75619,13757,15604,0.6806737519118397,0.5836520920378979,0.09915050206502378,0.5058335621004745,0.4337332178796311,0.7413918192870309,0.13487783834660183,0.1529863916232009,0.09982187946524693,0.6852827953805153,0.5092587108873754,0.7464120027637943,0.13579113611686902,0.1540223077682361
1005,1992,566396,39330,16369,525,15608,39855,54938,18310,208,4476,1346,0.41071383766152303,0.2979540573009574,0.06943904971080304,0.45941538075523775,0.33328479376751974,0.005218918579851964,0.11230711328566052,0.033772425040772804,0.07036596303646213,0.41619628782100176,0.4655479277904907,0.005288583778286295,0.11380625476735316,0.0342232392575642
1005,1987,566396,35680,16857,2034,20433,37714,56113,0,1192,4700,1156,0.4469692952219335,0.300411669310142,0.06299479516098277,0,0,0.03160630004772763,0.12462215622845628,0.030651747361722437,0.06658592221696481,0.47244955156950674,0,0.03340807174887892,0.13172645739910313,0.03239910313901345
1007,1992,398311,6013,0,59,587,6072,6600,0,0,210,106,0,0,0.015096243889824786,0,0,0,0.03458498023715415,0.01745718050065876,0.015244369349578596,0,0,0,0.034924330616996506,0.017628471644769664
1007,1987,398311,5374,749,190,2856,5564,8230,0,0,178,0,0.1346153846153846,0.09100850546780073,0.013491969842660635,0,0,0,0.03199137311286844,0,0.01396898403508816,0.13937476739858579,0,0,0.03312244138444362,0
1009,1992,413229,27246,7311,1544,8076,28790,35322,3917,1247,3650,3017,0.2539423410906565,0.20698148462714455,0.06593438505041999,0.13605418548106982,0.11089406035898307,0.04331365057311567,0.1267801319902744,0.10479333101771449,0.06967081206788488,0.26833296630698084,0.14376422227115906,0.045768186155765986,0.13396461865961976,0.11073185054686926
1009,1987,413229,27494,7400,629,10029,28123,37523,3491,6805,2406,3557,0.2631298225651602,0.19721237640913572,0.06653453654027186,0.12413327169932084,0.0930362710870666,0.2419727625075561,0.0855527504178075,0.12648010525192901,0.06805669495606552,0.269149632647123,0.12697315777987925,0.24750854731941516,0.08751000218229432,0.12937368153051576
1011,1992,400041,13300,1935,1027,16699,14327,29999,2187,493,925,1408,0.1350596775319327,0.06450215007166905,0.03324659222429701,0.15264884483841698,0.0729024300810027,0.03441055350038389,0.0645634117400712,0.0982759824108327,0.03581382908251904,0.14548872180451128,0.1644360902255639,0.03706766917293233,0.06954887218045112,0.10586466165413534
1011,1987,400041,19307,2421,871,20513,20178,39820,0,4775,968,1367,0.11998215878679751,0.06079859367152185,0.04826255308830845,0,0,0.2366438695609079,0.047973039944494006,0.06774705124392903,0.05043982991743346,0.1253949344797224,0,0.24731962500647434,0.05013725591754286,0.07080333557776972
1013,1992,497238,16992,5504,135,3738,17127,20730,5338,1083,2860,631,0.3213639283003445,0.2655089242643512,0.034172770383599,0.3116716295907047,0.2575012059816691,0.06323349097915572,0.16698779704560052,0.03684241256495592,0.034444270148299205,0.3239171374764595,0.3141478342749529,0.0637358757062147,0.1683145009416196,0.03713512241054614
1013,1987,497238,17796,3709,665,9812,18461,27608,0,4021,2682,584,0.20091002654244083,0.13434511735728774,0.035789702315591324,0,0,0.21781051947348465,0.14527923731108824,0.03163425599913331,0.03712709004541085,0.20841762193751404,0,0.22594965160710273,0.150708024275118,0.03281636322769162
1015,1992,389446,16507,840,152,2512,16659,19019,3141,4944,2341,228,0.05042319466954799,0.04416635995583364,0.042385850669926,0.18854673149648837,0.16515063883484937,0.29677651719791104,0.1405246413350141,0.01368629569602017,0.04277614868300098,0.050887502271763495,0.19028291028048708,0.29950929908523655,0.14181862240261708,0.013812322045192948
1015,1987,389446,19161,1486,605,3555,19766,22716,4300,9320,1191,223,0.07517960133562683,0.06541644655749251,0.04920065939822209,0.21754527977334817,0.1892938897693256,0.47151674592735,0.060254983304664576,0.011281999392896893,0.050754148200263964,0.07755336360315224,0.22441417462554147,0.48640467616512706,0.06215750743698137,0.011638223474766453
1017,1987,382340,8284,800,74,2922,8358,11206,0,0,246,251,0.0957166786312515,0.07139032661074425,0.021666579484228697,0,0,0,0.029432878679109833,0.030031107920555158,0.02186012449652142,0.09657170449058426,0,0,0.02969579913085466,0.030299372283920812
1019,1992,354030,46444,23652,267,6725,46711,53169,25227,16396,3054,132,0.5063475412643703,0.4448456807538227,0.1311866226026043,0.5400655091948363,0.47446820515714044,0.3510093982145533,0.06538074543469419,0.002825886836077155,0.131940795977742,0.5092584618034622,0.5431702695719576,0.35302730169666696,0.06575661011110154,0.002842132460597709
1019,1987,354030,49402,15045,1108,9980,50510,59382,26001,29253,1893,86,0.29786180954266483,0.25335960392037993,0.1395418467361523,0.5147693526034448,0.43785995756289786,0.579152643040982,0.03747772718273609,0.0017026331419520886,0.14267152501200464,0.3045423262216105,0.5263147241002388,0.5921420185417594,0.03831828670904012,0.001740820209708109
1021,1992,444202,18785,4822,1297,5027,20082,23812,3375,0,951,5091,0.24011552634199781,0.2025029396942718,0.04228931882341817,0.16806095010457126,0.14173525953300856,0,0.04735584105168808,0.2535106065132955,0.045209161597651516,0.2566941708810221,0.17966462603140804,0,0.05062549906840564,0.2710141070002662
1021,1987,444202,19629,3896,893,7011,20522,26640,0,1381,1161,3946,0.18984504434265667,0.14624624624624624,0.0441893552933125,0,0,0.06729363609784621,0.05657343338855862,0.19228145404931293,0.046199701937406856,0.19848183809669367,0,0.07035508686127669,0.059147180192572216,0.2010290896123083
1023,1987,584688,7828,2396,237,3182,8065,11010,0,0,800,42,0.2970861748295102,0.2176203451407811,0.013388337027611307,0,0,0,0.09919404835709858,0.005207687538747675,0.01379368141641354,0.30608073582013284,0,0,0.10219724067450178,0.005365355135411344
1025,1987,792626,8062,686,250,5096,8312,13158,0,0,1379,131,0.08253128007699712,0.052135582915336674,0.010171253529407311,0,0,0,0.16590471607314725,0.01576034648700674,0.01048666079588608,0.08509054825105433,0,0,0.17104936740262963,0.01624906970974944
1027,1992,387280,5346,77,47,2274,5393,7620,0,0,205,77,0.014277767476358243,0.01010498687664042,0.01380396612270192,0,0,0,0.03801223808640831,0.014277767476358243,0.013925325346002892,0.01440329218106996,0,0,0.03834642723531612,0.01440329218106996
1027,1987,387280,6723,50,609,2172,7332,8895,0,0,153,45,0.006819421713038734,0.005621135469364812,0.017359533154306963,0,0,0,0.020867430441898527,0.0061374795417348605,0.018932038834951457,0.007437156031533542,0,0,0.022757697456492636,0.006693440428380187
1029,1992,358530,6595,140,45,858,6640,7453,2012,0,1067,14,0.02108433734939759,0.018784382128002146,0.018394555546258334,0.3030120481927711,0.2699584060110023,0,0.16069277108433735,0.002108433734939759,0.01852006805567177,0.02122820318423048,0.3050796057619409,0,0.16178923426838515,0.0021228203184230476
1029,1987,358530,6046,224,190,1252,6236,7298,0,0,671,48,0.0359204618345093,0.03069334064127158,0.016863302931414387,0,0,0,0.10760102629890955,0.007697241821680564,0.017393244637826683,0.037049288785974195,0,0,0.11098246774727093,0.007939133311280185
1031,1992,434679,52177,11893,153,22244,52330,74421,15922,3540,9821,543,0.22726925281865087,0.15980704371078056,0.12003570450838434,0.30426141792470857,0.21394498864567796,0.06764762086757119,0.1876743741639595,0.010376457099178291,0.12038768838614242,0.22793568047223872,0.30515361174463845,0.06784598577917474,0.18822469670544492,0.01040688425934799
1031,1987,434679,46577,15275,1037,27340,47614,73917,0,6597,7444,499,0.32080900575460997,0.2066507028153199,0.10715263447279487,0,0,0.13855168647876676,0.15634057210064267,0.010480110891754525,0.10953830297759956,0.32795156407669024,0,0.1416364299976383,0.159821371062971,0.010713442256907915
1033,1992,380528,53595,29131,216,13738,53811,67333,39935,6559,4420,160,0.5413577149653417,0.4326407556473052,0.14084377496531136,0.7421345078143874,0.5930969955296809,0.12188957648064522,0.0821393395402427,0.002973369757112858,0.14141140730774082,0.5435395092825823,0.7451254781229593,0.1223808191062599,0.08247037969959885,0.0029853531112976955
1033,1987,380528,56994,36311,642,16317,57636,73311,36342,13573,2239,57,0.6300055520855021,0.4953008416199479,0.1497761005760417,0.6305434103685197,0.4957236976715636,0.23549517662572003,0.03884724824762301,9.88965230064543e-4,0.15146323003826262,0.6371021511036249,0.6376460680071586,0.2381478752149349,0.03928483700038601,0.0010001052742393936
1035,1992,544558,15403,2447,51,4731,15454,20134,3724,1304,3854,248,0.15834088261938656,0.12153571073805503,0.02828532497915741,0.2409732108192054,0.18496076288864607,0.08437944868642423,0.2493852724213796,0.01604762521030154,0.02837897891500997,0.1588651561384146,0.2417710835551516,0.08465883269492956,0.25021099785756024,0.01610075959228722
