FIPS,Year,ERSCode,ASDCode,insect_planted,pland_crops,SDI,largefarm_planted,mna_crops,natural_crops_ed,msidi,soysmallgrain_planted,corn_planted,fruitveg_planted,forest_crops_ed,shrubgrass_crops_ed
1001,2017,6,1040,0.2827646880928161,-0.6956059567067362,-0.11052732716461,0.008589780335326968,-0.5568859288349146,-0.7135840680431519,1.4237738326085285,-0.8412569865780261,-0.7949289019763285,0.07023557557776607,-0.5236787231720584,-0.4671786903067328
1001,2012,6,1040,0.368950261429146,-0.6983332437548329,0.07346333903061503,0.24972557555994318,-0.5600853941089673,-0.7214923631630549,1.439879990997413,-0.46673317647969564,-0.7545339347000362,0.10321082517017761,-0.535055822302922,-0.4619726216985717
1001,2007,6,1040,0.2692074629245734,-0.7027144277191825,-0.42929211111834814,-0.8894534844098121,-0.568916991039869,-0.7346058355793911,1.4423390538202836,-0.8299337308528388,-0.6198249489838513,0.09040064493313699,-0.540128414272097,-0.4663543961104406
1001,2002,6,1040,0.35377072993584313,-0.705474573603769,NA,0.06167760084588478,-0.5750325958388676,-0.7471384727609323,1.4088921950268372,-0.9188362724733236,-0.6240845544936955,0.5354941304176478,-0.5510707198056027,-0.4735561243517301
1001,1997,6,1040,0.21029550270779374,NA,NA,0.007583993876816396,NA,NA,NA,-0.6521705919989407,-0.6722063999136204,0.269973248904589,NA,NA
1003,2017,6,1050,0.7426725375705945,-0.5309759961750757,1.446026606370676,1.0691704130432054,-0.4442458093436712,-0.5038607637177231,1.1341164398537202,-0.2427087158302642,-0.566532173929716,0.036378687460725055,-0.3441672272533421,-0.32869589936404203
1003,2012,6,1050,0.7725289452735316,-0.5344763915842011,1.229692953571584,1.0076015927316044,-0.43606840930211255,-0.5275500968003054,1.1267011372230626,0.49818937625807785,-0.6807127530376079,0.2018333377001827,-0.3682687700806577,-0.34018084386359376
1003,2007,6,1050,0.6173462343207333,-0.5344776977112169,1.4709320290258376,0.427941834057257,-0.42373398596024586,-0.5369974295634932,1.151084018091267,-0.04929334132414603,-0.6682377278575694,0.36862088317272446,-0.3805972714706843,-0.3418678978578782
1003,2002,6,1050,0.5099060354578951,-0.537983970653814,NA,0.3229634512267386,-0.4268108645444737,-0.5529267519148628,1.0916971678867478,-0.06648234733907588,-0.6760045391757852,0.5840148826306508,-0.3824668683847763,-0.3656164271620362
1003,1997,6,1050,0.6724472590385068,NA,NA,0.21266949828682366,NA,NA,NA,1.0957616105286623,-0.421091482905902,0.7156286419932444,NA,NA
1005,2017,6,1060,0.30916427217704956,-0.6399409289375012,0.5685184625046737,-0.09748967569775312,-0.6267474960994776,-0.2433363343112797,1.1916219138480313,-0.7761152001509419,-0.7435518477544633,-0.15893694120438145,-0.0624214993194068,-0.1476213963414768
1005,2012,6,1060,0.2628462851792697,-0.6460327621456365,0.6310562992449101,-0.3824900810223408,-0.6260387388922655,-0.2780289933574533,1.192790820678115,-1.0217518762365632,-0.7334194132779265,-0.10356015226163186,-0.0975158577121988,-0.16277451894601422
1005,2007,6,1060,0.34950908764644056,-0.6464894300907427,0.3656931033793803,-0.3851571974366247,-0.6261434260126479,-0.28877291371950364,1.1858709959374183,-0.9051345142452168,-0.46945924690631463,-0.05816448608133055,-0.09371924196374143,-0.1834643594252864
1005,2002,6,1060,0.30706744147978393,-0.6508614401529896,NA,-0.009217585952769811,-0.6309516299640037,-0.30797992218797343,1.2354158755503275,-0.9374319815359581,-0.707305790255475,-0.13524633220596996,-0.11272665798646717,-0.19896716947454393
1005,1997,6,1060,0.2760988071071779,NA,NA,-0.15976530632804822,NA,NA,NA,-0.9208280304931992,-0.5067212618752474,-0.13994890520961717,NA,NA
1007,2017,5,1030,0,-0.8151677249834192,-0.6993046274823199,-0.5311899475811431,-0.7125328931095939,-0.8917510518130565,1.0824329149909533,-0.5553666249970202,-0.6277767615851192,-0.31553655059258834,-0.6406762545099266,-0.5236608577321503
1007,2012,5,1030,0,-0.8151634963200539,-0.9669850085158396,-1.2967727434955487,-0.7137692678548591,-0.8915590416561064,1.1111139058546615,-1.0378640434215523,-0.9283987993040852,-0.312755606557246,-0.6406416522884572,-0.5234951317048503
1007,2007,5,1030,0.08114285714285714,-0.8158295126669485,-0.397202411997118,-1.2967727434955487,-0.7204080726575818,-0.8933938053780731,1.0531650555512255,-1.0378640434215523,-0.9283987993040852,-0.2423507133656938,-0.641299094496374,-0.5253181180051503
1007,2002,5,1030,0.03341404358353511,-0.8158295126669485,NA,-1.2967727434955487,-0.7229890909502477,-0.8928391093691064,0.9969724220346631,-1.0378640434215523,-0.813601212666741,-0.15582414734232652,-0.641195287831966,-0.5248209399232503
1007,1997,5,1030,0,NA,NA,-1.2967727434955487,NA,NA,NA,-1.0378640434215523,-0.8691746362073286,-0.24118420530123436,NA,NA
1009,2017,5,1020,0.2057438195381521,-0.7726614703141739,0.0927047948293214,-1.0712444063538793,-0.6561965947480997,-0.8436093943692256,0.7579277768261381,-0.769368965094566,-0.8653692045568331,-0.10905713407879675,-0.5822632758939511,-0.498829057272848
1009,2012,5,1020,0.26854787571337985,-0.7768797622719272,0.051364446404319586,-1.2967727434955487,-0.6635768109323317,-0.8527946224456928,0.7940388037349625,-0.7177060827887688,-0.6793086158247706,-0.08897718071211655,-0.5844344304029814,-0.5107075290608423
