year,FIPS,ed_wat,ed_ldev,ed_hdev,ed_bare,ed_df,ed_ef,ed_mf,ed_shrub,ed_grass,ed_pas,ed_crops,ed_wet,el_wat,el_ldev,el_hdev,el_bare,el_df,el_ef,el_mf,el_shrub,el_grass,el_pas,el_crops,el_wet,pland_wat,pland_ldev,pland_hdev,pland_bare,pland_df,pland_ef,pland_mf,pland_shrub,pland_grass,pland_pas,pland_crops,pland_wet,mna_wat,mna_ldev,mna_hdev,mna_bare,mna_df,mna_ef,mna_mf,mna_shrub,mna_grass,mna_pas,mna_crops,mna_wet,msidi,tec_forest_fc,tec_crops_fc,tel_forestcrop_fc,tec_shrubgrass_sgc,tec_crops_sgc,tel_shrubgrasscrop_sgc,tec_deciforest_dfLID,tec_LID_dfLID,tel_deciforestLID_dfLID,tec_mixforest_mfLID,tec_LID_mfLID,tel_mixforestLID_mfLID,tec_natural_nc,tec_crops_nc,tel_naturalcrops_nc
2016,1027,1.381553131,27.30039205,0.493138777,0.632288013,95.97015784,74.97467885,43.68559689,13.04065356,13.35393048,23.68901063,0.064987281,3.895796336,216840,4284900,77400,99240,15062880,11767560,6856620,2046780,2095950,3718080,10200,611460,0.325414251,4.122353465,0.096907504,0.101265474,43.04224192,26.90828938,6.125930441,4.362271214,4.171610001,9.707436819,0.034405031,1.001874501,0.984104046,20.60570064,0.704166667,0.559647887,10.99014641,5.360271608,0.904504233,2.225861508,1.938851051,5.094012036,13.5,2.346985075,0.723699201,8565540,10200,1680,3800610,10200,2310,15062880,4284900,1408860,6856620,4284900,248700,6322950,10200,4470
2016,1091,3.528082148,17.65703095,0.998627241,0.752506646,23.58891448,65.2054553,71.89479618,19.00079282,15.52469304,23.73908577,2.024836963,30.79407132,897930,4493880,254160,191520,6003600,16595400,18297900,4835880,3951180,6041820,515340,7837380,1.12893678,3.161482693,0.214047121,0.174724405,4.328150892,25.61493018,15.66232254,6.031404422,5.047558561,15.34445214,1.251360559,22.0406297,2.494140625,26.91060201,0.903432836,0.7254323,1.143640988,6.111596513,2.562653809,1.835743841,2.260117875,10.00591084,10.86972696,13.32750535,0.828382514,14151240,515340,45060,7883940,515340,28260,6003600,4493880,150660,18297900,4493880,838320,8294100,515340,181500
2016,1049,2.822716981,44.98734939,3.506975946,0.503376595,71.83097733,22.65849185,56.73176201,10.24603424,11.74128883,74.92710039,8.185819744,1.090946793,569280,9072960,707280,101520,14486730,4569720,11441550,2066400,2367960,15111150,1650900,220020,0.444827828,8.026402281,0.780099845,0.097283775,28.46246564,5.173265526,9.870108311,2.696857957,3.282256377,37.30002718,3.713607278,0.152798002,0.421183099,22.63984615,0.991361059,0.693286219,6.610910975,1.883614371,1.620073248,1.690170914,1.76947073,9.499426695,6.552519685,0.419265306,0.757731481,12622920,1650900,264810,4073400,1650900,57390,14486730,9072960,1630470,11441550,9072960,690210,12030420,1650900,324630
2016,1019,7.202644754,30.00040156,1.570341815,1.947965197,65.49062853,50.89015639,62.83278543,13.31952575,16.11000038,41.60440514,12.93881343,5.615892925,1119240,4661850,244020,302700,10176780,7907970,9763770,2069760,2503380,6465030,2010600,872670,6.738550251,5.199734969,0.330246706,0.277483685,23.8155831,17.54494992,9.992887707,4.529916807,5.141296013,16.21985094,8.511295109,1.698204783,9.37442256,13.48918197,0.822403846,0.569603699,5.017316974,4.347569766,1.365960591,2.248936102,2.29575,4.521797632,14.37603261,1.838947735,0.856714089,8899800,2010600,502830,4078200,2010600,103650,10176780,4661850,750570,9763770,4661850,454380,7726170,2010600,673410
2016,1065,9.45688919,21.69673167,0.498260323,0.530019126,38.60123648,46.46189297,70.7785494,13.40415546,10.35195811,32.25353405,1.590763129,25.84707784,1607970,3689130,84720,90120,6563430,7899990,12034590,2279130,1760160,5484120,270480,4394820,3.755954775,3.637335648,0.089348098,0.115337384,10.0070928,13.73144757,15.56604772,4.967076708,2.908100612,23.41137177,1.400774915,20.410112,4.6717703,28.11190909,0.591128405,0.647227723,2.555989184,3.807534247,2.935581189,2.855172414,1.259152024,12.83673976,13.08659341,13.06121189,0.844188884,8224110,270480,14010,3739830,270480,5280,6563430,3689130,331080,12034590,3689130,717840,6673320,270480,37050
2016,1105,3.764505732,20.13624931,0.484524499,0.42083865,43.71393469,70.69721283,86.09158665,17.80467518,8.656475011,25.87373624,4.299914904,25.60203129,705780,3775200,90840,78900,8195610,13254510,16140690,3338070,1622940,4850880,806160,4799940,1.296647084,3.204534304,0.077479116,0.086311927,10.32618036,26.37611838,17.46309181,6.595757754,2.79856102,15.34710548,3.127007184,13.30120558,3.353089655,18.65822981,0.482591362,0.700519481,2.262717391,6.685234555,2.577163885,2.650784566,1.882604952,8.327982634,13.20405405,8.713301887,0.840717716,10307490,806160,85260,4669770,806160,27780,8195610,3775200,335100,16140690,3775200,760860,6829320,806160,271620
2016,1033,3.852155691,26.14212255,4.7282536,0.785069924,64.25461085,22.98809577,34.21500438,15.23362611,7.200499354,36.92466598,11.82174863,11.53268834,622080,4221660,763560,126780,10376400,3712320,5525340,2460060,1162800,5962920,1909080,1862400,4.784932454,6.512494984,1.176323064,0.307358777,35.09156672,6.69769049,5.93896295,4.911219849,2.399126131,16.15631548,11.92557626,4.098432832,11.2640379,12.40206368,1.134784946,1.513262195,11.80111412,2.950360065,1.402773146,2.216001676,2.169272116,6.019990771,33.55134146,4.453909825,0.817174629,7771620,1909080,377820,3231780,1909080,142530,10376400,4221660,1003170,5525340,4221660,188460,6351960,1909080,669060
2016,1063,10.23765169,18.77560993,0.421588564,0.182887295,31.58860258,49.3283192,67.91261708,9.33076238,9.308998441,31.42291581,2.135323259,40.67171239,1749870,3209220,72060,31260,5399280,8431440,11607960,1594860,1591140,5370960,364980,6951810,3.308030999,3.07145347,0.084774053,0.019745509,6.725004555,14.33803048,15.68420033,3.389013915,3.055604407,16.70343719,0.904554947,32.71615014,3.747017893,20.58776471,0.706829268,0.198529412,1.663729917,3.360382559,2.965838035,2.431851385,1.846161188,7.168049209,5.223344595,19.40321305,0.811182494,9378840,364980,43500,2952780,364980,8640,5399280,3209220,180060,11607960,3209220,610350,7145490,364980,129630
2016,1013,2.070383201,22.38289134,1.225492933,0.305554253,45.63226427,78.29783052,79.10787688,20.86971283,16.79625175,19.35028028,1.623964269,20.07291906,417120,4509480,246900,61560,9193530,15774660,15937860,4204620,3383940,3898500,327180,4044090,0.398471335,3.786371119,0.207812629,0.049585559,10.92075022,35.37518623,16.98260708,6.736488494,7.474062509,7.437119034,0.990907081,9.640638716,0.774903475,20.39679144,0.665627981,0.45,2.068248731,7.740048871,2.61381589,2.04582454,3.946014151,3.787553084,8.531538462,6.882703756,0.8075907,13076010,327180,91560,6894420,327180,28740,9193530,4509480,451740,15937860,4509480,685410,6912240,327180,141300
2016,1081,5.042839307,43.86209418,9.702744823,1.211620574,73.46874444,70.62119159,75.3591509,20.38238459,14.42697419,30.07196372,1.678438683,13.98479474,804360,6996240,1547640,193260,11718660,11264460,12020190,3251100,2301180,4796640,267720,2230650,1.691491535,11.54144769,2.048376049,0.274674121,21.79308936,23.70994007,13.38562373,5.198044104,4.269523699,10.81396753,0.939523168,4.334298943,2.104539782,16.87372136,0.932174037,0.84416185,3.678817864,4.216123746,1.667639616,1.476346154,1.516392786,3.341507168,5.970478088,3.914745187,0.846152839,11595390,267720,67800,5048100,267720,24690,11718660,6996240,1114350,12020190,6996240,885300,8126580,267720,113520
