FIPS,Year,countyarea,totalplanted,harvcrop,cropfail,largefarms,income,fertilizer,insecticides,irrigate,soy_smallgrains,corn,fruitveg,totalplanted_hectares,income_inflated,insect_planted,harv_county,soysmallgrain_planted,corn_planted,fruitveg_planted,income_planted,largefarm_planted,irrigate_planted
1001,2017,380447,36373,27557,990,14365,6781000,24912,10285,1162,1540,855,1472,14719.951436665317,7031896.999999999,0.2827646880928161,0.07243321671612603,0.042339097682346796,0.023506447089874358,0.040469579083386026,477.71197006020947,0.39493580403046213,0.031946773705770766
1001,2012,380440,37295,29676,508,17450,4453000,26143,13760,1525,4587,1142,1632,15093.079724807769,4929471,0.368950261429146,0.07800441593943855,0.12299235822496313,0.030620726638959646,0.043759217053224296,326.6047148679448,0.4678911382222818,0.04089019975868079
1001,2007,380427,31355,18548,7325,3864,4323000,26080,8441,1107,1404,1704,1332,12689.194658033184,5299998,0.2692074629245734,0.048755740260286465,0.044777547440599585,0.05434539945782172,0.04248126295646627,417.67804362940524,0.12323393398182109,0.03530537394354967
1001,2002,381420,33044,26132,779,13581,5039000,29897,11690,0,847,1771,2871,13372.723593686766,7120107,0.35377072993584313,0.06851240102773845,0.02563249001331558,0.05359520639147803,0.08688415446071904,532.4350683028689,0.4109974579348747,0
1001,1997,381420,33976,27857,174,13408,0,31810,7145,0,2822,1533,2052,13749.898826386077,0,0.21029550270779374,0.0730349745687169,0.08305862962090887,0.045120084765716974,0.06039557334589122,0,0.39463150459147633,0
1003,2017,1017483,104470,94301,3924,74781,29837000,89219,77587,0,17889,6658,3875,42278.42978551194,30940968.999999996,0.7426725375705945,0.092680663952125,0.17123576146262084,0.06373121470278549,0.037091988130563795,731.8381774576433,0.7158131521010817,0
1003,2012,1017498,99239,91571,2028,69188,33785000,90482,76665,7668,32827,4329,5319,40161.4730878187,37399995,0.7725289452735316,0.08999624569286623,0.3307872912866917,0.04362196313949153,0.053597879865778575,931.2406175495521,0.6971855822811597,0.07726800955269601
1003,2007,1017445,94153,82402,2232,49130,21102000,81931,58125,9999,20044,4314,6613,38103.197086199914,25871052,0.6173462343207333,0.0809891443763545,0.21288753411999617,0.045819039223391714,0.07023674232366467,678.9732615211412,0.5218102450267118,0.10619948381889054
1003,2002,1021662,89289,74462,8763,43756,16116000,80378,45529,11045,18678,3969,8190,36134.763253743426,22771908,0.5099060354578951,0.07288320403421092,0.20918590195880793,0.04445116419715754,0.09172462453381716,630.1939171454491,0.49004916619068417,0.12369944786031874
1003,1997,1021662,102008,94668,1346,46585,0,91032,68595,0,46870,9114,10696,41282.07203561311,0,0.6724472590385068,0.09266078213734093,0.45947376676339113,0.08934593365226257,0.10485452121402243,0,0.4566798682456278,0
1005,2017,566401,32714,25231,522,11870,31379000,29409,10114,0,1844,1065,576,13239.1744233104,32540022.999999996,0.30916427217704956,0.04454617841423303,0.05636730451794339,0.032554869474842575,0.017607140673717676,2457.858923794094,0.36284159686984163,0
1005,2012,566321,36314,22915,597,10045,24690000,22695,9545,2301,126,1247,840,14696.074463779845,27331830,0.2628462851792697,0.04046291767389872,0.0034697361898992124,0.034339373244478714,0.023131574599328082,1859.8048116428927,0.2766150795836317,0.06336399184887372
1005,2007,566299,39009,22810,1797,10759,12613000,25649,13634,0,1115,3153,1079,15786.7260218535,15463538,0.34950908764644056,0.04027907518819564,0.028583147478786947,0.08082750134584327,0.0276602835243149,979.5278627496219,0.2758081468379092,0
1005,2002,566339,48872,31322,1581,19038,12015000,34447,15007,4912,1057,1903,976,19778.227438284095,16977195,0.30706744147978393,0.05530609758466219,0.02162792601080373,0.038938451465051566,0.019970535275822557,858.3779842240956,0.38954820756261255,0.1005074480275004
1005,1997,566339,43843,34111,492,15082,0,39270,12105,0,1105,3256,855,17743.019020639418,0,0.2760988071071779,0.06023070987518077,0.02520356727413726,0.07426499099058002,0.01950140273247725,0,0.34400018246926534,0
1007,2017,398375,15620,10812,0,3618,-338000,8312,0,66,1623,827,31,6321.32739781465,-350506,0,0.027140257295262003,0.10390524967989757,0.0529449423815621,0.0019846350832266324,-55.448164276568505,0.23162612035851474,0.004225352112676056
1007,2012,398453,11936,7872,231,0,218000,5292,0,55,0,0,27,4830.433023067584,241326,0,0.019756407907582575,0,0,0.002262064343163539,49.9594961461126,0,0.004607908847184986
1007,2007,398448,7000,5372,0,0,368000,4703,568,164,0,0,65,2832.8611898016998,451168,0.08114285714285714,0.01348231136810826,0,0,0.009285714285714286,159.262304,0,0.023428571428571427
1007,2002,398736,8260,4769,247,0,420000,3914,276,31,0,167,148,3342.7762039660056,593460,0.03341404358353511,0.011960294530717066,0,0.020217917675544796,0.01791767554479419,177.53506779661018,0,0.0037530266343825665
1007,1997,398736,6807,4730,0,0,0,7696,0,0,0,71,64,2754.75515985431,0,0,0.01186248545403475,0,0.010430439253709416,0.009402086087850741,0,0,0
1009,2017,412685,39277,31091,333,2680,76664000,36967,8081,675,2271,436,887,15895.184135977337,79500568,0.2057438195381521,0.07533833311121073,0.05782009827634493,0.011100644142882603,0.02258319118058915,5001.550615576546,0.06823331720854445,0.017185630267077423
1009,2012,412676,34694,27598,463,0,30328000,31330,9317,0,2392,1522,853,14040.469445568595,33573096,0.26854787571337985,0.06687570878849267,0.0689456390153917,0.043869256932034355,0.024586383812763013,2391.166202109875,0,0
1009,2007,412608,35965,28504,1001,3696,26207000,37406,8781,568,1221,1256,778,14554.836098745447,32129782,0.24415403864868623,0.06908251900108578,0.033949673293479775,0.03492284165160573,0.02163214236062839,2207.498716029473,0.10276657861810093,0.015793132211872653
1009,2002,413174,34822,28203,602,2814,38383000,38155,9442,603,927,1472,1577,14092.270335896397,54235179,0.2711504221469186,0.06825937740516103,0.026621101602435242,0.04227212681638045,0.04528746194934237,3848.576397363736,0.08081098156337947,0.017316638906438458
1009,1997,413174,36213,28808,397,2050,0,36514,7947,0,3439,2321,2321,14655.200323755564,0,0.21945157816253832,0.06972365153664074,0.09496589622511253,0.064093005274349,0.064093005274349,0,0.0566095048739403,0
1011,2017,398596,19632,9931,3561,2533,18322000,8326,3894,120,270,1292,525,7944.96155402671,18999914,0.19834963325183375,0.024914951479693723,0.013753056234718826,0.06581092094539527,0.02674205378973105,2391.441905766096,0.1290240423797881,0.006112469437652812
1011,2012,398595,25505,13229,1318,6044,16144000,11507,5618,0,2182,637,726,10321.732092270335,17871408,0.22027053518917858,0.033189076631668736,0.0855518525779259,0.0249754950009802,0.028465006861399727,1731.434980121545,0.2369731425210743,0
1011,2007,398589,26753,10231,487,2292,10036000,8824,3180,0,0,866,1270,10826.79077296641,12304136,0.11886517399917766,0.025668044025299243,0,0.03237020147273203,0.0474713116286024,1136.4527363660152,0.08567263484469032,0
1011,2002,400008,19192,9835,872,2099,13664000,12820,3539,792,35,492,1047,7766.895993524889,19307232,0.18439974989578992,0.024587008259834803,0.0018236765318882869,0.025635681533972488,0.05455398082534389,2485.8363001250523,0.10936848686952896,0.04126719466444352
1011,1997,400008,40845,14814,266,3419,0,15907,3206,0,0,603,1444,16529.745042492916,0,0.07849185946872322,0.0370342593148137,0,0.014763128901946383,0.035353164402007586,0,0.08370669604602766,0
1013,2017,497172,17152,14280,417,6246,38843000,14244,2066,96,20,2994,675,6941.319303925536,40280191,0.12045242537313433,0.028722454200960635,0.0011660447761194029,0.17455690298507462,0.03935401119402985,5802.958952950094,0.36415578358208955,0.005597014925373134
1013,2012,497170,18849,13448,109,0,19523000,9785,3109,18,0,1317,602,7628.085795224605,21611961,0.16494243726457636,0.027049097894080495,0,0.06987108069393602,0.03193803384794949,2833.208957026898,0,9.549578226961642e-4
1013,2007,497171,19635,14626,1158,0,17403000,14042,3391,71,0,1853,324,7946.175637393768,21336078,0.17270180799592563,0.029418449587767587,0,0.09437229437229437,0.01650114591291062,2685.0750566844918,0,0.003615991851285969
1013,2002,497195,16690,12592,858,0,19749000,11893,2947,5,0,1547,404,6754.350465398624,27905337,0.17657279808268425,0.02532607930490049,0,0.092690233672858,0.02420611144397843,4131.461217914919,0,2.995805871779509e-4
1013,1997,497195,20066,17736,108,0,0,19739,1979,0,86,2747,576,8120.598947794415,0,0.09862453902122995,0.035672120596546626,0.004285856672979169,0.1368982358217881,0.028705272600418618,0,0,0
1015,2017,387769,27027,23251,454,6235,20414000,24196,5082,0,2857,416,164,10937.677053824362,21169318,0.18803418803418803,0.05996095613625638,0.1057091057091057,0.015392015392015393,0.006068006068006068,1935.4491722351725,0.2306952306952307,0
1015,2012,387754,20098,18519,88,0,18344000,15913,5482,805,3002,1370,117,8133.5491703763655,20306808,0.2727634590506518,0.04775966205377637,0.14936809632799283,0.06816598666533984,0.005821474773609315,2496.672433475968,0,0.04005373669021793
1015,2007,387753,20107,17567,1062,1963,10136000,20553,4673,0,2288,1334,102,8137.191420477539,12426736,0.23240662455861144,0.04530461401974969,0.11379121698910827,0.06634505396130701,0.005072860197941015,1527.1529644402447,0.09762769184860993,0
1015,2002,389415,21338,18742,201,0,6602000,27594,6429,1558,2359,1023,119,8635.370295426952,9328626,0.30129346705408194,0.04812860316115199,0.11055394132533508,0.04794263754803637,0.00557690505201987,1080.2809469491049,0,0.07301527790795763
1015,1997,389415,21200,18732,0,0,0,22372,596,0,4944,1971,103,8579.52246054229,0,0.02811320754716981,0.04810292361619352,0.23320754716981132,0.09297169811320755,0.004858490566037736,0,0,0
1017,2017,381780,12002,9580,470,0,-395000,23048,1651,0,0,144,165,4857.142857142857,-409614.99999999994,0.13756040659890018,0.025092985489025093,0,0.011998000333277787,0.013747708715214132,-84.3325,0,0
1017,2012,381780,12481,9916,835,3621,-852000,24022,500,73,341,592,201,5050.991501416431,-943164,0.04006089255668616,0.025973073497825974,0.027321528723659963,0.047432096787116414,0.01610447880778784,-186.72848681996635,0.2901209838955212,0.00584889031327618
1017,2007,381775,9651,8051,348,0,-224000,14256,780,338,136,254,136,3905.706191825172,-274624,0.08082064034815045,0.021088337371488443,0.014091803958139052,0.026318516215936172,0.014091803958139052,-70.31353269091287,0,0.035022277484198526
1017,2002,382188,9549,7951,158,0,935000,15146,375,0,0,157,229,3864.427357345204,1321155,0.039271127866792335,0.02080389755826975,0,0.01644151220023039,0.02398156875065452,341.87600848256363,0,0
1017,1997,382188,10122,8711,0,0,0,17192,889,209,0,167,353,4096.317280453258,0,0.08782849239280774,0.022792447695898353,0,0.01649871566884015,0.03487453072515313,0,0,0.020648093262201146
1019,2017,354406,70583,51669,8418,38588,47635000,57067,24105,807,9251,4486,82,28564.54876568191,49397495,0.34151282886814105,0.14579042115539806,0.13106555402859046,0.06355638043154867,0.0011617528300015584,1729.3287356020571,0.5467038805378066,0.011433347973308021
1019,2012,354381,58241,53001,34,35020,24620000,48940,27395,1316,19214,4676,34,23569.809793605826,27254340,0.47037310485740286,0.1495593725397242,0.32990504970725093,0.08028708298277845,5.837811850758057e-4,1156.3241383218008,0.6012946206280799,0.022595765869404715
1019,2007,354373,52375,44402,2486,20845,9939000,46138,23925,1189,13784,4959,151,21195.872116552004,12185214,0.4568019093078759,0.12529735617555512,0.26317899761336516,0.09468257756563246,0.002883054892601432,574.8861822243437,0.39799522673031024,0.02270167064439141
1019,2002,353997,47954,36635,1873,17692,8270000,39770,13017,2200,5249,2636,128,19406.717927964386,11685510,0.2714476373190975,0.10348957759529036,0.10945906493723151,0.054969345622888605,0.002669224673645577,602.1373651833007,0.3689368978604496,0.045877299078283355
1019,1997,353997,52353,45895,1025,22481,0,47754,16156,829,11947,2317,128,21186.96883852691,0,0.30859740607033026,0.1296479913671585,0.22820086719003688,0.044257253643535235,0.002444941073099918,0,0.42941187706530665,0.015834813668748688
1021,2017,443425,20029,16172,678,1755,-742000,16585,5738,767,1094,486,1961,8105.6252529340345,-769454,0.2864845973338659,0.03647065456390596,0.05462079984023167,0.024264816016775676,0.09790803335164013,-94.9283955264866,0.0876229467272455,0.03829447301412951
1021,2012,443427,20836,15315,595,2414,579000,15092,2975,0,528,313,2118,8432.213678672602,640953,0.14278172393933578,0.03453781569457882,0.025340756383182953,0.015022077174121712,0.1016509886734498,76.01242383374928,0.11585717028220388,0
1021,2007,443423,23022,14957,2171,1675,1502000,21419,6953,602,0,409,2416,9316.875758802104,1841452,0.30201546346972463,0.03373077174616562,0,0.017765615498219096,0.10494309790635045,197.64694170793157,0.07275649378855008,0.026148901051168447
1021,2002,444147,24469,18049,685,2675,2585000,34242,10675,782,0,861,4123,9902.468636179685,3652605,0.4362662961297969,0.04063744661114451,0,0.03518737995014099,0.16849891699701663,368.8580226000245,0.10932199926437533,0.03195880501859496
1021,1997,444147,24876,19585,117,0,0,30384,4603,0,540,820,3440,10067.179279643868,0,0.18503778742563112,0.04409576108810822,0.02170767004341534,0.03296349895481589,0.13828589805434957,0,0,0
1023,2017,584619,6441,4469,78,0,2524000,5956,550,3,0,0,21,2606.6369890732494,2617388,0.08539046731873932,0.007644294831334596,0,0,0.0032603632976245926,1004.1244757025307,0,4.657661853749418e-4
1023,2012,584640,7271,5673,351,1584,696000,5302,380,4,0,77,123,2942.533387292594,770472,0.052262412322926693,0.00970340722495895,0,0.01059001512859304,0.016916517672947325,261.8396798239582,0.2178517397881997,5.501306560308073e-4
1023,2007,584634,6407,5535,0,0,1383000,6372,413,0,0,8,80,2592.8773775799273,1695558,0.06446074605899797,0.009467461693982902,0,0.0012486343062275637,0.012486343062275636,653.9291115966911,0,0
1023,2002,584649,6579,4850,0,0,951000,4307,426,0,0,157,137,2662.484823957912,1343763,0.0647514819881441,0.00829557563597988,0,0.023863809089527285,0.020823833409332724,504.7025950752394,0,0
1023,1997,584649,8225,6527,0,0,0,11447,0,0,0,284,226,3328.611898016997,0,0,0.011163963335266118,0,0.03452887537993921,0.027477203647416414,0,0,0
1025,2017,792589,10646,7627,110,0,-827000,11085,0,9,0,85,103,4308.377175232699,-857598.9999999999,0,0.009622894085080666,0,0.007984219425136201,0.009674995303400338,-199.05383514935184,0,8.453879391320684e-4
1025,2012,792618,7172,6195,345,0,-327000,6754,1648,0,0,78,121,2902.4686361796844,-361989,0.2297824874511991,0.007815870949183592,0,0.010875627440044618,0.01687116564417178,-124.71762674288901,0,0
1025,2007,792605,8911,6988,532,1957,-250000,8108,1383,62,0,169,134,3606.2322946175636,-306500,0.1552014364268881,0.008816497498754109,0,0.018965323757154078,0.015037593984962405,-84.9917517674784,0.21961620469083157,0.006957692739310964
1025,2002,792560,8005,6907,315,0,-600000,6681,16,63,0,365,208,3239.5791177660867,-847800,0.0019987507807620237,0.008714797617845967,0,0.04559650218613367,0.025983760149906308,-261.70066208619613,0,0.007870081199250468
1025,1997,792560,7492,6559,0,0,0,8902,784,0,0,446,144,3031.9708619991907,0,0.10464495461825948,0.0082757141415161,0,0.0595301655098772,0.019220501868659905,0,0,0
1027,2017,386536,12035,10235,445,0,24586000,14448,967,15,0,0,48,4870.497774180493,25495681.999999996,0.0803489821354383,0.02647877558623259,0,0,0.003988367262152057,5234.717924553385,0,0.0012463647694225177
1027,2012,386535,10025,8633,0,0,9773000,14141,366,17,0,89,43,4057.06191825172,10818711,0.03650872817955112,0.02233432936215349,0,0.00887780548628429,0.00428927680798005,2666.6368958603493,0,0.0016957605985037406
1027,2007,386531,9459,7866,703,0,6353000,15468,417,38,0,41,21,3828.004856333468,7788778,0.04408499841420869,0.020350243576841186,0,0.004334496246960567,0.0022201078338090706,2034.6834166402368,0,0.004017337984987842
